continent,name,city,row,column,pop,individual,site,original comments,Qubit_ng.ul Ext 1,Number that need to be rextracted:,,Qubit_ng.ul Ext 2 (SK),
EU,Munster,MUN,e,3,3,6,u,,10.3,,,NA,
EU,Munster,MUN,f,3,3,5,u,,8.09,,,NA,
EU,Munster,MUN,g,3,3,4,u,,7.01,,,NA,
EU,Munster,MUN,h,3,3,3,u,,8.81,,,NA,
EU,Munster,MUN,a,4,3,2,u,,10.2,,,NA,
EU,Munster,MUN,b,4,3,1,u,,11.5,,,NA,
EU,Munster,MUN,c,4,3,8,u,,5.69,,,NA,
EU,Munster,MUN,d,4,3,9,u,,12,,,NA,
EU,Munster,MUN,e,4,3,10,u,,8.55,,,NA,
EU,Munster,MUN,f,4,4,1,u,,7.3,,,NA,
EU,Munster,MUN,g,4,4,2,u,,5.97,,,NA,
EU,Munster,MUN,h,4,4,3,u,,3.74,,,NA,
EU,Munster,MUN,a,5,4,4,u,,4.09,,,NA,
EU,Munster,MUN,b,5,4,5,u,,9.15,,,NA,
EU,Munster,MUN,c,5,4,6,u,,3.65,,,NA,
EU,Munster,MUN,d,5,4,7,u,,3.75,,,NA,
EU,Munster,MUN,e,5,4,8,u,,5.2,,,NA,
EU,Munster,MUN,f,5,4,9,u,,4.26,,,NA,
EU,Munster,MUN,g,5,4,10,u,,3.14,,,NA,
EU,Munster,MUN,h,5,5,1,u,,15.6,,,NA,
EU,Munster,MUN,a,6,5,2,u,,6.69,,,NA,
EU,Munster,MUN,b,6,5,3,u,,8.62,,,NA,
EU,Munster,MUN,c,6,5,5,u,,10,,,NA,
EU,Munster,MUN,d,6,5,6,u,,6.62,,,NA,
EU,Munster,MUN,e,6,5,4,u,left off 5.7,8.77,,,NA,
EU,Munster,MUN,f,6,5,8,u,,9.58,,,NA,
EU,Munster,MUN,g,6,5,9,u,,9.41,,,NA,
EU,Munster,MUN,h,6,5,10,u,,13.9,,,NA,
EU,Munster,MUN,a,7,36,2,r,,3.82,,,NA,
EU,Munster,MUN,b,7,36,3,r,,10.9,,,NA,
EU,Munster,MUN,c,7,36,5,r,,12.7,,,NA,
EU,Munster,MUN,d,7,36,7,r,,5.63,,,NA,
EU,Munster,MUN,e,7,36,10,r,,7.06,,,NA,
EU,Munster,MUN,f,7,36,11,r,,8.89,,,NA,
EU,Munster,MUN,g,7,36,13,r,,10.2,,,NA,
EU,Munster,MUN,h,7,36,16,r,,10.3,,,NA,
EU,Munster,MUN,a,8,36,17,r,,11.6,,,NA,
EU,Munster,MUN,b,8,36,18,r,,6.85,,,NA,
EU,Munster,MUN,c,8,37,1,r,,4.01,,,NA,
EU,Munster,MUN,d,8,37,2,r,,3.71,,,NA,
EU,Munster,MUN,e,8,37,3,r,,7.38,,,NA,
EU,Munster,MUN,f,8,37,5,r,,9.11,,,NA,
EU,Munster,MUN,g,8,37,7,r,,12.1,,,NA,
EU,Munster,MUN,h,8,37,8,r,,5.15,,,NA,
EU,Munster,MUN,a,9,37,9,r,,3.16,,,NA,
EU,Munster,MUN,b,9,37,10,r,left off 37.11,2.09,,,NA,
EU,Munster,MUN,c,9,37,12,r,,4.72,,,NA,
EU,Munster,MUN,d,9,38,1,r,,4.92,,,NA,
EU,Munster,MUN,e,9,38,2,r,,9.93,,,NA,
EU,Munster,MUN,f,9,38,3,r,,6.08,,,NA,
EU,Munster,MUN,g,9,38,5,r,left off 38.4,5.57,,,NA,
EU,Munster,MUN,h,9,38,6,r,,8.53,,,NA,
EU,Munster,MUN,a,10,38,7,r,,8.28,,,NA,
EU,Munster,MUN,b,10,38,8,r,,20.3,,,NA,
EU,Munster,MUN,c,10,38,9,r,,15.3,,,NA,
EU,Munster,MUN,d,10,38,10,r,,8.34,,,NA,
EU,Munster,MUN,e,10,39,5,r,,26,,,NA,
EU,Munster,MUN,f,10,39,8,r,,10,,,NA,
EU,Munster,MUN,g,10,39,1,r,,8.77,,,NA,
EU,Munster,MUN,h,10,39,2,r,,25.2,,,NA,
EU,Munster,MUN,a,11,39,3,r,,7.75,,,NA,
EU,Munster,MUN,b,11,39,10,r,,4.46,,,NA,
EU,Munster,MUN,c,11,39,6,r,,5.51,,,NA,
EU,Munster,MUN,d,11,39,4,r,,6.57,,,NA,
EU,Munster,MUN,e,11,39,9,r,,8.45,,,NA,
EU,Munster,MUN,f,11,39,7,r,,20.2,,,NA,
EU,Munster,MUN,g,11,40,1,r,,2.97,,,NA,
EU,Munster,MUN,h,11,40,6,r,,9.18,,,NA,
EU,Munster,MUN,a,12,40,10,r,,3.15,,,NA,
EU,Munster,MUN,b,12,40,13,r,,13.3,,,NA,
EU,Munster,MUN,c,12,40,3,r,,5.73,,,NA,
EU,Munster,MUN,d,12,40,12,r,,3.34,,,NA,
EU,Munster,MUN,e,12,40,5,r,,4.88,,,NA,
EU,Munster,MUN,f,12,40,11,r,,2.23,,,NA,
EU,Munster,MUN,g,12,40,7,r,,7.72,,,NA,
EU,Munster,MUN,h,12,40,2,r,,21.5,,,NA,
EU,Linköping,LPI,a,1,5,1,u,Column positions added manually,7.01,43,,,
EU,Linköping,LPI,b,1,5,2,u,,1.34,,,,
EU,Linköping,LPI,c,1,5,3,u,,8.72,,,,
EU,Linköping,LPI,d,1,5,4,u,,5.94,,,,
EU,Linköping,LPI,e,1,5,5,u,,2.93,,,,
EU,Linköping,LPI,f,1,5,6,u,,10.5,,,,
EU,Linköping,LPI,g,1,5,7,u,no leaf tissue remains,21.2,,,,
EU,Linköping,LPI,h,1,5,8,u,no leaf tissue remains,15,,,,
EU,Linköping,LPI,a,2,5,9,u,,15.8,,,,
EU,Linköping,LPI,b,2,5,10,u,,4,,,,
EU,Linköping,LPI,c,2,8,1,u,,15.5,,,,
EU,Linköping,LPI,d,2,8,2,u,,1.7,,,,
EU,Linköping,LPI,e,2,8,3,u,,0,,,,
EU,Linköping,LPI,f,2,8,4,u,no leaf tissue left,21.4,,,,
EU,Linköping,LPI,g,2,8,5,u,basically no leaf tissue left,4.75,,,,
EU,Linköping,LPI,h,2,8,7,u,no leaf tissue left,9.32,,,,
EU,Linköping,LPI,a,3,8,8,u,,11.5,,,,
EU,Linköping,LPI,b,3,8,9,u,,0,,,,
EU,Linköping,LPI,c,3,8,10,u,,9.75,,,,
EU,Linköping,LPI,d,3,13,1,u,,5.57,,,,
EU,Linköping,LPI,e,3,13,2,u,,8.47,,,,
EU,Linköping,LPI,f,3,13,3,u,,5.28,,,,
EU,Linköping,LPI,g,3,13,4,u,,6.89,,,,
EU,Linköping,LPI,h,3,13,5,u,,8.8,,,,
EU,Linköping,LPI,a,4,13,6,u,,16.7,,,,
EU,Linköping,LPI,b,4,13,7,u,very little tissue remains,6.38,,,,
EU,Linköping,LPI,c,4,13,8,u,,11,,,,
EU,Linköping,LPI,d,4,13,9,u,fungus; used leaf tissue without fungus,8.9,,,,
EU,Linköping,LPI,e,4,13,10,u,fungus; used leaf tissue without fungus,26.1,,,,
EU,Linköping,LPI,f,4,15,1,u,,10.2,,,,
EU,Linköping,LPI,g,4,15,2,u,fungus; used leaf tissue without fungus,41.9,,,,
EU,Linköping,LPI,h,4,15,3,u,,9.15,,,,
EU,Linköping,LPI,a,5,15,4,u,,17.4,,,,
EU,Linköping,LPI,b,5,15,5,u,no leaf tissue left,20.3,,,,
EU,Linköping,LPI,c,5,15,6,u,,5.88,,,,
EU,Linköping,LPI,d,5,15,7,u,did not include 15.8,23.8,,,,
EU,Linköping,LPI,e,5,15,9,u,,16.6,,,,
EU,Linköping,LPI,f,5,15,10,u,,6.12,,,,
EU,Linköping,LPI,g,5,16,1,u,,5.3,,,,
EU,Linköping,LPI,h,5,16,2,u,,17.8,,,,
EU,Linköping,LPI,a,6,16,3,u,,3.29,,,,
EU,Linköping,LPI,b,6,16,4,u,,7.5,,,,
EU,Linköping,LPI,c,6,16,5,u,,8.06,,,,
EU,Linköping,LPI,d,6,16,6,u,little tissue left,21.5,,,,
EU,Linköping,LPI,e,6,16,7,u,petiole only; only stolon remains,4.4,,,,
EU,Linköping,LPI,f,6,16,8,u,only petiole and stolon left,22.2,,,,
EU,Linköping,LPI,g,6,16,9,u,fungus; used tissue without fungus,0,,,,
EU,Linköping,LPI,h,6,16,10,u,petiole and a bit of leaf; only petiole and stolon remain,4.66,,,,
EU,Linköping,LPI,a,7,25,1,r,basically no leaf left,8.63,,,,
EU,Linköping,LPI,b,7,25,2,r,,56.1,,,,
EU,Linköping,LPI,c,7,25,3,r,,4.39,,,,
EU,Linköping,LPI,d,7,25,4,r,no leaf remains,11.4,,,,
EU,Linköping,LPI,e,7,25,5,r,,11,,,,
EU,Linköping,LPI,f,7,25,6,r,,19.4,,,,
EU,Linköping,LPI,g,7,25,7,r,,18,,,,
EU,Linköping,LPI,h,7,25,8,r,only petiole and stolon remain,2.64,,,,
EU,Linköping,LPI,a,8,25,9,r,,36.6,,,,
EU,Linköping,LPI,b,8,25,11,r,only petiole and stolon remain,0,,,,
EU,Linköping,LPI,c,8,27,1,r,,3.93,,,,
EU,Linköping,LPI,d,8,27,2,r,only petiole and stolon remain,17.8,,,,
EU,Linköping,LPI,e,8,27,3,r,did not include 27.4,9.81,,,,
EU,Linköping,LPI,f,8,27,5,r,only petiole and stolon remain,25.9,,,,
EU,Linköping,LPI,g,8,27,6,r,fungus; used fungus free tissue,2.89,,,,
EU,Linköping,LPI,h,8,27,7,r,only petiole and stolon remain,1.67,,,,
EU,Linköping,LPI,a,9,27,8,r,only petiole and stolon remain,11.2,,,,
EU,Linköping,LPI,b,9,27,9,r,,14.5,,,,
EU,Linköping,LPI,c,9,27,10,r,used petiole; only stolon remains,41,,,,
EU,Linköping,LPI,d,9,37,1,r,only a little bit of petiole remains,8.45,,,,
EU,Linköping,LPI,e,9,37,2,r,,3.55,,,,
EU,Linköping,LPI,f,9,37,3,r,,13.2,,,,
EU,Linköping,LPI,g,9,37,4,r,,16.3,,,,
EU,Linköping,LPI,h,9,37,5,r,fungus; used tissue w/o fungus,14.4,,,,
EU,Linköping,LPI,a,10,37,6,r,,18.3,,,,
EU,Linköping,LPI,b,10,37,7,r,,14.5,,,,
EU,Linköping,LPI,c,10,37,8,r,,2.04,,,,
EU,Linköping,LPI,d,10,37,9,r,,8.16,,,,
EU,Linköping,LPI,e,10,37,10,r,,3.01,,,,
EU,Linköping,LPI,f,10,38,1,r,,0,,,,
EU,Linköping,LPI,g,10,38,2,r,,12.9,,,,
EU,Linköping,LPI,h,10,38,3,r,,19.7,,,,
EU,Linköping,LPI,a,11,38,4,r,"fungusy; could not avoid, but used tissue with least fungus",27.4,,,,
EU,Linköping,LPI,b,11,38,5,r,,23.1,,,,
EU,Linköping,LPI,c,11,38,6,r,no leaf left,36.1,,,,
EU,Linköping,LPI,d,11,38,7,r,,4.58,,,,
EU,Linköping,LPI,e,11,38,8,r,,39.4,,,,
EU,Linköping,LPI,f,11,38,9,r,,3.1,,,,
EU,Linköping,LPI,g,11,38,10,r,,20.7,,,,
EU,Linköping,LPI,h,11,40,2,r,did not include 40.1,4.86,,,,
EU,Linköping,LPI,a,12,40,3,r,,1.63,,,,
EU,Linköping,LPI,b,12,40,4,r,only petiole and stolon remain,16.4,,,,
EU,Linköping,LPI,c,12,40,5,r,,11.9,,,,
EU,Linköping,LPI,d,12,40,6,r,only petiole and stolon left,8.23,,,,
EU,Linköping,LPI,e,12,40,7,r,fungusy; used tissue with minimal fungus,20.8,,,,
EU,Linköping,LPI,f,12,40,8,r,fungusy; used petiole to avoid fungus,15.8,,,,
EU,Linköping,LPI,g,12,40,9,r,,22,,,,
EU,Linköping,LPI,h,12,40,10,r,,23.1,,,,
EU,Landshut,LND,a,1,1,1,r,,28.5,24,,,
EU,Landshut,LND,b,1,1,4,r,,30,,,,
EU,Landshut,LND,c,1,1,5,r,,12.1,,,,
EU,Landshut,LND,d,1,1,7,r,,23.6,,,,
EU,Landshut,LND,e,1,1,8,r,,30,,,,
EU,Landshut,LND,f,1,1,9,r,,10.4,,,,
EU,Landshut,LND,g,1,1,11,r,,19.2,,,,
EU,Landshut,LND,h,1,1,14,r,,15.3,,,,
EU,Landshut,LND,a,2,1,15,r,,29.5,,,,
EU,Landshut,LND,b,2,1,18,r,,19.2,,,,
EU,Landshut,LND,c,2,2,2,r,left off 2.5,26.75,,,,
EU,Landshut,LND,d,2,2,6,r,,17.7,,,,
EU,Landshut,LND,e,2,2,7,r,,27.75,,,,
EU,Landshut,LND,f,2,2,8,r,,14.7,,,,
EU,Landshut,LND,g,2,2,12,r,,14.4,,,,
EU,Landshut,LND,h,2,2,15,r,,13.5,,,,
EU,Landshut,LND,a,3,2,17,r,,19.7,,,,
EU,Landshut,LND,b,3,2,19,r,,9.1,,,,
EU,Landshut,LND,c,3,2,20,r,,19,,,,
EU,Landshut,LND,d,3,3,1,r,,10.3,,,,
EU,Landshut,LND,e,3,3,2,r,,11.1,,,,
EU,Landshut,LND,f,3,3,3,r,,19.2,,,,
EU,Landshut,LND,g,3,3,5,r,,9.325,,,,
EU,Landshut,LND,h,3,3,6,r,,16.8,,,,
EU,Landshut,LND,a,4,3,8,r,,9.45,,,,
EU,Landshut,LND,b,4,3,11,r,,9.15,,,,
EU,Landshut,LND,c,4,3,16,r,,19.2,,,,
EU,Landshut,LND,d,4,3,18,r,,14.4,,,,
EU,Landshut,LND,e,4,3,20,r,,13.3,,,,
EU,Landshut,LND,f,4,4,4,r,left off 4.2,12.5,,,,
EU,Landshut,LND,g,4,4,5,r,,16.7,,,,
EU,Landshut,LND,h,4,4,6,r,,11.7,,,,
EU,Landshut,LND,a,5,4,7,r,,13.6,,,,
EU,Landshut,LND,b,5,4,9,r,,12.6,,,,
EU,Landshut,LND,c,5,4,10,r,,7.1,,,,
EU,Landshut,LND,d,5,4,11,r,,19.3,,,,
EU,Landshut,LND,e,5,4,12,r,,9.63,,,,
EU,Landshut,LND,f,5,4,13,r,,10,,,,
EU,Landshut,LND,g,5,5,1,r,,22.1,,,,
EU,Landshut,LND,h,5,5,6,r,,14.2,,,,
EU,Landshut,LND,a,6,5,8,r,,28,,,,
EU,Landshut,LND,b,6,5,11,r,,27.25,,,,
EU,Landshut,LND,c,6,5,12,r,,11.4,,,,
EU,Landshut,LND,d,6,5,13,r,,23.8,,,,
EU,Landshut,LND,e,6,5,14,r,,39,,,,
EU,Landshut,LND,f,6,5,15,r,,19,,,,
EU,Landshut,LND,g,6,5,19,r,,53.25,,,,
EU,Landshut,LND,h,6,5,20,r,,34,,,,
EU,Landshut,LND,a,7,47,1,u,,27.75,,,,
EU,Landshut,LND,b,7,47,2,u,,16.9,,,,
EU,Landshut,LND,c,7,47,7,u,,16.3,,,,
EU,Landshut,LND,d,7,47,10,u,left off 47.9,8.65,,,,
EU,Landshut,LND,e,7,47,14,u,,40.75,,,,
EU,Landshut,LND,f,7,47,16,u,,9.325,,,,
EU,Landshut,LND,g,7,47,17,u,,9.33,,,,
EU,Landshut,LND,h,7,47,19,u,little tissue left,33.25,,,,
EU,Landshut,LND,a,8,47,20,u,,26.75,,,,
EU,Landshut,LND,b,8,48,3,u,,9.45,,,,
EU,Landshut,LND,c,8,48,4,u,,8.325,,,,
EU,Landshut,LND,d,8,48,6,u,,11.4,,,,
EU,Landshut,LND,e,8,48,8,u,,11.9,,,,
EU,Landshut,LND,f,8,48,9,u,,12.6,,,,
EU,Landshut,LND,g,8,48,13,u,,14.8,,,,
EU,Landshut,LND,h,8,48,15,u,,34.7,,,,
EU,Landshut,LND,a,9,48,16,u,,8.225,,,,
EU,Landshut,LND,b,9,48,19,u,,2.575,,,,
EU,Landshut,LND,c,9,49,1,u,left off 48.20,7,,,,
EU,Landshut,LND,d,9,49,2,u,,21.4,,,,
EU,Landshut,LND,e,9,49,3,u,,5.3,,,,
EU,Landshut,LND,f,9,49,5,u,,3.6,,,,
EU,Landshut,LND,g,9,49,6,u,,0,,,,
EU,Landshut,LND,h,9,49,8,u,,21.6,,,,
EU,Landshut,LND,a,10,49,10,u,,7.825,,,,
EU,Landshut,LND,b,10,49,11,u,,34.5,,,,
EU,Landshut,LND,c,10,49,15,u,,20.1,,,,
EU,Landshut,LND,d,10,49,19,u,,53.75,,,,
EU,Landshut,LND,e,10,50,2,u,,19.8,,,,
EU,Landshut,LND,f,10,50,5,u,,26.5,,,,
EU,Landshut,LND,g,10,50,6,u,,39,,,,
EU,Landshut,LND,h,10,50,8,u,,28.5,,,,
EU,Landshut,LND,a,11,50,9,u,,21.9,,,,
EU,Landshut,LND,b,11,50,13,u,,11.2,,,,
EU,Landshut,LND,c,11,50,14,u,,15.4,,,,
EU,Landshut,LND,d,11,50,16,u,,29,,,,
EU,Landshut,LND,e,11,50,19,u,,10.5,,,,
EU,Landshut,LND,f,11,50,20,u,,16,,,,
EU,Landshut,LND,g,11,51,2,u,,4.85,,,,
EU,Landshut,LND,h,11,51,4,u,,5.8,,,,
EU,Landshut,LND,a,12,51,6,u,,5.625,,,,
EU,Landshut,LND,b,12,51,7,u,,7.95,,,,
EU,Landshut,LND,c,12,51,8,u,,21.7,,,,
EU,Landshut,LND,d,12,51,10,u,,4.525,,,,
EU,Landshut,LND,e,12,51,13,u,,11.5,,,,
EU,Landshut,LND,f,12,51,14,u,,10.3,,,,
EU,Landshut,LND,g,12,51,15,u,,5.675,,,,
EU,Landshut,LND,h,12,51,16,u,,7.175,,,,
EU,Antwerp,ANT,a,1,1,10,u,,33.5,33,,,
EU,Antwerp,ANT,b,1,1,2,u,,27,,,,
EU,Antwerp,ANT,c,1,1,17,u,,19.7,,,,
EU,Antwerp,ANT,d,1,1,11,u,,27.5,,,,
EU,Antwerp,ANT,e,1,1,5,u,,24,,,,
EU,Antwerp,ANT,f,1,1,9,u,,15.7,,,,
EU,Antwerp,ANT,g,1,1,13,u,,17.8,,,,
EU,Antwerp,ANT,h,1,1,19,u,,26.5,,,,
EU,Antwerp,ANT,a,2,1,7,u,,15.5,,,,
EU,Antwerp,ANT,b,2,1,14,u,,12.5,,,,
EU,Antwerp,ANT,c,2,2,6,u,,13.8,,,,
EU,Antwerp,ANT,d,2,2,13,u,,16.2,,,,
EU,Antwerp,ANT,e,2,2,3,u,,4.1,,,,
EU,Antwerp,ANT,f,2,2,11,u,,25,,,,
EU,Antwerp,ANT,g,2,2,12,u,,6.5,,,,
EU,Antwerp,ANT,h,2,2,7,u,,20.2,,,,
EU,Antwerp,ANT,a,3,2,15,u,,11.9,,,,
EU,Antwerp,ANT,b,3,2,9,u,,20.4,,,,
EU,Antwerp,ANT,c,3,2,5,u,,27,,,,
EU,Antwerp,ANT,d,3,2,4,u,,13.9,,,,
EU,Antwerp,ANT,e,3,3,13,u,,10.4,,,,
EU,Antwerp,ANT,f,3,3,12,u,,1.2,,,,
EU,Antwerp,ANT,g,3,3,15,u,,6.3,,,,
EU,Antwerp,ANT,h,3,3,10,u,,31.5,,,,
EU,Antwerp,ANT,a,4,3,6,u,left off 3.4,13.7,,,,
EU,Antwerp,ANT,b,4,3,1,u,,16.1,,,,
EU,Antwerp,ANT,c,4,3,9,u,,10.9,,,,
EU,Antwerp,ANT,d,4,3,5,u,,24,,,,
EU,Antwerp,ANT,e,4,3,14,u,,6.5,,,,
EU,Antwerp,ANT,f,4,4,9,u,,8.225,,,,
EU,Antwerp,ANT,g,4,4,8,u,,10.5,,,,
EU,Antwerp,ANT,h,4,4,20,u,,7.375,,,,
EU,Antwerp,ANT,a,5,4,10,u,,0,,,,
EU,Antwerp,ANT,b,5,4,15,u,,1.08,,,,
EU,Antwerp,ANT,c,5,4,16,u,,1.21,,,,
EU,Antwerp,ANT,d,5,4,11,u,,0,,,,
EU,Antwerp,ANT,e,5,4,1,u,,0,,,,
EU,Antwerp,ANT,f,5,4,18,u,,4.7,,,,
EU,Antwerp,ANT,g,5,4,3,u,,17.6,,,,
EU,Antwerp,ANT,h,5,5,15,u,,11.2,,,,
EU,Antwerp,ANT,a,6,5,9,u,,18.7,,,,
EU,Antwerp,ANT,b,6,5,5,u,,8.5,,,,
EU,Antwerp,ANT,c,6,5,4,u,,17.3,,,,
EU,Antwerp,ANT,d,6,5,8,u,,4.125,,,,
EU,Antwerp,ANT,e,6,5,6,u,,5.8,,,,
EU,Antwerp,ANT,f,6,5,10,u,,25.9,,,,
EU,Antwerp,ANT,g,6,5,18,u,,14.5,,,,
EU,Antwerp,ANT,h,6,5,17,u,,11.9,,,,
EU,Antwerp,ANT,a,7,36,13,r,,6.95,,,,
EU,Antwerp,ANT,b,7,36,12,r,,9.95,,,,
EU,Antwerp,ANT,c,7,36,11,r,,11.8,,,,
EU,Antwerp,ANT,d,7,36,15,r,,6.45,,,,
EU,Antwerp,ANT,e,7,36,9,r,,12.2,,,,
EU,Antwerp,ANT,f,7,36,4,r,,11.5,,,,
EU,Antwerp,ANT,g,7,36,14,r,,20.8,,,,
EU,Antwerp,ANT,h,7,36,2,r,,7.375,,,,
EU,Antwerp,ANT,a,8,36,7,r,,10.3,,,,
EU,Antwerp,ANT,b,8,36,8,r,,10.6,,,,
EU,Antwerp,ANT,c,8,37,11,r,,9.7,,,,
EU,Antwerp,ANT,d,8,37,1,r,,10.7,,,,
EU,Antwerp,ANT,e,8,37,15,r,,3.85,,,,
EU,Antwerp,ANT,f,8,37,17,r,,13.5,,,,
EU,Antwerp,ANT,g,8,37,3,r,,23.5,,,,
EU,Antwerp,ANT,h,8,37,7,r,,12.6,,,,
EU,Antwerp,ANT,a,9,37,6,r,,6.7,,,,
EU,Antwerp,ANT,b,9,37,9,r,,5.675,,,,
EU,Antwerp,ANT,c,9,37,19,r,,9.525,,,,
EU,Antwerp,ANT,d,9,37,13,r,,8.35,,,,
EU,Antwerp,ANT,e,9,38,17,r,,3.65,,,,
EU,Antwerp,ANT,f,9,38,12,r,,13.2,,,,
EU,Antwerp,ANT,g,9,38,6,r,,24.7,,,,
EU,Antwerp,ANT,h,9,38,13,r,,22.1,,,,
EU,Antwerp,ANT,a,10,38,14,r,,13.2,,,,
EU,Antwerp,ANT,b,10,38,20,r,left off 38.7,14.7,,,,
EU,Antwerp,ANT,c,10,38,5,r,,3.275,,,,
EU,Antwerp,ANT,d,10,38,1,r,,10.9,,,,
EU,Antwerp,ANT,e,10,38,10,r,,29.25,,,,
EU,Antwerp,ANT,f,10,39,13,r,,9.55,,,,
EU,Antwerp,ANT,g,10,39,15,r,,4.075,,,,
EU,Antwerp,ANT,h,10,39,16,r,,15.9,,,,
EU,Antwerp,ANT,a,11,39,10,r,,6.3,,,,
EU,Antwerp,ANT,b,11,39,3,r,,26,,,,
EU,Antwerp,ANT,c,11,39,7,r,,16.4,,,,
EU,Antwerp,ANT,d,11,39,4,r,,6.575,,,,
EU,Antwerp,ANT,e,11,39,2,r,,18.3,,,,
EU,Antwerp,ANT,f,11,39,9,r,,12.4,,,,
EU,Antwerp,ANT,g,11,39,6,r,,6.8,,,,
EU,Antwerp,ANT,h,11,40,10,r,left off 40.2,42.5,,,,
EU,Antwerp,ANT,a,12,40,1,r,,9.25,,,,
EU,Antwerp,ANT,b,12,40,8,r,,19.8,,,,
EU,Antwerp,ANT,c,12,40,3,r,,13.6,,,,
EU,Antwerp,ANT,d,12,40,4,r,,4.35,,,,
EU,Antwerp,ANT,e,12,40,9,r,,4.8,,,,
EU,Antwerp,ANT,f,12,40,5,r,,14.5,,,,
EU,Antwerp,ANT,g,12,40,7,r,,15,,,,
EU,Antwerp,ANT,h,12,40,6,r,,33,,,,
EU,Munich,MUC,a,1,1,20,r,,20,57,,,
EU,Munich,MUC,b,1,1,18,r,,2.58,,,,
EU,Munich,MUC,c,1,1,13,r,,11.3,,,,
EU,Munich,MUC,d,1,1,11,r,,4.52,,,,
EU,Munich,MUC,e,1,1,9,r,,3.41,,,,
EU,Munich,MUC,f,1,1,6,r,,7.44,,,,
EU,Munich,MUC,g,1,1,5,r,,11.5,,,,
EU,Munich,MUC,h,1,1,4,r,,27.8,,,,
EU,Munich,MUC,a,2,1,3,r,,22.3,,,,
EU,Munich,MUC,b,2,1,2,r,,19.4,,,,
EU,Munich,MUC,c,2,2,15,r,,19.3,,,,
EU,Munich,MUC,d,2,2,13,r,,11.1,,,,
EU,Munich,MUC,e,2,2,11,r,,31.3,,,,
EU,Munich,MUC,f,2,2,10,r,,28.8,,,,
EU,Munich,MUC,g,2,2,9,r,,10.7,,,,
EU,Munich,MUC,h,2,2,8,r,,35.2,,,,
EU,Munich,MUC,a,3,2,7,r,,14.1,,,,
EU,Munich,MUC,b,3,2,6,r,,8.27,,,,
EU,Munich,MUC,c,3,2,5,r,,30.7,,,,
EU,Munich,MUC,d,3,2,1,r,,13,,,,
EU,Munich,MUC,e,3,3,19,r,,6.16,,,,
EU,Munich,MUC,f,3,3,17,r,,3.98,,,,
EU,Munich,MUC,g,3,3,16,r,,3.05,,,,
EU,Munich,MUC,h,3,3,14,r,,14.2,,,,
EU,Munich,MUC,a,4,3,9,r,,5.23,,,,
EU,Munich,MUC,b,4,3,7,r,,5.98,,,,
EU,Munich,MUC,c,4,3,6,r,,5.74,,,,
EU,Munich,MUC,d,4,3,4,r,,10.9,,,,
