OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Thessaloniki_pcs__GMIS_OID,Thessaloniki_pcs__GMIS_FID_,Thessaloniki_pcs__GMIS_COUNT,Thessaloniki_pcs__GMIS_AREA,Thessaloniki_pcs__GMIS_MEAN
-1,Thessaloniki,24,40.581859999999999,22.965689999999999,20,1,0.050000000000000,40.640064000000002,22.944420000000001,Europe,6.716400000000000,15.581300000000001,0.431100000000000,100.000000000000000,22,22,22,35,31500.000000000000000,83.628571428599997
-1,Thessaloniki,25,40.574480000000001,22.967120000000001,20,1,0.050000000000000,40.640064000000002,22.944420000000001,Europe,7.540200000000000,15.581300000000001,0.483900000000000,100.000000000000000,23,23,23,35,31500.000000000000000,90.599999999999994
-1,Thessaloniki,26,40.573360000000001,22.966130000000000,20,13,0.650000000000000,40.640064000000002,22.944420000000001,Europe,7.640200000000000,15.581300000000001,0.490300000000000,100.000000000000000,24,24,24,32,28800.000000000000000,92.250000000000000
-1,Thessaloniki,27,40.572360000000003,22.972600000000000,20,14,0.700000000000000,40.640064000000002,22.944420000000001,Europe,7.895300000000000,15.581300000000001,0.506700000000000,100.000000000000000,25,25,25,35,31500.000000000000000,91.342857142900002
-1,Thessaloniki,28,40.572060000000000,22.974000000000000,20,11,0.550000000000000,40.640064000000002,22.944420000000001,Europe,7.963400000000000,15.581300000000001,0.511100000000000,100.000000000000000,26,26,26,26,23400.000000000000000,86.384615384599996
-1,Thessaloniki,29,40.570920000000001,22.972480000000001,20,2,0.100000000000000,40.640064000000002,22.944420000000001,Europe,8.045100000000000,15.581300000000001,0.516300000000000,100.000000000000000,27,27,27,30,27000.000000000000000,87.933333333299998
-1,Thessaloniki,30,40.569780000000002,22.973070000000000,20,5,0.250000000000000,40.640064000000002,22.944420000000001,Europe,8.180899999999999,15.581300000000001,0.525000000000000,100.000000000000000,28,28,28,27,24300.000000000000000,88.444444444400006
-1,Thessaloniki,31,40.567210000000003,22.974419999999999,20,7,0.350000000000000,40.640064000000002,22.944420000000001,Europe,8.487700000000000,15.581300000000001,0.544700000000000,100.000000000000000,29,29,29,37,33300.000000000000000,87.891891891900002
-1,Thessaloniki,32,40.554200000000002,22.983010000000000,20,13,0.650000000000000,40.640064000000002,22.944420000000001,Europe,10.088300000000000,15.581300000000001,0.647500000000000,100.000000000000000,30,30,30,34,30600.000000000000000,74.882352941199997
-1,Thessaloniki,33,40.551890000000000,22.983190000000000,20,16,0.800000000000000,40.640064000000002,22.944420000000001,Europe,10.336499999999999,15.581300000000001,0.663400000000000,100.000000000000000,31,31,31,35,31500.000000000000000,90.828571428600000
-1,Thessaloniki,35,40.547530000000002,22.983499999999999,20,6,0.300000000000000,40.640064000000002,22.944420000000001,Europe,10.805500000000000,15.581300000000001,0.693500000000000,100.000000000000000,33,32,33,36,32400.000000000000000,99.083333333300004
-1,Thessaloniki,37,40.547159999999998,22.987220000000001,13,11,0.846000000000000,40.640064000000002,22.944420000000001,Europe,10.944300000000000,15.581300000000001,0.702400000000000,100.000000000000000,34,33,34,35,31500.000000000000000,86.571428571400006
-1,Thessaloniki,38,40.539999999999999,22.996400000000001,20,9,0.450000000000000,40.640064000000002,22.944420000000001,Europe,11.961000000000000,15.581300000000001,0.767700000000000,100.000000000000000,35,34,35,35,31500.000000000000000,34.628571428599997
-1,Thessaloniki,39,40.536369999999998,22.988610000000001,20,11,0.550000000000000,40.640064000000002,22.944420000000001,Europe,12.119000000000000,15.581300000000001,0.777800000000000,100.000000000000000,36,35,36,34,30600.000000000000000,35.000000000000000
-1,Thessaloniki,40,40.538460000000001,22.998690000000000,20,17,0.850000000000000,40.640064000000002,22.944420000000001,Europe,12.191900000000000,15.581300000000001,0.782500000000000,100.000000000000000,37,36,37,36,32400.000000000000000,46.027777777799997
-1,Thessaloniki,41,40.537399999999998,22.989629999999998,20,16,0.800000000000000,40.640064000000002,22.944420000000001,Europe,12.037100000000001,15.581300000000001,0.772500000000000,100.000000000000000,38,37,38,27,24300.000000000000000,60.703703703700000
-1,Thessaloniki,42,40.533949999999997,22.985430000000001,20,19,0.950000000000000,40.640064000000002,22.944420000000001,Europe,12.297000000000001,15.581300000000001,0.789200000000000,100.000000000000000,39,38,39,35,31500.000000000000000,47.000000000000000
-1,Thessaloniki,43,40.526479999999999,22.987420000000000,20,16,0.800000000000000,40.640064000000002,22.944420000000001,Europe,13.141600000000000,15.581300000000001,0.843400000000000,100.000000000000000,40,39,40,37,33300.000000000000000,67.351351351399998
-1,Thessaloniki,44,40.525649999999999,22.989080000000001,19,19,1.000000000000000,40.640064000000002,22.944420000000001,Europe,13.269500000000001,15.581300000000001,0.851600000000000,100.000000000000000,41,40,41,33,29700.000000000000000,82.969696969699996
-1,Thessaloniki,45,40.515169999999998,22.998880000000000,20,11,0.550000000000000,40.640064000000002,22.944420000000001,Europe,14.629400000000000,15.581300000000001,0.938900000000000,100.000000000000000,42,41,42,34,30600.000000000000000,30.000000000000000
-1,Thessaloniki,46,40.511049999999997,23.016420000000000,20,14,0.700000000000000,40.640064000000002,22.944420000000001,Europe,15.581300000000001,15.581300000000001,1.000000000000000,100.000000000000000,43,42,43,36,32400.000000000000000,0.000000000000000
