OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Leuven_pcs__GMIS_OID,Leuven_pcs__GMIS_FID_,Leuven_pcs__GMIS_COUNT,Leuven_pcs__GMIS_AREA,Leuven_pcs__GMIS_MEAN
-1,Leuven,15,50.873708999999998,4.719558000000000,20,5,0.250000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,1.497900000000000,9.063200000000000,0.165300000000000,100.000000000000000,14,14,14,32,28800.000000000000000,75.843750000000000
-1,Leuven,16,50.889600999999999,4.765985000000000,20,6,0.300000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,4.717900000000000,9.063200000000000,0.520600000000000,100.000000000000000,15,15,15,35,31500.000000000000000,22.057142857100001
-1,Leuven,17,50.889183000000003,4.770253000000000,19,4,0.211000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,4.999800000000000,9.063200000000000,0.551700000000000,100.000000000000000,16,16,16,34,30600.000000000000000,57.294117647100002
-1,Leuven,18,50.889955999999998,4.778458000000000,19,4,0.211000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,5.580800000000000,9.063200000000000,0.615800000000000,100.000000000000000,17,17,17,35,31500.000000000000000,48.171428571400000
-1,Leuven,19,50.890994999999997,4.784703000000000,20,0,0.000000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,6.033200000000000,9.063200000000000,0.665700000000000,100.000000000000000,18,18,18,35,31500.000000000000000,21.085714285700000
-1,Leuven,20,50.892530999999998,4.793159000000000,20,3,0.150000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,6.648900000000000,9.063200000000000,0.733600000000000,100.000000000000000,19,19,19,35,31500.000000000000000,31.800000000000001
-1,Leuven,21,50.892037999999999,4.798866000000000,18,0,0.000000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,7.029800000000000,9.063200000000000,0.775600000000000,100.000000000000000,20,20,20,36,32400.000000000000000,46.694444444399998
-1,Leuven,22,50.892198000000000,4.806542000000000,16,4,0.250000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,7.562100000000000,9.063200000000000,0.834400000000000,100.000000000000000,21,21,21,36,32400.000000000000000,26.805555555600002
-1,Leuven,23,50.892183000000003,4.816097000000000,20,0,0.000000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,8.221800000000000,9.063200000000000,0.907200000000000,100.000000000000000,22,22,22,36,32400.000000000000000,20.805555555600002
-1,Leuven,24,50.895587999999996,4.827306000000000,20,12,0.600000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,9.063200000000000,9.063200000000000,1.000000000000000,100.000000000000000,23,23,23,36,32400.000000000000000,29.833333333300001
-1,Leuven,25,50.884447000000002,4.707030000000000,16,1,0.062000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.686300000000000,9.063200000000000,0.075700000000000,100.000000000000000,24,24,24,35,31500.000000000000000,49.714285714299997
-1,Leuven,26,50.883211000000003,4.704801000000000,19,8,0.421000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.480400000000000,9.063200000000000,0.053000000000000,100.000000000000000,25,25,25,35,31500.000000000000000,72.057142857100004
-1,Leuven,27,50.883572999999998,4.699242000000000,20,4,0.200000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.426200000000000,9.063200000000000,0.047000000000000,100.000000000000000,26,26,26,35,31500.000000000000000,68.542857142900004
-1,Leuven,28,50.883547999999998,4.694649000000000,19,3,0.158000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,0.584700000000000,9.063200000000000,0.064500000000000,100.000000000000000,27,27,27,35,31500.000000000000000,50.828571428600000
-1,Leuven,29,50.889332000000003,4.792787000000000,20,10,0.500000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,6.556900000000000,9.063200000000000,0.723500000000000,100.000000000000000,28,28,28,36,32400.000000000000000,10.416666666699999
-1,Leuven,30,50.887720999999999,4.808345000000000,12,9,0.750000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,7.613500000000000,9.063200000000000,0.840000000000000,100.000000000000000,29,29,29,35,31500.000000000000000,6.057142857140000
-1,Leuven,31,50.895192999999999,4.813592000000000,16,4,0.250000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,8.112200000000000,9.063200000000000,0.895100000000000,100.000000000000000,30,30,30,35,31500.000000000000000,0.000000000000000
-1,Leuven,32,50.896788999999998,4.803872000000000,20,16,0.800000000000000,50.879829000000001,4.700540000000000,Belgium,Europe,7.489600000000000,9.063200000000000,0.826400000000000,100.000000000000000,31,31,31,35,31500.000000000000000,8.742857142860000
