OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Helsinki_pcs__GMIS_OID,Helsinki_pcs__GMIS_FID_,Helsinki_pcs__GMIS_COUNT,Helsinki_pcs__GMIS_AREA,Helsinki_pcs__GMIS_MEAN
-1,Helsinki,19,60.237130000000001,25.135890000000000,15,2,0.133000000000000,60.169857000000000,24.938379000000001,Europe,13.231000000000000,25.743800000000000,0.513900000000000,100.000000000000000,18,14,18,35,31500.000000000000000,10.685714285700000
-1,Helsinki,20,60.243810000000003,25.141800000000000,7,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,13.926000000000000,25.743800000000000,0.540900000000000,100.000000000000000,19,15,19,36,32400.000000000000000,24.222222222199999
-1,Helsinki,21,60.246220000000001,25.151520000000001,17,4,0.235000000000000,60.169857000000000,24.938379000000001,Europe,14.517600000000000,25.743800000000000,0.563900000000000,100.000000000000000,20,16,20,34,30600.000000000000000,39.852941176500003
-1,Helsinki,22,60.249859999999998,25.163640000000001,20,1,0.050000000000000,60.169857000000000,24.938379000000001,Europe,15.297100000000000,25.743800000000000,0.594200000000000,100.000000000000000,21,17,21,32,28800.000000000000000,6.468750000000000
-1,Helsinki,23,60.250929999999997,25.173580000000001,17,1,0.059000000000000,60.169857000000000,24.938379000000001,Europe,15.814399999999999,25.743800000000000,0.614300000000000,100.000000000000000,22,18,22,37,33300.000000000000000,10.405405405400000
-1,Helsinki,24,60.253480000000003,25.183280000000000,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,16.416000000000000,25.743800000000000,0.637700000000000,100.000000000000000,23,19,23,36,32400.000000000000000,2.527777777780000
-1,Helsinki,25,60.259639999999997,25.206990000000001,19,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,17.883099999999999,25.743800000000000,0.694700000000000,100.000000000000000,24,20,24,32,28800.000000000000000,9.281250000000000
-1,Helsinki,26,60.260289999999998,25.219300000000000,16,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,18.490200000000002,25.743800000000000,0.718200000000000,100.000000000000000,25,21,25,36,32400.000000000000000,8.555555555560000
-1,Helsinki,27,60.261740000000003,25.234480000000001,14,4,0.286000000000000,60.169857000000000,24.938379000000001,Europe,19.283899999999999,25.743800000000000,0.749100000000000,100.000000000000000,26,22,26,34,30600.000000000000000,8.882352941180001
-1,Helsinki,28,60.262039999999999,25.248560000000001,8,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,19.964800000000000,25.743800000000000,0.775500000000000,100.000000000000000,27,23,27,33,29700.000000000000000,1.212121212120000
-1,Helsinki,29,60.263170000000002,25.259429999999998,17,1,0.059000000000000,60.169857000000000,24.938379000000001,Europe,20.545200000000001,25.743800000000000,0.798100000000000,100.000000000000000,28,24,28,35,31500.000000000000000,0.000000000000000
-1,Helsinki,30,60.267130000000002,25.276319999999998,17,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,21.571999999999999,25.743800000000000,0.837900000000000,100.000000000000000,29,25,29,37,33300.000000000000000,3.621621621620000
-1,Helsinki,31,60.270090000000003,25.284960000000002,17,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,22.149200000000000,25.743800000000000,0.860400000000000,100.000000000000000,30,26,30,34,30600.000000000000000,0.000000000000000
-1,Helsinki,32,60.274259999999998,25.288350000000001,18,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,22.545300000000001,25.743800000000000,0.875800000000000,100.000000000000000,31,27,31,35,31500.000000000000000,0.000000000000000
-1,Helsinki,33,60.278910000000003,25.287890000000001,17,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,22.793199999999999,25.743800000000000,0.885400000000000,100.000000000000000,32,28,32,36,32400.000000000000000,0.000000000000000
-1,Helsinki,34,60.284799999999997,25.296620000000001,15,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,23.550200000000000,25.743800000000000,0.914800000000000,100.000000000000000,33,29,33,36,32400.000000000000000,0.000000000000000
-1,Helsinki,35,60.288390000000000,25.300319999999999,18,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,23.938600000000001,25.743800000000000,0.929900000000000,100.000000000000000,34,30,34,34,30600.000000000000000,0.000000000000000
-1,Helsinki,36,60.289250000000003,25.305070000000001,12,6,0.500000000000000,60.169857000000000,24.938379000000001,Europe,24.210000000000001,25.743800000000000,0.940400000000000,100.000000000000000,35,31,35,35,31500.000000000000000,1.628571428570000
-1,Helsinki,37,60.293230000000001,25.310700000000001,12,5,0.417000000000000,60.169857000000000,24.938379000000001,Europe,24.712399999999999,25.743800000000000,0.959900000000000,100.000000000000000,36,32,36,37,33300.000000000000000,0.000000000000000
-1,Helsinki,38,60.298490000000001,25.321950000000001,14,1,0.071000000000000,60.169857000000000,24.938379000000001,Europe,25.552700000000002,25.743800000000000,0.992600000000000,100.000000000000000,37,33,37,37,33300.000000000000000,26.108108108100001
-1,Helsinki,39,60.298169999999999,25.326550000000001,12,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,25.743800000000000,25.743800000000000,1.000000000000000,100.000000000000000,38,34,38,34,30600.000000000000000,28.029411764700001
-1,Helsinki,40,60.295610000000003,25.318999999999999,16,0,0.000000000000000,60.169857000000000,24.938379000000001,Europe,25.239799999999999,25.743800000000000,0.980400000000000,100.000000000000000,39,35,39,32,28800.000000000000000,43.562500000000000
