OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Brantford_pcs__GMIS_OID,Brantford_pcs__GMIS_FID_,Brantford_pcs__GMIS_COUNT,Brantford_pcs__GMIS_AREA,Brantford_pcs__GMIS_MEAN
-1,Brantford,14,43.174737999999998,-80.272018000000003,NA,NA,0.200000000000000,43.139409999999998,-80.263649999999998,North America,3.986504910350000,8.549176674780000,0.466300000000000,100.000000000000000,13,13,13,35,31500.000000000000000,23.800000000000001
-1,Brantford,15,43.176977999999998,-80.272772000000003,NA,NA,0.666666667000000,43.139409999999998,-80.263649999999998,North America,4.242393326600000,8.549176674780000,0.496200000000000,100.000000000000000,14,14,14,36,32400.000000000000000,29.416666666699999
-1,Brantford,16,43.179057000000000,-80.274167000000006,NA,NA,0.238095238000000,43.139409999999998,-80.263649999999998,North America,4.490319518820000,8.549176674780000,0.525200000000000,100.000000000000000,15,15,15,37,33300.000000000000000,29.702702702700002
-1,Brantford,17,43.181899999999999,-80.277199999999993,NA,NA,0.352941176000000,43.139409999999998,-80.263649999999998,North America,4.850815949320000,8.549176674780000,0.567400000000000,100.000000000000000,16,16,16,32,28800.000000000000000,52.062500000000000
-1,Brantford,18,43.185898000000002,-80.276460999999998,NA,NA,0.300000000000000,43.139409999999998,-80.263649999999998,North America,5.272626572080000,8.549176674780000,0.616700000000000,100.000000000000000,17,17,17,32,28800.000000000000000,35.031250000000000
-1,Brantford,19,43.186363000000000,-80.278621000000001,NA,NA,0.333333333000000,43.139409999999998,-80.263649999999998,North America,5.360277285520000,8.549176674780000,0.627000000000000,100.000000000000000,18,18,18,34,30600.000000000000000,44.735294117599999
-1,Brantford,20,43.188481000000003,-80.281688000000003,NA,NA,0.555555556000000,43.139409999999998,-80.263649999999998,North America,5.649169705220000,8.549176674780000,0.660800000000000,100.000000000000000,19,19,19,35,31500.000000000000000,45.914285714300000
-1,Brantford,21,43.190874999999998,-80.281771000000006,NA,NA,0.380952381000000,43.139409999999998,-80.263649999999998,North America,5.908354910420000,8.549176674780000,0.691100000000000,100.000000000000000,20,20,20,35,31500.000000000000000,27.914285714300000
-1,Brantford,22,43.194147999999998,-80.282199000000006,NA,NA,0.450000000000000,43.139409999999998,-80.263649999999998,North America,6.269739925050000,8.549176674780000,0.733400000000000,100.000000000000000,21,21,21,36,32400.000000000000000,12.444444444400000
-1,Brantford,23,43.199134999999998,-80.282024000000007,NA,NA,0.300000000000000,43.139409999999998,-80.263649999999998,North America,6.806235334920000,8.549176674780000,0.796100000000000,100.000000000000000,22,22,22,36,32400.000000000000000,17.166666666699999
-1,Brantford,24,43.201926000000000,-80.280382000000003,NA,NA,0.200000000000000,43.139409999999998,-80.263649999999998,North America,7.082656462080000,8.549176674780000,0.828500000000000,100.000000000000000,23,23,23,32,28800.000000000000000,48.468750000000000
-1,Brantford,25,43.206048000000003,-80.279150000000001,NA,NA,0.200000000000000,43.139409999999998,-80.263649999999998,North America,7.515662397800000,8.549176674780000,0.879100000000000,100.000000000000000,24,24,24,35,31500.000000000000000,38.742857142900000
-1,Brantford,26,43.210093000000001,-80.279051999999993,NA,NA,0.526315789000000,43.139409999999998,-80.263649999999998,North America,7.958208698640000,8.549176674780000,0.930900000000000,100.000000000000000,25,25,25,35,31500.000000000000000,15.971428571400001
-1,Brantford,27,43.215359999999997,-80.280039000000002,NA,NA,0.333333333000000,43.139409999999998,-80.263649999999998,North America,8.549176674780000,8.549176674780000,1.000000000000000,100.000000000000000,26,26,26,36,32400.000000000000000,29.138888888899999
