OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Atlantic_City_pcs__GMIS_OID,Atlantic_City_pcs__GMIS_FID_,Atlantic_City_pcs__GMIS_COUNT,Atlantic_City_pcs__GMIS_AREA,Atlantic_City_pcs__GMIS_MEAN
-1,Atlantic_City,21,39.260120000000001,-74.640119999999996,20,10,0.500000000000000,39.356273000000002,-74.436074000000005,USA,North America,20.555000000000000,37.909500000000001,1,100.000000000000000,20,19,20,35,31500.000000000000000,20.857142857100001
-1,Atlantic_City,22,39.254689999999997,-74.631150000000005,18,4,0.222000000000000,39.356273000000002,-74.436074000000005,USA,North America,20.231300000000001,37.909500000000001,1,100.000000000000000,21,20,21,36,32400.000000000000000,52.250000000000000
-1,Atlantic_City,23,39.252719999999997,-74.619540000000001,19,11,0.579000000000000,39.356273000000002,-74.436074000000005,USA,North America,19.539000000000001,37.909500000000001,1,100.000000000000000,22,21,22,35,31500.000000000000000,37.428571428600002
-1,Atlantic_City,24,39.256019999999999,-74.611369999999994,20,8,0.400000000000000,39.356273000000002,-74.436074000000005,USA,North America,18.754899999999999,37.909500000000001,0,100.000000000000000,23,22,23,36,32400.000000000000000,80.750000000000000
-1,Atlantic_City,25,39.258130000000001,-74.600999999999999,18,9,0.500000000000000,39.356273000000002,-74.436074000000005,USA,North America,17.901100000000000,37.909500000000001,0,100.000000000000000,24,23,24,37,33300.000000000000000,89.108108108099998
-1,Atlantic_City,26,39.265680000000003,-74.595609999999994,17,10,0.588000000000000,39.356273000000002,-74.436074000000005,USA,North America,17.025400000000001,37.909500000000001,0,100.000000000000000,25,24,25,36,32400.000000000000000,84.972222222200003
-1,Atlantic_City,27,39.268729999999998,-74.587059999999994,20,13,0.650000000000000,39.356273000000002,-74.436074000000005,USA,North America,16.232299999999999,37.909500000000001,0,100.000000000000000,26,25,26,36,32400.000000000000000,93.638888888899999
-1,Atlantic_City,28,39.275829999999999,-74.577039999999997,18,7,0.389000000000000,39.356273000000002,-74.436074000000005,USA,North America,15.068899999999999,37.909500000000001,0,100.000000000000000,27,26,27,35,31500.000000000000000,93.599999999999994
-1,Atlantic_City,29,39.281460000000003,-74.569680000000005,19,6,0.316000000000000,39.356273000000002,-74.436074000000005,USA,North America,14.188000000000001,37.909500000000001,0,100.000000000000000,28,27,28,35,31500.000000000000000,47.714285714299997
-1,Atlantic_City,30,39.288640000000001,-74.560550000000006,20,10,0.500000000000000,39.356273000000002,-74.436074000000005,USA,North America,13.084500000000000,37.909500000000001,0,100.000000000000000,29,28,29,34,30600.000000000000000,62.147058823499997
-1,Atlantic_City,31,39.294280000000001,-74.558009999999996,19,7,0.368000000000000,39.356273000000002,-74.436074000000005,USA,North America,12.550900000000000,37.909500000000001,0,100.000000000000000,30,29,30,34,30600.000000000000000,65.558823529400001
-1,Atlantic_City,32,39.307450000000003,-74.558019999999999,19,6,0.316000000000000,39.356273000000002,-74.436074000000005,USA,North America,11.810100000000000,37.909500000000001,0,100.000000000000000,31,30,31,37,33300.000000000000000,20.324324324300001
-1,Atlantic_City,33,39.311590000000002,-74.548710000000000,18,12,0.667000000000000,39.356273000000002,-74.436074000000005,USA,North America,10.887100000000000,37.909500000000001,0,100.000000000000000,32,31,32,32,28800.000000000000000,38.031250000000000
-1,Atlantic_City,34,39.314279999999997,-74.538129999999995,17,8,0.471000000000000,39.356273000000002,-74.436074000000005,USA,North America,9.942000000000000,37.909500000000001,0,100.000000000000000,33,32,33,36,32400.000000000000000,56.111111111100001
-1,Atlantic_City,35,39.314109999999999,-74.525899999999993,20,12,0.600000000000000,39.356273000000002,-74.436074000000005,USA,North America,9.036700000000000,37.909500000000001,0,100.000000000000000,34,33,34,37,33300.000000000000000,74.783783783800004
-1,Atlantic_City,36,39.318710000000003,-74.520110000000003,20,7,0.350000000000000,39.356273000000002,-74.436074000000005,USA,North America,8.347300000000001,37.909500000000001,0,100.000000000000000,35,34,35,35,31500.000000000000000,70.371428571400003
-1,Atlantic_City,37,39.324249999999999,-74.510369999999995,20,9,0.450000000000000,39.356273000000002,-74.436074000000005,USA,North America,7.314500000000000,37.909500000000001,0,100.000000000000000,36,35,36,35,31500.000000000000000,60.342857142900002
-1,Atlantic_City,38,39.328180000000003,-74.502700000000004,20,11,0.550000000000000,39.356273000000002,-74.436074000000005,USA,North America,6.525800000000000,37.909500000000001,0,100.000000000000000,37,36,37,32,28800.000000000000000,78.500000000000000
-1,Atlantic_City,39,39.332920000000001,-74.492959999999997,17,14,0.824000000000000,39.356273000000002,-74.436074000000005,USA,North America,5.538300000000000,37.909500000000001,0,100.000000000000000,38,37,38,36,32400.000000000000000,87.416666666699996
-1,Atlantic_City,40,39.338230000000003,-74.481790000000004,20,12,0.600000000000000,39.356273000000002,-74.436074000000005,USA,North America,4.413400000000000,37.909500000000001,0,100.000000000000000,39,38,39,35,31500.000000000000000,86.257142857100007
-1,Atlantic_City,41,39.342910000000003,-74.472089999999994,17,8,0.471000000000000,39.356273000000002,-74.436074000000005,USA,North America,3.434900000000000,37.909500000000001,0,100.000000000000000,40,39,40,35,31500.000000000000000,84.771428571399994
-1,Atlantic_City,42,39.347709999999999,-74.462329999999994,20,9,0.450000000000000,39.356273000000002,-74.436074000000005,USA,North America,2.450200000000000,37.909500000000001,0,100.000000000000000,41,40,41,36,32400.000000000000000,82.666666666699996
-1,Atlantic_City,43,39.351909999999997,-74.452960000000004,20,6,0.300000000000000,39.356273000000002,-74.436074000000005,USA,North America,1.530800000000000,37.909500000000001,0,100.000000000000000,42,41,42,35,31500.000000000000000,65.285714285699996
-1,Atlantic_City,44,39.355820000000001,-74.444109999999995,19,13,0.684000000000000,39.356273000000002,-74.436074000000005,USA,North America,0.692800000000000,37.909500000000001,0,100.000000000000000,43,42,43,35,31500.000000000000000,86.457142857099996
-1,Atlantic_City,45,39.360759999999999,-74.822479999999999,20,9,0.450000000000000,39.356273000000002,-74.436074000000005,USA,North America,33.225000000000001,37.909500000000001,1,100.000000000000000,44,43,44,32,28800.000000000000000,0.000000000000000
