OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Kalamazoo_pcs__GMIS_OID,Kalamazoo_pcs__GMIS_FID_,Kalamazoo_pcs__GMIS_COUNT,Kalamazoo_pcs__GMIS_AREA,Kalamazoo_pcs__GMIS_MEAN
-1,Kalamazoo,17,42.313206999999998,-85.589962999999997,19,9,0.474000000000000,42.289780000000000,-85.584678999999994,USA,North America,2.641000000000000,8.461700000000000,0.312100000000000,100.000000000000000,16,16,16,36,32400.000000000000000,2.277777777780000
-1,Kalamazoo,18,42.315744000000002,-85.589907999999994,20,4,0.200000000000000,42.289780000000000,-85.584678999999994,USA,North America,2.918900000000000,8.461700000000000,0.345000000000000,100.000000000000000,17,17,17,35,31500.000000000000000,21.457142857099999
-1,Kalamazoo,19,42.318190999999999,-85.589883999999998,19,2,0.105000000000000,42.289780000000000,-85.584678999999994,USA,North America,3.188000000000000,8.461700000000000,0.376800000000000,100.000000000000000,18,18,18,35,31500.000000000000000,30.457142857099999
-1,Kalamazoo,20,42.320183999999998,-85.589850999999996,16,5,0.312000000000000,42.289780000000000,-85.584678999999994,USA,North America,3.407400000000000,8.461700000000000,0.402700000000000,100.000000000000000,19,19,19,35,31500.000000000000000,1.828571428570000
-1,Kalamazoo,21,42.322122000000000,-85.589360999999997,20,3,0.150000000000000,42.289780000000000,-85.584678999999994,USA,North America,3.616800000000000,8.461700000000000,0.427400000000000,100.000000000000000,20,20,20,35,31500.000000000000000,0.000000000000000
-1,Kalamazoo,22,42.324544000000003,-85.589793000000000,18,2,0.111000000000000,42.289780000000000,-85.584678999999994,USA,North America,3.888400000000000,8.461700000000000,0.459500000000000,100.000000000000000,21,21,21,35,31500.000000000000000,12.428571428600000
-1,Kalamazoo,23,42.327227000000001,-85.589749999999995,19,7,0.368000000000000,42.289780000000000,-85.584678999999994,USA,North America,4.184700000000000,8.461700000000000,0.494500000000000,100.000000000000000,22,22,22,36,32400.000000000000000,7.111111111110000
-1,Kalamazoo,24,42.329473000000000,-85.589977000000005,20,0,0.000000000000000,42.289780000000000,-85.584678999999994,USA,North America,4.435100000000000,8.461700000000000,0.524100000000000,100.000000000000000,23,23,23,37,33300.000000000000000,10.027027027000001
-1,Kalamazoo,25,42.331422000000003,-85.589725999999999,20,10,0.500000000000000,42.289780000000000,-85.584678999999994,USA,North America,4.648900000000000,8.461700000000000,0.549400000000000,100.000000000000000,24,24,24,35,31500.000000000000000,17.057142857100001
-1,Kalamazoo,26,42.333373000000002,-85.589760999999996,19,5,0.263000000000000,42.289780000000000,-85.584678999999994,USA,North America,4.865300000000000,8.461700000000000,0.575000000000000,100.000000000000000,25,25,25,32,28800.000000000000000,8.406250000000000
-1,Kalamazoo,27,42.335253999999999,-85.589828999999995,20,7,0.350000000000000,42.289780000000000,-85.584678999999994,USA,North America,5.074200000000000,8.461700000000000,0.599700000000000,100.000000000000000,26,26,26,36,32400.000000000000000,0.722222222222000
-1,Kalamazoo,28,42.337148999999997,-85.590076999999994,20,5,0.250000000000000,42.289780000000000,-85.584678999999994,USA,North America,5.285900000000000,8.461700000000000,0.624700000000000,100.000000000000000,27,27,27,32,28800.000000000000000,0.000000000000000
-1,Kalamazoo,29,42.339098000000000,-85.589905999999999,19,5,0.263000000000000,42.289780000000000,-85.584678999999994,USA,North America,5.500700000000000,8.461700000000000,0.650100000000000,100.000000000000000,28,28,28,33,29700.000000000000000,0.000000000000000
-1,Kalamazoo,30,42.340983999999999,-85.590131999999997,14,4,0.286000000000000,42.289780000000000,-85.584678999999994,USA,North America,5.711300000000000,8.461700000000000,0.675000000000000,100.000000000000000,29,29,29,34,30600.000000000000000,0.000000000000000
-1,Kalamazoo,31,42.346393999999997,-85.590181999999999,20,8,0.400000000000000,42.289780000000000,-85.584678999999994,USA,North America,6.311400000000000,8.461700000000000,0.745900000000000,100.000000000000000,30,30,30,32,28800.000000000000000,0.000000000000000
-1,Kalamazoo,32,42.348362000000002,-85.589935999999994,20,7,0.350000000000000,42.289780000000000,-85.584678999999994,USA,North America,6.528300000000000,8.461700000000000,0.771500000000000,100.000000000000000,31,31,31,37,33300.000000000000000,0.000000000000000
-1,Kalamazoo,33,42.350239000000002,-85.590051000000003,20,3,0.150000000000000,42.289780000000000,-85.584678999999994,USA,North America,6.737200000000000,8.461700000000000,0.796200000000000,100.000000000000000,32,32,32,36,32400.000000000000000,0.000000000000000
-1,Kalamazoo,34,42.352080999999998,-85.589958999999993,19,5,0.263000000000000,42.289780000000000,-85.584678999999994,USA,North America,6.941100000000000,8.461700000000000,0.820300000000000,100.000000000000000,33,33,33,35,31500.000000000000000,0.000000000000000
-1,Kalamazoo,35,42.353988000000001,-85.589956000000001,19,4,0.211000000000000,42.289780000000000,-85.584678999999994,USA,North America,7.152800000000000,8.461700000000000,0.845300000000000,100.000000000000000,34,34,34,35,31500.000000000000000,0.000000000000000
-1,Kalamazoo,36,42.356104999999999,-85.589967999999999,20,7,0.350000000000000,42.289780000000000,-85.584678999999994,USA,North America,7.387800000000000,8.461700000000000,0.873100000000000,100.000000000000000,35,35,35,32,28800.000000000000000,0.000000000000000
-1,Kalamazoo,37,42.358111999999998,-85.590035000000000,20,3,0.150000000000000,42.289780000000000,-85.584678999999994,USA,North America,7.610900000000000,8.461700000000000,0.899500000000000,100.000000000000000,36,36,36,37,33300.000000000000000,0.000000000000000
-1,Kalamazoo,38,42.361457000000001,-85.590035999999998,19,4,0.211000000000000,42.289780000000000,-85.584678999999994,USA,North America,7.982300000000000,8.461700000000000,0.943300000000000,100.000000000000000,37,37,37,36,32400.000000000000000,0.000000000000000
-1,Kalamazoo,39,42.363419999999998,-85.590204000000000,20,4,0.200000000000000,42.289780000000000,-85.584678999999994,USA,North America,8.201000000000001,8.461700000000000,0.969200000000000,100.000000000000000,38,38,38,33,29700.000000000000000,0.000000000000000
-1,Kalamazoo,40,42.365772000000000,-85.590098999999995,20,3,0.150000000000000,42.289780000000000,-85.584678999999994,USA,North America,8.461700000000000,8.461700000000000,1.000000000000000,100.000000000000000,39,39,39,32,28800.000000000000000,0.000000000000000
