OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Louisville_pcs__GMIS_OID,Louisville_pcs__GMIS_FID_,Louisville_pcs__GMIS_COUNT,Louisville_pcs__GMIS_AREA,Louisville_pcs__GMIS_MEAN
-1,Louisville,27,38.211160000000000,-85.748779999999996,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,5.099300000000000,40.364500000000000,0.126300000000000,100.000000000000000,26,26,26,34,30600.000000000000000,47.323529411800003
-1,Louisville,29,37.915260000000004,-85.656499999999994,16,4,0.250000000000000,38.256605999999998,-85.756595000000004,North America,38.953800000000001,40.364500000000000,0.965100000000000,100.000000000000000,27,27,27,35,31500.000000000000000,0.000000000000000
-1,Louisville,30,37.905200000000001,-85.640940000000001,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,40.364500000000000,40.364500000000000,1.000000000000000,100.000000000000000,28,28,28,36,32400.000000000000000,0.000000000000000
-1,Louisville,31,38.104469999999999,-85.636799999999994,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,19.895099999999999,40.364500000000000,0.492900000000000,100.000000000000000,29,29,29,32,28800.000000000000000,5.625000000000000
-1,Louisville,32,38.210230000000003,-85.707120000000003,16,0,0.000000000000000,38.256605999999998,-85.756595000000004,North America,6.728000000000000,40.364500000000000,0.166700000000000,100.000000000000000,30,30,30,34,30600.000000000000000,6.823529411760000
-1,Louisville,33,38.362769999999998,-85.416849999999997,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,31.907299999999999,40.364500000000000,0.790500000000000,100.000000000000000,31,31,31,37,33300.000000000000000,0.000000000000000
-1,Louisville,34,38.324590000000001,-85.468100000000007,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,26.288599999999999,40.364500000000000,0.651300000000000,100.000000000000000,32,32,32,35,31500.000000000000000,51.142857142899999
-1,Louisville,35,38.317819999999998,-85.547950000000000,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,19.440799999999999,40.364500000000000,0.481600000000000,100.000000000000000,33,33,33,36,32400.000000000000000,9.250000000000000
-1,Louisville,36,38.287900000000000,-85.557019999999994,16,5,0.312000000000000,38.256605999999998,-85.756595000000004,North America,17.766300000000001,40.364500000000000,0.440100000000000,100.000000000000000,34,34,34,35,31500.000000000000000,31.542857142900001
-1,Louisville,37,38.055999999999997,-85.683400000000006,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,23.206299999999999,40.364500000000000,0.574900000000000,100.000000000000000,35,35,35,35,31500.000000000000000,24.942857142899999
-1,Louisville,38,38.090200000000003,-85.746399999999994,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,18.524999999999999,40.364500000000000,0.458900000000000,100.000000000000000,36,36,36,37,33300.000000000000000,1.081081081080000
-1,Louisville,39,38.249000000000002,-85.608800000000002,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,12.933100000000000,40.364500000000000,0.320400000000000,100.000000000000000,37,37,37,35,31500.000000000000000,67.799999999999997
-1,Louisville,40,38.199500000000000,-85.680300000000003,16,2,0.125000000000000,38.256605999999998,-85.756595000000004,North America,9.205100000000000,40.364500000000000,0.228000000000000,100.000000000000000,38,38,38,36,32400.000000000000000,26.861111111100001
-1,Louisville,41,38.216709999999999,-85.757360000000006,16,4,0.250000000000000,38.256605999999998,-85.756595000000004,North America,4.436700000000000,40.364500000000000,0.109900000000000,100.000000000000000,39,39,39,34,30600.000000000000000,60.794117647100002
-1,Louisville,42,38.215690000000002,-85.759720000000002,16,7,0.438000000000000,38.256605999999998,-85.756595000000004,North America,4.557800000000000,40.364500000000000,0.112900000000000,100.000000000000000,40,40,40,35,31500.000000000000000,50.285714285700003
-1,Louisville,43,38.239120000000000,-85.759349999999998,16,3,0.188000000000000,38.256605999999998,-85.756595000000004,North America,1.959200000000000,40.364500000000000,0.048500000000000,100.000000000000000,41,41,41,35,31500.000000000000000,82.971428571399997
-1,Louisville,44,38.248500000000000,-85.759439999999998,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,0.935000000000000,40.364500000000000,0.023200000000000,100.000000000000000,42,42,42,37,33300.000000000000000,94.432432432400006
-1,Louisville,45,38.251049999999999,-85.755660000000006,29,4,0.138000000000000,38.256605999999998,-85.756595000000004,North America,0.623200000000000,40.364500000000000,0.015400000000000,100.000000000000000,43,43,43,35,31500.000000000000000,99.599999999999994
-1,Louisville,46,38.233570000000000,-85.747320000000002,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,2.686500000000000,40.364500000000000,0.066600000000000,100.000000000000000,44,44,44,35,31500.000000000000000,44.657142857099998
-1,Louisville,47,38.228340000000003,-85.757599999999996,16,1,0.062000000000000,38.256605999999998,-85.756595000000004,North America,3.144300000000000,40.364500000000000,0.077900000000000,100.000000000000000,45,45,45,32,28800.000000000000000,51.687500000000000
