OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,Palmerston_North_pcs__GMIS_OID,Palmerston_North_pcs__GMIS_FID_,Palmerston_North_pcs__GMIS_COUNT,Palmerston_North_pcs__GMIS_AREA,Palmerston_North_pcs__GMIS_MEAN
-1,Palmerston_North,17,-40.337100000000000,175.602450000000005,19,12,0.632000000000000,-40.356316999999997,175.611239000000012,Oceania,2.262900000000000,7.727000000000000,0.292900000000000,100.000000000000000,16,16,16,35,31500.000000000000000,32.285714285700003
-1,Palmerston_North,18,-40.338439999999999,175.595830000000007,20,15,0.750000000000000,-40.356316999999997,175.611239000000012,Oceania,2.378400000000000,7.727000000000000,0.307800000000000,100.000000000000000,17,17,17,36,32400.000000000000000,91.500000000000000
-1,Palmerston_North,19,-40.339619999999996,175.593169999999986,19,12,0.632000000000000,-40.356316999999997,175.611239000000012,Oceania,2.406600000000000,7.727000000000000,0.311500000000000,100.000000000000000,18,18,18,34,30600.000000000000000,74.176470588200004
-1,Palmerston_North,20,-40.335999999999999,175.593960000000010,19,16,0.842000000000000,-40.356316999999997,175.611239000000012,Oceania,2.692200000000000,7.727000000000000,0.348400000000000,100.000000000000000,19,19,19,33,29700.000000000000000,13.484848484800001
-1,Palmerston_North,21,-40.333039999999997,175.590489999999988,20,17,0.850000000000000,-40.356316999999997,175.611239000000012,Oceania,3.129100000000000,7.727000000000000,0.405000000000000,100.000000000000000,20,20,20,35,31500.000000000000000,15.914285714300000
-1,Palmerston_North,22,-40.328380000000003,175.585160000000002,18,13,0.722000000000000,-40.356316999999997,175.611239000000012,Oceania,3.812500000000000,7.727000000000000,0.493400000000000,100.000000000000000,21,21,21,35,31500.000000000000000,1.571428571430000
-1,Palmerston_North,23,-40.324100000000001,175.580270000000013,17,16,0.941000000000000,-40.356316999999997,175.611239000000012,Oceania,4.441000000000000,7.727000000000000,0.574700000000000,100.000000000000000,22,22,22,36,32400.000000000000000,1.333333333330000
-1,Palmerston_North,24,-40.319429999999997,175.573919999999987,17,16,0.941000000000000,-40.356316999999997,175.611239000000012,Oceania,5.179600000000000,7.727000000000000,0.670300000000000,100.000000000000000,23,23,23,34,30600.000000000000000,4.382352941180000
-1,Palmerston_North,26,-40.313079999999999,175.567669999999993,19,17,0.895000000000000,-40.356316999999997,175.611239000000012,Oceania,6.062400000000000,7.727000000000000,0.784600000000000,100.000000000000000,25,24,25,36,32400.000000000000000,2.166666666670000
-1,Palmerston_North,27,-40.334159999999997,175.592260000000010,19,16,0.842000000000000,-40.356316999999997,175.611239000000012,Oceania,2.942300000000000,7.727000000000000,0.380800000000000,100.000000000000000,26,25,26,34,30600.000000000000000,12.970588235299999
-1,Palmerston_North,28,-40.330019999999998,175.587529999999987,19,15,0.789000000000000,-40.356316999999997,175.611239000000012,Oceania,3.547900000000000,7.727000000000000,0.459200000000000,100.000000000000000,27,26,27,36,32400.000000000000000,4.000000000000000
-1,Palmerston_North,29,-40.326200000000000,175.583210000000008,18,15,0.833000000000000,-40.356316999999997,175.611239000000012,Oceania,4.105900000000000,7.727000000000000,0.531400000000000,100.000000000000000,28,27,28,35,31500.000000000000000,2.685714285710000
-1,Palmerston_North,30,-40.311419999999998,175.565760000000012,16,15,0.938000000000000,-40.356316999999997,175.611239000000012,Oceania,6.307400000000000,7.727000000000000,0.816300000000000,100.000000000000000,29,28,29,35,31500.000000000000000,1.628571428570000
-1,Palmerston_North,31,-40.308149999999998,175.562230000000000,20,17,0.850000000000000,-40.356316999999997,175.611239000000012,Oceania,6.778200000000000,7.727000000000000,0.877200000000000,100.000000000000000,30,29,30,37,33300.000000000000000,4.216216216220000
-1,Palmerston_North,32,-40.306190000000001,175.559750000000008,18,15,0.833000000000000,-40.356316999999997,175.611239000000012,Oceania,7.079300000000000,7.727000000000000,0.916200000000000,100.000000000000000,31,30,31,37,33300.000000000000000,0.000000000000000
-1,Palmerston_North,33,-40.321910000000003,175.578100000000006,17,14,0.824000000000000,-40.356316999999997,175.611239000000012,Oceania,4.746200000000000,7.727000000000000,0.614200000000000,100.000000000000000,32,31,32,34,30600.000000000000000,1.323529411760000
-1,Palmerston_North,34,-40.307569999999998,175.555329999999998,16,15,0.938000000000000,-40.356316999999997,175.611239000000012,Oceania,7.200000000000000,7.727000000000000,0.931800000000000,100.000000000000000,33,32,33,35,31500.000000000000000,5.742857142860000
-1,Palmerston_North,35,-40.307169999999999,175.552619999999990,19,16,0.842000000000000,-40.356316999999997,175.611239000000012,Oceania,7.386100000000000,7.727000000000000,0.955900000000000,100.000000000000000,34,33,34,35,31500.000000000000000,5.085714285710000
-1,Palmerston_North,36,-40.306849999999997,175.550399999999996,16,14,0.875000000000000,-40.356316999999997,175.611239000000012,Oceania,7.539900000000000,7.727000000000000,0.975800000000000,100.000000000000000,35,34,35,35,31500.000000000000000,2.542857142860000
-1,Palmerston_North,37,-40.306289999999997,175.547969999999992,18,17,0.944000000000000,-40.356316999999997,175.611239000000012,Oceania,7.727000000000000,7.727000000000000,1.000000000000000,100.000000000000000,36,35,36,35,31500.000000000000000,3.171428571430000
-1,Palmerston_North,38,-40.305180000000000,175.558539999999994,15,14,0.933000000000000,-40.356316999999997,175.611239000000012,Oceania,7.231000000000000,7.727000000000000,0.935800000000000,100.000000000000000,37,36,37,29,26100.000000000000000,0.000000000000000
-1,Palmerston_North,39,-40.303910000000002,175.556999999999988,17,16,0.941000000000000,-40.356316999999997,175.611239000000012,Oceania,7.422700000000000,7.727000000000000,0.960600000000000,100.000000000000000,38,37,38,35,31500.000000000000000,0.000000000000000
-1,Palmerston_North,40,-40.301879999999997,175.554800000000000,19,19,1.000000000000000,-40.356316999999997,175.611239000000012,Oceania,7.715500000000000,7.727000000000000,0.998500000000000,100.000000000000000,39,38,39,36,32400.000000000000000,0.000000000000000
