Sample Results,,,,,,,,,,
,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,320 Raw,260,280,260/280,ng/µL
1,SPL37,Tor96.17,E8,0.136,0.104,0.05,0.091,0.058,1.568,90.693
1,SPL38,Tor96.18,F8,0.191,0.146,0.066,0.134,0.086,1.56,134.33
1,SPL39,Tor96.19,G8,0.199,0.146,0.063,0.147,0.091,1.617,147.059
1,SPL40,Tor96.20,H8,0.116,0.091,0.048,0.072,0.046,1.553,72.04
1,SPL41,Tor115.1,A9,0.262,0.184,0.063,0.226,0.138,1.637,225.702
1,SPL42,Tor115.2,B9,0.168,0.125,0.053,0.127,0.08,1.583,126.802
1,SPL43,Tor115.3,C9,0.157,0.117,0.048,0.119,0.076,1.575,119.233
1,SPL44,Tor115.4,D9,0.221,0.167,0.066,0.171,0.112,1.537,171.399
1,SPL45,Tor115.5,E9,0.249,0.181,0.079,0.188,0.114,1.652,188.369
1,SPL46,Tor115.6,F9,0.265,0.204,0.107,0.173,0.108,1.606,173.208
1,SPL47,Tor115.7,G9,0.179,0.133,0.055,0.136,0.086,1.573,135.701
1,SPL48,Tor115.8,H9,0.125,0.098,0.046,0.084,0.057,1.485,84.036
2,SPL1,Tor115.9,A2,0.292,0.228,0.073,0.236,0.17,1.394,236.36
2,SPL2,Tor115.10,B2,0.173,0.139,0.08,0.098,0.063,1.565,97.904
2,SPL3,Tor115.11,C2,0.286,0.224,0.116,0.183,0.116,1.572,182.554
2,SPL4,Tor115.12,D2,0.251,0.197,0.112,0.148,0.091,1.63,147.717
2,SPL5,Tor115.13,E2,0.262,0.202,0.105,0.167,0.104,1.603,167.11
2,SPL6,Tor115.14,F2,0.188,0.151,0.088,0.104,0.067,1.56,104.332
2,SPL7,Tor115.15,G2,0.343,0.257,0.12,0.24,0.148,1.622,239.696
2,SPL8,Tor115.16,H2,0.148,0.112,0.054,0.097,0.061,1.595,97.02
2,SPL9,Tor115.17,A3,0.161,0.119,0.058,0.108,0.065,1.661,107.961
2,SPL10,Tor115.18,B3,0.209,0.153,0.066,0.153,0.095,1.614,153.394
2,SPL11,Tor116.1,C3,0.293,0.214,0.088,0.223,0.138,1.622,223.433
2,SPL12,Tor116.2,D3,0.206,0.165,0.098,0.116,0.073,1.591,115.687
2,SPL13,Tor116.3,E3,0.221,0.17,0.092,0.139,0.085,1.639,138.684
2,SPL14,Tor116.4,F3,0.266,0.196,0.085,0.196,0.12,1.63,195.865
2,SPL15,Tor116.5,G3,0.243,0.192,0.101,0.15,0.097,1.552,150
2,SPL16,Tor116.6,H3,0.172,0.133,0.064,0.114,0.074,1.537,114.139
2,SPL17,Tor116.7,A5,0.217,0.157,0.066,0.17,0.102,1.656,169.726
2,SPL18,Tor116.8,B5,0.166,0.123,0.057,0.119,0.072,1.654,118.836
2,SPL19,Tor116.9,C5,0.193,0.16,0.102,0.101,0.065,1.56,100.633
2,SPL20,Tor116.10,D5,0.183,0.122,0.051,0.149,0.08,1.868,149.096
2,SPL21,Tor116.11,E5,0.208,0.139,0.059,0.17,0.091,1.868,169.535
2,SPL22,Tor116.12,F5,0.224,0.177,0.1,0.141,0.089,1.589,140.828
2,SPL23,Tor116.13,G5,0.221,0.157,0.064,0.18,0.106,1.691,179.697
2,SPL24,Tor116.14,H5,0.134,0.1,0.056,0.086,0.049,1.745,85.735
2,SPL25,Tor116.15,A6,0.211,0.159,0.071,0.157,0.099,1.578,156.897
2,SPL26,Tor116.16,B6,0.195,0.138,0.053,0.16,0.096,1.673,159.859
2,SPL27,Tor116.17,C6,0.154,0.111,0.048,0.12,0.072,1.674,119.896
2,SPL28,Tor116.18,D6,0.192,0.139,0.063,0.147,0.087,1.685,147.122
2,SPL29,Tor116.19,E6,0.135,0.1,0.044,0.102,0.064,1.602,102.375
2,SPL30,Tor116.20,F6,0.193,0.159,0.095,0.11,0.073,1.513,110.49
2,SPL31,Tor117.1,G6,0.205,0.145,0.051,0.179,0.11,1.634,179.015
2,SPL32,Tor117.2,H6,0.119,0.091,0.053,0.072,0.042,1.72,72.417
2,SPL33,Tor117.3,A8,0.102,0.078,0.044,0.061,0.037,1.664,61.213
2,SPL34,Tor117.4,B8,0.172,0.126,0.056,0.128,0.077,1.65,127.832
2,SPL35,Tor117.5,C8,0.154,0.11,0.047,0.116,0.069,1.684,115.78
2,SPL36,Tor117.6,D8,0.211,0.183,0.123,0.095,0.065,1.454,94.918
2,SPL37,Tor117.7,E8,0.14,0.105,0.048,0.097,0.061,1.591,97.486
2,SPL38,Tor117.8,F8,0.185,0.132,0.05,0.146,0.088,1.663,146.021
2,SPL39,Tor117.9,G8,0.127,0.095,0.042,0.09,0.057,1.596,90.489
2,SPL40,Tor117.10,H8,0.107,0.083,0.042,0.068,0.044,1.564,68.325
2,SPL41,Tor117.11,A9,0.124,0.094,0.046,0.085,0.052,1.631,85.131
2,SPL42,Tor117.12,B9,0.112,0.085,0.046,0.07,0.042,1.652,70.153
2,SPL43,Tor117.13,C9,0.11,0.085,0.046,0.067,0.041,1.637,66.926
2,SPL44,Tor117.14,D9,0.1,0.077,0.041,0.061,0.038,1.616,60.682
2,SPL45,Tor117.15,E9,0.076,0.062,0.04,0.035,0.022,1.616,35.006
2,SPL46,Tor117.16,F9,0.082,0.066,0.041,0.042,0.026,1.596,41.629
2,SPL47,Tor117.17,G9,0.168,0.121,0.055,0.124,0.072,1.711,123.52
2,SPL48,Tor117.18,H9,0.112,0.085,0.048,0.067,0.039,1.714,66.955
