Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL45,Tor37.1,E9,0.167,0.128,0.226,0.076,0.099,0.057,0.12,1.745,0.827,99.088
1,SPL46,Tor37.2,F9,0.12,0.095,0.193,0.062,0.058,0.032,0.095,1.792,0.605,57.736
1,SPL47,Tor37.3,G9,0.2,0.159,0.275,0.101,0.108,0.064,0.145,1.694,0.742,107.81
1,SPL48,Tor37.4,H9,0.139,0.112,0.219,0.076,0.068,0.039,0.111,1.722,0.609,67.638
2,SPL1,Tor37.5,A2,0.163,0.114,0.216,0.054,0.117,0.065,0.125,1.79,0.93,116.503
2,SPL2,Tor37.6,B2,0.239,0.171,0.278,0.065,0.189,0.115,0.183,1.642,1.037,189.34
2,SPL3,Tor37.7,C2,0.1,0.085,0.175,0.061,0.037,0.023,0.072,1.588,0.515,37.131
2,SPL4,Tor37.8,D2,0.215,0.163,0.262,0.084,0.14,0.085,0.143,1.649,0.977,139.96
2,SPL5,Tor37.9,E2,0.205,0.148,0.234,0.067,0.148,0.088,0.131,1.69,1.128,147.939
2,SPL6,Tor37.10,F2,0.126,0.101,0.204,0.063,0.065,0.039,0.102,1.651,0.636,64.766
2,SPL7,Tor37.11,G2,0.217,0.16,0.275,0.08,0.146,0.086,0.161,1.7,0.908,146.352
2,SPL8,Tor37.12,H2,0.254,0.199,0.347,0.114,0.15,0.091,0.201,1.65,0.746,149.558
2,SPL9,Tor37.13,A3,0.106,0.08,0.154,0.05,0.058,0.031,0.063,1.841,0.909,57.609
2,SPL10,Tor37.14,B3,0.143,0.111,0.23,0.066,0.082,0.049,0.131,1.68,0.625,81.9
2,SPL11,Tor37.15,C3,0.158,0.124,0.233,0.077,0.086,0.05,0.12,1.712,0.718,86.16
2,SPL12,Tor37.16,D3,0.238,0.185,0.311,0.106,0.143,0.086,0.176,1.668,0.812,143.178
2,SPL13,Tor37.17,E3,0.115,0.089,0.183,0.057,0.06,0.033,0.087,1.819,0.682,59.66
2,SPL14,Tor37.18,F3,0.136,0.101,0.198,0.059,0.077,0.042,0.099,1.833,0.772,76.812
2,SPL15,Tor37.19,G3,0.289,0.253,0.532,0.164,0.133,0.095,0.352,1.398,0.378,133.259
2,SPL16,Tor37.20,H3,0.366,0.233,0.306,0.071,0.324,0.178,0.208,1.82,1.559,324.324
2,SPL17,Tor38.1,A5,0.115,0.096,0.197,0.074,0.042,0.022,0.087,1.874,0.476,41.589
2,SPL18,Tor38.2,B5,0.174,0.13,0.236,0.075,0.108,0.061,0.132,1.769,0.82,108.086
2,SPL19,Tor38.3,C5,0.213,0.149,0.24,0.067,0.166,0.094,0.149,1.772,1.113,166.08
2,SPL20,Tor38.4,D5,0.221,0.173,0.303,0.103,0.133,0.079,0.181,1.689,0.734,132.66
2,SPL21,Tor38.5,E5,0.243,0.19,0.314,0.114,0.147,0.088,0.183,1.675,0.806,147.135
2,SPL22,Tor38.6,F5,0.164,0.134,0.23,0.086,0.087,0.054,0.116,1.623,0.751,87.219
2,SPL23,Tor38.7,G5,0.116,0.095,0.206,0.066,0.055,0.033,0.113,1.687,0.487,54.963
2,SPL24,Tor38.8,H5,0.081,0.073,0.165,0.054,0.026,0.019,0.075,1.383,0.353,26.453
2,SPL25,Tor38.9,A6,0.083,0.069,0.143,0.05,0.032,0.019,0.053,1.725,0.608,32.1
2,SPL26,Tor38.10,B6,0.131,0.104,0.211,0.066,0.071,0.042,0.117,1.705,0.608,71.244
2,SPL27,Tor38.11,C6,0.098,0.08,0.154,0.056,0.045,0.026,0.062,1.735,0.724,44.843
2,SPL28,Tor38.12,D6,0.129,0.101,0.209,0.066,0.07,0.04,0.117,1.756,0.598,69.889
2,SPL29,Tor38.13,E6,0.082,0.07,0.168,0.055,0.028,0.015,0.081,1.798,0.341,27.553
2,SPL30,Tor38.14,F6,0.14,0.117,0.239,0.081,0.065,0.04,0.135,1.633,0.481,65.057
2,SPL31,Tor38.15,G6,0.162,0.114,0.21,0.056,0.121,0.066,0.13,1.835,0.93,120.578
2,SPL32,Tor38.16,H6,0.08,0.068,0.157,0.048,0.033,0.02,0.075,1.614,0.439,32.928
2,SPL33,Tor38.17,A8,0.136,0.098,0.17,0.054,0.09,0.049,0.081,1.813,1.112,89.563
2,SPL34,Tor38.18,B8,0.113,0.093,0.187,0.067,0.046,0.025,0.083,1.849,0.561,46.349
2,SPL35,Tor38.19,C8,0.112,0.088,0.179,0.058,0.056,0.032,0.087,1.777,0.649,56.406
2,SPL36,Tor38.20,D8,0.136,0.108,0.211,0.071,0.066,0.037,0.107,1.762,0.614,65.861
2,SPL37,NA1,E8,0.06,0.052,0.133,0.045,0.012,0.006,0.048,1.981,0.245,11.889
2,SPL38,NA2,F8,0.055,0.049,0.13,0.043,0.009,0.005,0.046,1.93,0.202,9.33
2,SPL39,NA3,G8,0.052,0.046,0.126,0.041,0.005,0.003,0.047,1.731,0.107,5.071
2,SPL40,NA4,H8,0.065,0.059,0.143,0.052,0.009,0.005,0.049,1.975,0.182,8.892
,,Yellow background indicates a high reference wavelength read,,,,,,,,,,,
