Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL22,Tor7.2,F5,0.15,0.124,0.249,0.094,0.061,0.032,0.095,1.9,0.642,60.947
1,SPL23,Tor7.3,G5,0.353,0.3,0.485,0.216,0.156,0.096,0.23,1.613,0.677,155.532
1,SPL24,Tor7.4,H5,0.166,0.135,0.222,0.095,0.078,0.044,0.056,1.76,1.392,77.94
1,SPL25,Tor7.5,A6,0.13,0.111,0.181,0.087,0.043,0.024,0.019,1.814,2.242,43.033
1,SPL26,Tor7.6,B6,0.191,0.162,0.248,0.119,0.078,0.048,0.063,1.637,1.232,77.817
1,SPL27,Tor7.7,C6,0.19,0.154,0.269,0.109,0.086,0.049,0.102,1.774,0.845,86.264
1,SPL28,Tor7.8,D6,0.143,0.119,0.161,0.094,0.049,0.025,0.004,1.962,12.606,49.277
1,SPL29,Tor7.9,E6,0.097,0.084,0.159,0.072,0.023,0.012,0.016,1.941,1.42,23.278
1,SPL30,Tor7.10,F6,0.209,0.157,0.253,0.095,0.127,0.069,0.097,1.827,1.3,126.665
1,SPL31,Tor7.11,G6,0.16,0.124,0.262,0.076,0.094,0.054,0.13,1.728,0.722,94.168
1,SPL32,Tor7.12,H6,0.09,0.077,0.194,0.058,0.032,0.019,0.069,1.656,0.465,32.212
1,SPL33,Tor7.13,A8,0.177,0.132,0.205,0.084,0.103,0.053,0.056,1.952,1.842,102.523
1,SPL34,Tor7.14,B8,0.575,0.396,0.543,0.159,0.47,0.268,0.355,1.751,1.325,470.016
1,SPL35,Tor7.15,C8,0.388,0.34,0.485,0.274,0.125,0.074,0.157,1.691,0.795,124.572
1,SPL36,Tor7.16,D8,0.222,0.183,0.281,0.134,0.094,0.054,0.083,1.756,1.138,94.234
1,SPL37,Tor7.17,E8,0.068,0.058,0.165,0.046,0.019,0.01,0.045,1.857,0.425,19.135
1,SPL38,Tor7.18,F8,0.154,0.111,0.22,0.058,0.102,0.057,0.096,1.808,1.062,102.406
1,SPL39,Tor7.19,G8,0.12,0.089,0.205,0.051,0.072,0.04,0.082,1.808,0.879,72.121
1,SPL40,Tor7.20,H8,0.126,0.093,0.204,0.052,0.077,0.044,0.085,1.742,0.906,76.655
1,SPL41,Tor21.1,A9,0.41,0.328,0.37,0.238,0.193,0.102,0.069,1.893,2.813,193.459
1,SPL42,Tor21.2,B9,0.424,0.302,0.342,0.186,0.266,0.13,0.095,2.046,2.809,265.507
1,SPL43,Tor21.3,C9,0.281,0.245,0.289,0.154,0.14,0.101,0.069,1.381,2.033,139.561
1,SPL44,Tor21.4,D9,0.117,0.103,0.164,0.084,0.031,0.018,0.012,1.704,2.581,31.028
1,SPL45,Tor21.5,E9,0.115,0.102,0.239,0.078,0.037,0.025,0.1,1.477,0.366,36.716
1,SPL46,Tor21.6,F9,0.076,0.062,0.152,0.044,0.03,0.017,0.038,1.732,0.798,30.059
1,SPL47,Tor21.7,G9,0.09,0.075,0.178,0.055,0.032,0.018,0.053,1.733,0.597,31.762
1,SPL48,Tor21.8,H9,0.066,0.057,0.156,0.047,0.015,0.009,0.036,1.753,0.423,15.372
2,SPL1,Tor21.9,A2,0.068,0.058,0.178,0.048,0.016,0.008,0.054,1.932,0.299,15.988
2,SPL2,Tor21.10,B2,0.173,0.14,0.313,0.095,0.082,0.048,0.153,1.693,0.533,81.735
2,SPL3,Tor21.11,C2,0.095,0.087,0.227,0.07,0.022,0.016,0.084,1.386,0.255,21.503
2,SPL4,Tor21.12,D2,0.097,0.082,0.211,0.059,0.035,0.023,0.08,1.556,0.444,35.35
2,SPL5,Tor21.13,E2,0.188,0.166,0.349,0.121,0.068,0.047,0.163,1.452,0.418,68.041
2,SPL6,Tor21.14,F2,0.089,0.075,0.195,0.054,0.033,0.021,0.066,1.599,0.502,33.046
2,SPL7,Tor21.15,G2,0.164,0.145,0.318,0.104,0.06,0.042,0.143,1.428,0.419,59.952
2,SPL8,Tor21.16,H2,0.063,0.057,0.166,0.049,0.003,0.002,0.036,1.333,0.087,3.091
2,SPL9,Tor21.17,A3,0.119,0.097,0.214,0.062,0.059,0.036,0.083,1.618,0.709,58.517
2,SPL10,Tor21.18,B3,0.182,0.151,0.311,0.102,0.085,0.053,0.147,1.599,0.581,85.181
2,SPL11,Tor21.19,C3,0.284,0.201,0.326,0.092,0.21,0.119,0.174,1.76,1.202,209.616
2,SPL12,Tor21.20,D3,0.14,0.12,0.255,0.088,0.049,0.031,0.119,1.585,0.412,48.923
2,SPL13,Tor22.1,E3,0.101,0.093,0.175,0.08,0.018,0.012,0.019,1.519,0.952,17.685
2,SPL14,Tor22.2,F3,0.069,0.058,0.18,0.047,0.016,0.009,0.054,1.793,0.304,16.341
2,SPL15,Tor22.3,G3,0.083,0.073,0.195,0.057,0.022,0.014,0.06,1.539,0.365,21.84
2,SPL16,Tor22.4,H3,0.085,0.074,0.202,0.057,0.025,0.016,0.07,1.61,0.364,25.352
2,SPL17,Tor22.5,A5,0.055,0.049,0.147,0.042,0.007,0.005,0.033,1.641,0.229,7.435
2,SPL18,Tor22.6,B5,0.146,0.11,0.225,0.066,0.087,0.048,0.097,1.826,0.9,87.287
2,SPL19,Tor22.7,C5,0.131,0.107,0.213,0.071,0.063,0.038,0.091,1.648,0.686,62.632
2,SPL20,Tor22.8,D5,0.07,0.06,0.154,0.047,0.02,0.012,0.038,1.723,0.534,20.427
2,SPL21,Tor22.9,E5,0.079,0.065,0.165,0.048,0.031,0.018,0.05,1.733,0.615,30.653
2,SPL22,Tor22.10,F5,0.063,0.055,0.158,0.046,0.014,0.008,0.044,1.7,0.318,14.083
2,SPL23,Tor22.11,G5,0.179,0.151,0.315,0.109,0.077,0.047,0.156,1.651,0.495,77.233
2,SPL24,Tor22.12,H5,0.096,0.081,0.177,0.051,0.047,0.032,0.056,1.478,0.854,47.473
2,SPL25,Tor22.13,A6,0.126,0.108,0.254,0.082,0.045,0.027,0.11,1.641,0.405,44.662
2,SPL26,Tor22.14,B6,0.262,0.22,0.412,0.138,0.139,0.093,0.233,1.492,0.595,138.85
2,SPL27,Tor22.15,C6,0.18,0.134,0.27,0.076,0.113,0.065,0.141,1.745,0.8,112.816
2,SPL28,Tor22.16,D6,0.098,0.082,0.204,0.061,0.035,0.019,0.094,1.791,0.368,34.589
2,SPL29,Tor22.17,E6,0.115,0.1,0.222,0.077,0.039,0.024,0.085,1.621,0.459,39.074
2,SPL30,Tor22.18,F6,0.156,0.135,0.232,0.109,0.046,0.026,0.056,1.751,0.825,46.028
2,SPL31,Tor22.19,G6,0.074,0.065,0.17,0.053,0.018,0.011,0.048,1.659,0.377,18.045
2,SPL32,Tor22.20,H6,0.237,0.213,0.402,0.156,0.091,0.065,0.201,1.4,0.45,90.551
2,SPL33,Tor23.1,A8,0.115,0.1,0.216,0.074,0.042,0.026,0.079,1.602,0.528,41.888
2,SPL34,Tor23.2,B8,0.084,0.07,0.185,0.053,0.03,0.016,0.066,1.804,0.447,29.526
2,SPL35,Tor23.3,C8,0.122,0.097,0.222,0.064,0.06,0.035,0.096,1.7,0.625,60.174
2,SPL36,Tor23.4,D8,0.15,0.112,0.219,0.064,0.092,0.052,0.092,1.777,0.998,91.727
2,SPL37,Tor23.5,E8,0.146,0.119,0.258,0.081,0.068,0.04,0.112,1.682,0.606,67.595
2,SPL38,Tor23.6,F8,0.193,0.14,0.273,0.072,0.13,0.073,0.139,1.771,0.931,129.834
2,SPL39,Tor23.7,G8,0.145,0.11,0.237,0.066,0.084,0.048,0.102,1.757,0.826,83.953
2,SPL40,Tor23.8,H8,0.34,0.281,0.456,0.18,0.174,0.112,0.224,1.551,0.776,174.021
2,SPL41,Tor23.9,A9,0.115,0.094,0.188,0.059,0.059,0.038,0.065,1.571,0.913,59.383
2,SPL42,Tor23.10,B9,0.064,0.055,0.157,0.045,0.015,0.009,0.044,1.733,0.336,14.878
2,SPL43,Tor23.11,C9,0.083,0.07,0.173,0.053,0.029,0.017,0.051,1.696,0.56,28.666
2,SPL44,Tor23.12,D9,0.61,0.554,0.8,0.395,0.239,0.178,0.384,1.342,0.621,238.722
2,SPL45,Tor23.13,E9,0.654,0.612,0.75,0.459,0.216,0.172,0.248,1.259,0.873,216.42
2,SPL46,Tor23.14,F9,0.157,0.125,0.265,0.083,0.079,0.045,0.121,1.741,0.647,78.607
2,SPL47,Tor23.15,G9,0.13,0.093,0.179,0.048,0.085,0.046,0.063,1.821,1.346,84.586
2,SPL48,Tor23.16,H9,0.067,0.055,0.146,0.042,0.022,0.012,0.031,1.83,0.721,22.091
,,Yellow background indicates a high reference wavelength read,,,,,,,,,,,
