Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL20,Tor79.18,D5,0.07,0.058,0.113,0.043,0.027,0.015,0.029,1.824,0.919,26.767
1,SPL21,Tor79.19,E5,0.07,0.057,0.105,0.04,0.031,0.017,0.023,1.786,1.308,30.535
1,SPL22,Tor79.20,F5,0.084,0.064,0.11,0.041,0.046,0.026,0.029,1.797,1.612,46.154
1,SPL23,Tor80.1,G5,0.042,0.039,0.086,0.037,0.001,0,0.005,1.25,0.128,0.592
1,SPL24,Tor80.3,H5,0.082,0.063,0.11,0.039,0.046,0.026,0.028,1.775,1.654,45.701
1,SPL25,Tor80.9,A6,0.055,0.049,0.098,0.041,0.011,0.007,0.011,1.714,1.021,11.165
1,SPL26,Tor80.16,B6,0.061,0.05,0.094,0.038,0.022,0.012,0.012,1.822,1.736,21.596
1,SPL27,Tor80.18,C6,0.102,0.077,0.121,0.044,0.064,0.037,0.037,1.748,1.721,63.96
1,SPL28,Tor80.19,D6,0.091,0.067,0.109,0.038,0.058,0.032,0.031,1.828,1.848,57.806
1,SPL29,Tor81.1,E6,0.058,0.051,0.098,0.041,0.016,0.009,0.015,1.74,1.047,15.914
1,SPL30,Tor81.2,F6,0.074,0.058,0.102,0.039,0.037,0.021,0.021,1.777,1.728,36.989
1,SPL31,Tor81.3,G6,0.102,0.073,0.114,0.039,0.07,0.038,0.035,1.824,1.973,69.551
1,SPL32,Tor81.4,H6,0.091,0.068,0.112,0.041,0.054,0.03,0.03,1.784,1.813,54.283
1,SPL33,Tor81.5,A8,0.071,0.058,0.106,0.043,0.027,0.016,0.019,1.741,1.407,27.193
1,SPL34,Tor81.6,B8,0.061,0.056,0.102,0.054,0.002,-0.001,0,-1.538,5,2.289
1,SPL35,Tor81.7,C8,0.09,0.067,0.109,0.04,0.053,0.029,0.028,1.837,1.905,52.866
1,SPL36,Tor81.8,D8,0.08,0.064,0.116,0.046,0.03,0.017,0.028,1.772,1.091,30.082
1,SPL37,Tor81.12,E8,0.117,0.081,0.12,0.039,0.083,0.045,0.039,1.842,2.106,82.994
1,SPL38,Tor81.14,F8,0.074,0.059,0.105,0.041,0.032,0.018,0.02,1.846,1.609,32.374
1,SPL39,Tor81.15,G8,0.13,0.09,0.133,0.043,0.091,0.049,0.052,1.84,1.755,90.602
1,SPL40,Tor81.16,H8,0.049,0.045,0.096,0.04,0.005,0.003,0.009,1.607,0.542,5.065
1,SPL41,Tor81.17,A9,0.099,0.07,0.108,0.039,0.064,0.034,0.026,1.913,2.436,64.138
1,SPL42,Tor81.18,B9,0.206,0.139,0.178,0.058,0.162,0.088,0.089,1.834,1.823,162.28
1,SPL43,Tor81.19,C9,0.175,0.114,0.148,0.042,0.147,0.08,0.07,1.844,2.096,147.213
1,SPL44,Tor81.20,D9,0.073,0.058,0.104,0.041,0.031,0.017,0.02,1.808,1.525,31.257
1,SPL45,Tor82.2,E9,0.059,0.049,0.094,0.038,0.019,0.01,0.012,1.811,1.538,18.586
1,SPL46,Tor82.6,F9,0.103,0.079,0.124,0.048,0.055,0.03,0.033,1.841,1.676,55.127
1,SPL47,Tor82.7,G9,0.1,0.072,0.11,0.039,0.065,0.035,0.029,1.85,2.263,64.663
1,SPL48,Tor82.9,H9,0.05,0.044,0.091,0.04,0.006,0.002,0.006,2.571,1.08,6.149
2,SPL1,Tor82.10,A2,0.061,0.051,0.104,0.04,0.019,0.01,0.016,1.817,1.166,18.895
2,SPL2,Tor82.12,B2,0.236,0.158,0.216,0.063,0.188,0.103,0.116,1.824,1.619,187.779
2,SPL3,Tor82.13,C2,0.51,0.461,0.729,0.354,0.167,0.115,0.361,1.454,0.463,167.258
2,SPL4,Tor82.16,D2,0.049,0.045,0.098,0.041,0.004,0.002,0.009,1.636,0.429,3.989
2,SPL5,Tor82.17,E2,0.14,0.101,0.158,0.053,0.091,0.051,0.062,1.809,1.473,91.423
2,SPL6,Tor82.18,F2,0.103,0.076,0.127,0.043,0.062,0.034,0.038,1.836,1.614,61.892
2,SPL7,Tor82.19,G2,0.12,0.088,0.141,0.046,0.076,0.044,0.05,1.737,1.537,76.372
2,SPL8,Tor82.20,H2,0.048,0.044,0.099,0.039,0.005,0.003,0.011,1.714,0.49,5.298
2,SPL9,Tor83.2,A3,0.063,0.052,0.103,0.039,0.022,0.012,0.018,1.886,1.222,22.454
2,SPL10,Tor83.3,B3,0.064,0.059,0.108,0.049,0.012,0.008,0.012,1.486,0.972,11.765
2,SPL11,Tor83.5,C3,0.118,0.088,0.137,0.05,0.071,0.04,0.043,1.768,1.666,71.108
2,SPL12,Tor83.9,D3,0.05,0.047,0.096,0.042,0.004,0.002,0.007,1.636,0.59,4.039
2,SPL13,Tor83.10,E3,0.133,0.108,0.179,0.073,0.061,0.036,0.065,1.712,0.946,61.339
2,SPL14,Tor83.11,F3,0.251,0.187,0.275,0.096,0.163,0.096,0.145,1.698,1.129,163.295
2,SPL15,Tor83.12,G3,0.098,0.072,0.118,0.041,0.058,0.032,0.031,1.836,1.882,58.204
2,SPL16,Tor83.13,H3,0.089,0.066,0.111,0.038,0.053,0.029,0.027,1.826,1.954,52.602
2,SPL17,Tor83.14,A5,0.14,0.103,0.163,0.068,0.078,0.038,0.055,2.071,1.423,77.718
2,SPL18,Tor83.15,B5,0.118,0.088,0.134,0.056,0.066,0.036,0.036,1.849,1.843,65.67
2,SPL19,Tor83.16,C5,0.133,0.089,0.124,0.038,0.105,0.057,0.046,1.852,2.279,105.325
2,SPL20,Tor83.17,D5,0.095,0.075,0.126,0.051,0.046,0.025,0.035,1.842,1.324,46.49
2,SPL21,Tor83.18,E5,0.21,0.135,0.166,0.046,0.188,0.102,0.088,1.85,2.136,188.399
2,SPL22,Tor83.19,F5,0.066,0.056,0.104,0.044,0.02,0.012,0.018,1.765,1.169,20.473
2,SPL23,NA1,G5,0.043,0.041,0.084,0.038,0,0.001,0.001,0.143,0.167,0.118
2,SPL24,NA2,H5,0.041,0.039,0.082,0.036,0,0,-0.002,-3,0.231,-0.354
,,Yellow background indicates a high reference wavelength read,,,,,,,,,,,
