Sample Results,,,,,,,,,,
,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,320 Raw,260,280,260/280,ng/µL
1,SPL32,Tor40.12,H6,0.255,0.193,0.077,0.207,0.136,1.517,206.633
1,SPL33,Tor40.13,A8,0.167,0.129,0.072,0.104,0.063,1.633,103.564
1,SPL34,Tor40.14,B8,0.119,0.098,0.07,0.05,0.03,1.702,50.24
1,SPL35,Tor40.15,C8,0.103,0.077,0.04,0.067,0.04,1.665,66.91
1,SPL36,Tor40.16,D8,0.11,0.084,0.048,0.067,0.04,1.685,67.001
1,SPL37,Tor40.17,E8,0.138,0.1,0.045,0.097,0.058,1.682,97.486
1,SPL38,Tor40.18,F8,0.151,0.114,0.059,0.097,0.058,1.662,96.785
1,SPL39,Tor40.19,G8,0.191,0.127,0.045,0.154,0.09,1.718,153.933
1,SPL40,Tor40.20,H8,0.188,0.142,0.076,0.121,0.072,1.665,120.666
1,SPL41,Tor41.1,A9,0.114,0.085,0.043,0.076,0.045,1.671,75.968
1,SPL42,Tor41.2,B9,0.174,0.117,0.043,0.144,0.082,1.749,143.511
1,SPL43,Tor41.3,C9,0.129,0.096,0.046,0.094,0.058,1.617,93.993
1,SPL44,Tor41.4,D9,0.225,0.171,0.054,0.19,0.132,1.444,190.405
1,SPL45,Tor41.5,E9,0.125,0.092,0.046,0.085,0.051,1.671,85.177
1,SPL46,Tor41.6,F9,0.098,0.074,0.041,0.059,0.035,1.682,58.757
1,SPL47,Tor41.7,G9,0.124,0.094,0.05,0.08,0.048,1.665,79.804
1,SPL48,Tor41.8,H9,0.462,0.4,0.256,0.227,0.161,1.412,227.055
2,SPL1,Tor41.9,A2,0.187,0.169,0.105,0.089,0.072,1.236,88.886
2,SPL2,Tor41.10,B2,0.297,0.246,0.139,0.169,0.115,1.467,169.269
2,SPL3,Tor41.11,C2,0.104,0.077,0.043,0.061,0.034,1.784,61.295
2,SPL4,Tor41.12,D2,0.201,0.134,0.047,0.166,0.095,1.751,165.669
2,SPL5,Tor41.13,E2,0.161,0.108,0.063,0.103,0.047,2.174,102.615
2,SPL6,Tor41.14,F2,0.191,0.113,0.065,0.134,0.051,2.643,134.063
2,SPL7,Tor41.15,G2,0.166,0.128,0.075,0.095,0.056,1.69,94.776
2,SPL8,Tor41.16,H2,0.183,0.136,0.074,0.111,0.064,1.731,110.817
2,SPL9,Tor41.17,A3,0.129,0.099,0.054,0.079,0.049,1.62,79.383
2,SPL10,Tor41.18,B3,0.17,0.123,0.048,0.132,0.083,1.6,132.466
2,SPL11,Tor41.19,C3,0.168,0.123,0.043,0.134,0.086,1.551,133.79
2,SPL12,Tor41.20,D3,0.17,0.124,0.053,0.126,0.077,1.639,125.785
2,SPL13,Tor42.1,E3,0.113,0.088,0.046,0.069,0.044,1.554,69.062
2,SPL14,Tor42.2,F3,0.197,0.154,0.069,0.138,0.093,1.483,137.617
2,SPL15,Tor42.3,G3,0.222,0.154,0.052,0.18,0.11,1.644,180.488
2,SPL16,Tor42.4,H3,0.205,0.142,0.048,0.169,0.102,1.659,168.751
2,SPL17,Tor42.5,A5,0.146,0.112,0.05,0.107,0.069,1.544,106.529
2,SPL18,Tor42.6,B5,0.171,0.128,0.055,0.13,0.082,1.575,129.937
2,SPL19,Tor42.7,C5,0.207,0.15,0.061,0.166,0.101,1.64,166.198
2,SPL20,Tor42.8,D5,0.205,0.146,0.054,0.172,0.105,1.63,171.637
2,SPL21,Tor42.9,E5,0.188,0.135,0.055,0.151,0.092,1.643,151.497
2,SPL22,Tor42.10,F5,0.181,0.131,0.057,0.141,0.085,1.653,141.065
2,SPL23,Tor42.11,G5,0.222,0.169,0.088,0.153,0.094,1.635,153.044
2,SPL24,Tor42.12,H5,0.209,0.153,0.064,0.166,0.103,1.616,166.391
2,SPL25,Tor42.13,A6,0.147,0.109,0.052,0.106,0.064,1.653,105.955
2,SPL26,Tor42.14,B6,0.176,0.133,0.058,0.133,0.085,1.551,132.512
2,SPL27,Tor42.15,C6,0.155,0.116,0.055,0.111,0.069,1.62,111.282
2,SPL28,Tor42.16,D6,0.126,0.095,0.052,0.082,0.048,1.714,82.208
2,SPL29,Tor42.17,E6,0.252,0.181,0.073,0.207,0.125,1.653,206.888
2,SPL30,Tor42.18,F6,0.128,0.101,0.057,0.077,0.047,1.624,77.069
2,SPL31,Tor42.19,G6,0.149,0.117,0.065,0.094,0.059,1.603,94.049
2,SPL32,Tor42.20,H6,0.17,0.143,0.075,0.107,0.079,1.363,107.492
2,SPL33,Tor43.1,A8,0.206,0.158,0.083,0.137,0.084,1.634,136.542
2,SPL34,Tor43.2,B8,0.164,0.115,0.049,0.126,0.073,1.727,125.887
2,SPL35,Tor43.3,C8,0.175,0.122,0.05,0.138,0.079,1.739,137.588
2,SPL36,Tor43.4,D8,0.199,0.135,0.051,0.164,0.094,1.754,164.312
2,SPL37,Tor43.5,E8,0.238,0.155,0.046,0.21,0.119,1.763,209.805
2,SPL38,Tor43.6,F8,0.186,0.13,0.056,0.14,0.08,1.752,139.613
2,SPL39,Tor43.7,G8,0.109,0.085,0.049,0.059,0.038,1.546,58.711
2,SPL40,Tor43.8,H8,0.181,0.131,0.064,0.126,0.074,1.71,126.294
2,SPL41,Tor43.9,A9,0.182,0.122,0.047,0.151,0.084,1.793,150.777
2,SPL42,Tor43.10,B9,0.162,0.115,0.047,0.126,0.075,1.685,126.116
2,SPL43,Tor43.11,C9,0.194,0.137,0.06,0.151,0.089,1.695,151.211
2,SPL44,Tor43.12,D9,0.168,0.117,0.048,0.131,0.076,1.708,130.639
2,SPL45,Tor43.13,E9,0.102,0.078,0.043,0.062,0.037,1.662,62.144
2,SPL46,Tor43.14,F9,0.158,0.116,0.057,0.108,0.064,1.705,108.326
2,SPL47,Tor43.15,G9,0.133,0.1,0.047,0.092,0.058,1.605,92.441
2,SPL48,Tor43.16,H9,0.144,0.12,0.068,0.079,0.056,1.402,79.025
,,Yellow background indicates a high reference wavelength read,,,,,,,,
