Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL21,Tor2.1,E5,0.283,0.233,0.334,0.173,0.125,0.068,0.136,1.842,0.918,125.088
1,SPL22,Tor2.2,F5,0.1,0.078,0.218,0.061,0.04,0.017,0.131,2.306,0.305,40.118
1,SPL23,Tor2.3,G5,0.123,0.09,0.194,0.053,0.078,0.041,0.113,1.904,0.686,77.588
1,SPL24,Tor2.4,H5,0.078,0.067,0.163,0.051,0.026,0.016,0.076,1.654,0.34,25.98
1,SPL25,Tor2.5,A6,0.08,0.066,0.149,0.048,0.032,0.017,0.062,1.819,0.506,31.519
1,SPL26,Tor2.6,B6,0.118,0.091,0.221,0.061,0.062,0.032,0.135,1.927,0.46,62.207
1,SPL27,Tor2.7,C6,0.131,0.096,0.218,0.058,0.082,0.042,0.136,1.925,0.6,81.544
1,SPL28,Tor2.8,D6,0.128,0.106,0.247,0.091,0.039,0.015,0.132,2.574,0.298,39.327
1,SPL29,Tor2.9,E6,0.149,0.11,0.237,0.068,0.091,0.047,0.147,1.949,0.62,90.974
1,SPL30,Tor2.10,F6,0.102,0.081,0.207,0.06,0.045,0.023,0.121,1.979,0.373,45.195
1,SPL31,Tor2.11,G6,0.1,0.077,0.176,0.052,0.051,0.026,0.094,1.932,0.539,50.789
1,SPL32,Tor2.12,H6,0.082,0.062,0.133,0.042,0.042,0.021,0.053,1.994,0.787,41.875
1,SPL33,Tor2.13,A8,0.079,0.064,0.144,0.048,0.031,0.017,0.058,1.816,0.53,30.896
1,SPL34,Tor2.14,B8,0.106,0.083,0.201,0.058,0.048,0.024,0.108,2.029,0.448,48.295
1,SPL35,Tor2.15,C8,0.102,0.079,0.184,0.055,0.049,0.026,0.096,1.915,0.509,48.984
1,SPL36,Tor2.16,D8,0.133,0.101,0.214,0.065,0.069,0.037,0.118,1.885,0.59,69.394
1,SPL37,Tor2.17,E8,0.096,0.078,0.193,0.059,0.036,0.019,0.1,1.934,0.363,36.345
1,SPL38,Tor2.18,F8,0.117,0.091,0.21,0.062,0.057,0.03,0.115,1.888,0.496,56.879
1,SPL39,Tor2.19,G8,0.121,0.09,0.199,0.057,0.065,0.034,0.112,1.913,0.579,64.683
1,SPL40,Tor2.20,H8,0.07,0.058,0.128,0.044,0.024,0.013,0.041,1.831,0.589,24.313
1,SPL41,Tor3.1,A9,0.087,0.069,0.15,0.048,0.041,0.022,0.065,1.832,0.625,40.594
1,SPL42,Tor3.2,B9,0.128,0.101,0.226,0.069,0.06,0.032,0.131,1.859,0.461,60.197
1,SPL43,Tor3.3,C9,0.117,0.09,0.207,0.06,0.061,0.032,0.118,1.883,0.516,60.644
1,SPL44,Tor3.4,D9,0.121,0.098,0.239,0.072,0.051,0.028,0.139,1.833,0.369,51.408
1,SPL45,Tor3.5,E9,0.146,0.108,0.229,0.065,0.087,0.046,0.136,1.882,0.642,87.343
1,SPL46,Tor3.6,F9,0.119,0.095,0.231,0.067,0.05,0.025,0.132,1.978,0.382,50.25
1,SPL47,Tor3.7,G9,0.095,0.078,0.171,0.057,0.039,0.022,0.078,1.805,0.503,39.048
1,SPL48,Tor3.8,H9,0.089,0.068,0.136,0.043,0.047,0.026,0.054,1.828,0.879,47.256
2,SPL1,Tor3.9,A2,0.089,0.074,0.188,0.053,0.035,0.021,0.095,1.676,0.366,34.66
2,SPL2,Tor3.10,B2,0.105,0.087,0.222,0.063,0.041,0.024,0.122,1.742,0.339,41.369
2,SPL3,Tor3.11,C2,0.143,0.114,0.241,0.074,0.071,0.041,0.13,1.722,0.543,70.605
2,SPL4,Tor3.12,D2,0.146,0.112,0.246,0.07,0.079,0.044,0.141,1.801,0.562,79.012
2,SPL5,Tor3.13,E2,0.198,0.151,0.286,0.075,0.13,0.081,0.178,1.606,0.732,130.43
2,SPL6,Tor3.14,F2,0.151,0.115,0.275,0.074,0.079,0.042,0.167,1.885,0.475,79.355
2,SPL7,Tor3.15,G2,0.124,0.097,0.225,0.064,0.061,0.034,0.123,1.787,0.496,61.054
2,SPL8,Tor3.16,H2,0.095,0.079,0.175,0.057,0.038,0.022,0.075,1.693,0.507,37.748
2,SPL9,Tor3.17,A3,0.078,0.067,0.161,0.051,0.025,0.015,0.07,1.723,0.363,25.403
2,SPL10,Tor3.18,B3,0.083,0.069,0.176,0.051,0.031,0.017,0.088,1.792,0.357,31.222
2,SPL11,Tor3.19,C3,0.082,0.069,0.184,0.053,0.027,0.015,0.091,1.793,0.3,27.185
2,SPL12,Tor3.20,D3,0.101,0.079,0.184,0.054,0.048,0.026,0.093,1.845,0.518,48.025
2,SPL13,Tor4.1,E3,0.116,0.091,0.219,0.064,0.053,0.028,0.12,1.87,0.444,53.168
2,SPL14,Tor4.2,F3,0.151,0.118,0.257,0.077,0.073,0.039,0.145,1.851,0.503,73.032
2,SPL15,Tor4.3,G3,0.325,0.192,0.301,0.058,0.29,0.145,0.214,1.993,1.352,289.911
2,SPL16,Tor4.4,H3,0.067,0.058,0.138,0.045,0.02,0.012,0.049,1.692,0.403,19.656
2,SPL17,Tor4.5,A5,0.09,0.073,0.2,0.054,0.035,0.019,0.114,1.871,0.312,35.432
2,SPL18,Tor4.6,B5,0.128,0.102,0.222,0.072,0.059,0.032,0.12,1.822,0.487,58.542
2,SPL19,Tor4.7,C5,0.123,0.094,0.217,0.058,0.072,0.039,0.133,1.824,0.54,71.663
2,SPL20,Tor4.8,D5,0.19,0.202,0.207,0.171,0.017,0.033,-0.011,0.52,-1.553,17.14
2,SPL21,Tor4.9,E5,0.296,0.27,0.322,0.248,0.051,0.023,0.033,2.255,1.535,51.049
2,SPL22,Tor4.10,F5,0.108,0.085,0.202,0.059,0.053,0.029,0.116,1.851,0.457,52.781
2,SPL23,Tor4.11,G5,0.096,0.078,0.196,0.056,0.042,0.023,0.112,1.855,0.379,42.407
2,SPL24,Tor4.12,H5,0.088,0.07,0.144,0.047,0.043,0.024,0.059,1.749,0.725,42.749
2,SPL25,Tor4.13,A6,0.103,0.078,0.152,0.047,0.06,0.033,0.067,1.836,0.897,59.781
2,SPL26,Tor4.14,B6,0.111,0.082,0.167,0.048,0.069,0.037,0.087,1.843,0.793,68.779
2,SPL27,Tor4.15,C6,0.111,0.086,0.213,0.063,0.051,0.024,0.123,2.102,0.414,50.861
2,SPL28,Tor4.16,D6,0.12,0.093,0.207,0.064,0.061,0.032,0.118,1.897,0.518,60.886
2,SPL29,Tor4.17,E6,0.103,0.083,0.187,0.057,0.049,0.027,0.101,1.801,0.491,49.406
2,SPL30,Tor4.18,F6,0.185,0.132,0.239,0.068,0.133,0.073,0.15,1.822,0.889,133.088
2,SPL31,Tor4.19,G6,0.121,0.092,0.19,0.059,0.069,0.037,0.103,1.855,0.668,68.953
2,SPL32,Tor4.20,H6,0.068,0.06,0.141,0.05,0.016,0.009,0.054,1.77,0.29,15.629
2,SPL33,Tor5.1,A8,0.073,0.06,0.134,0.046,0.026,0.015,0.048,1.72,0.544,26.267
2,SPL34,Tor5.2,B8,0.124,0.099,0.23,0.067,0.059,0.032,0.132,1.863,0.448,59.052
2,SPL35,Tor5.3,C8,0.093,0.075,0.171,0.052,0.042,0.023,0.083,1.78,0.499,41.676
2,SPL36,Tor5.4,D8,0.131,0.1,0.211,0.064,0.068,0.038,0.116,1.807,0.591,68.368
2,SPL37,Tor5.5,E8,0.122,0.1,0.197,0.068,0.057,0.033,0.095,1.701,0.599,56.612
2,SPL38,Tor5.6,F8,0.085,0.073,0.167,0.057,0.026,0.015,0.071,1.719,0.365,26.079
2,SPL39,Tor5.7,G8,0.116,0.085,0.155,0.049,0.069,0.037,0.071,1.848,0.971,68.515
2,SPL40,Tor5.8,H8,0.168,0.127,0.212,0.073,0.102,0.057,0.103,1.776,0.991,101.981
2,SPL41,Tor5.9,A9,0.118,0.112,0.205,0.076,0.042,0.038,0.096,1.106,0.444,42.45
2,SPL42,Tor5.10,B9,0.069,0.061,0.129,0.052,0.013,0.007,0.041,1.871,0.327,13.275
2,SPL43,Tor5.11,C9,0.081,0.068,0.136,0.051,0.029,0.017,0.045,1.73,0.643,29.237
2,SPL44,Tor5.12,D9,0.094,0.074,0.134,0.05,0.046,0.026,0.044,1.786,1.034,45.798
2,SPL45,Tor5.13,E9,0.089,0.07,0.139,0.049,0.042,0.022,0.051,1.857,0.816,41.505
2,SPL46,Tor5.14,F9,0.129,0.099,0.166,0.059,0.07,0.039,0.067,1.797,1.051,70.327
2,SPL47,Tor5.15,G9,0.116,0.093,0.166,0.063,0.056,0.032,0.065,1.756,0.857,55.783
2,SPL48,Tor5.16,H9,0.138,0.127,0.239,0.084,0.056,0.047,0.124,1.183,0.452,56.024
,,Yellow background indicates a high reference wavelength read,,,,,,,,,,,
