city,Mean_annualAI,Mean_annualPET,Mean_DEM,Mean_GMIS,Mean_NDSI,Mean_summerLST,Mean_summerNDVI,Mean_winterLST,Mean_winterNDVI,betaRLM_annualAI,betaRLM_annualPET,betaRLM_DEM,betaRLM_GMIS,betaRLM_NDSI,betaRLM_summerLST,betaRLM_summerNDVI,betaRLM_winterLST,betaRLM_winterNDVI,pvalRLM_annualAI,pvalRLM_annualPET,pvalRLM_DEM,pvalRLM_GMIS,pvalRLM_NDSI,pvalRLM_summerLST,pvalRLM_summerNDVI,pvalRLM_winterLST,pvalRLM_winterNDVI
Brantford,1.036,873.296,231.556,43.949,0.778,32.328,0.462,-19.39,-0.013,-0.013,1.937,6.219,-40.507,-0.009,-4.731,0.156,-1.714,-0.011,0,0,0.343,0,0.684,0,0.049,0,0.408
Brighton,0.995,723.475,24.95,0.347,-0.357,35.747,0.535,2.674,0.619,-0.009,-1.438,-7.121,0,-0.078,4.537,0.146,-0.373,0.042,0,0,0.182,0.561,0.001,0,0.026,0.177,0.226
Brussels,1.065,764.933,90.1,36.817,-0.261,31.632,0.558,-0.104,0.404,0.035,-3.266,44.697,-86.407,0.281,-7.967,0.448,-2.076,0.247,0,0.019,0,0,0.03,0,0,0,0.002
Buenos_Aires,0.798,1291.133,18.489,28.1,-0.373,34.506,0.471,15.036,0.411,-0.121,171.896,11.944,-37.273,-0.249,3.514,0.16,0.349,0.209,0,0,0,0,0,0,0.004,0.22,0
Burlington,1.024,885.64,112.06,23.693,0.58,32.836,0.597,-11.987,0.059,0.07,1.794,4.909,-56.292,0.074,-8.707,0.302,-3.264,0.033,0,0.451,0.641,0,0.029,0,0,0,0.03
Calgary,0.563,771.1,1066.525,50.389,0.692,31.906,0.42,1.96,0.045,0.003,20.173,34.726,-42.771,0.491,0.343,0.102,-2.572,-0.184,0.429,0,0.003,0.003,0,0.812,0.146,0,0
Cambridge,0.811,685.025,25.65,23.536,-0.419,33.677,0.571,2.412,0.572,0.022,-5.227,25.987,-43.382,-0.043,-5.391,0.127,-1.357,0.173,0,0,0,0,0.08,0,0.017,0,0.003
Canberra,0.515,1241.75,585.05,31.206,-0.434,40.003,0.398,10.505,0.393,0.007,-6.16,7.077,1.863,-0.007,2.796,-0.184,1.373,-0.127,0.005,0,0.121,0.892,0.86,0.003,0,0,0.013
Cape_Town,0.746,1202.05,72.615,23.39,-0.423,31.88,0.458,19.843,0.545,-0.251,119.19,144.889,-54.971,-0.099,3.514,-0.026,-2.226,0.16,0.12,0,0.001,0.013,0.171,0.173,0.85,0,0.134
Charlotte,0.906,1278.525,237.205,28.054,0.531,35.491,0.585,-3.137,0.108,0.024,0.491,36.684,-47.836,0.116,-5.553,0.314,-4.619,0.026,0,0.725,0,0,0.163,0.001,0,0,0.553
Charlottetown,1.593,708,32.289,NaN,0.788,29.225,0.596,-12.302,-0.017,0.035,-14.877,44.662,NA,0.02,-7.054,0.427,-3.822,0.018,0,0,0,NA,0.251,0,0,0,0.019
Chicago,0.961,935.533,202.556,47.644,0.42,35.127,0.462,-12.022,0.102,0.001,-49.626,45.329,-86.265,0.136,-9.461,0.464,-2.961,-0.03,0.608,0,0,0,0.191,0,0,0,0.34
Christchurch,0.683,907.051,11.892,31.46,-0.367,32.511,0.552,6.809,0.5,0.086,-13.031,-4.033,-72.334,-0.244,-7.518,0.392,0.234,0.382,0,0,0.18,0,0,0,0,0.565,0
Cincinnati,0.971,1093.9,229.3,32.888,0.345,34.888,0.566,-6.022,0.089,0.054,-53.908,103.857,-82.933,0.061,-9.885,0.473,-2.537,0.098,0,0,0,0,0.159,0,0,0,0
Cleveland,1.048,951.95,302.2,30.92,0.575,27.991,0.552,-9.059,0.089,0.188,-34.92,189.325,-101.116,0.222,-17.886,0.625,-3.385,0.022,0,0,0,0,0.001,0,0,0,0.499
Cobourg,0.97,820.074,90.889,14.728,0.548,33.348,0.582,-9.406,0.128,-0.005,7.903,13.146,-32.177,0.048,-2.492,0.091,-0.831,-0.042,0,0,0,0,0.416,0.043,0.193,0.006,0.359
Cologne,1.025,766.857,72.179,NaN,-0.469,34.365,0.611,0.433,0.449,0.047,-20.045,25.142,NA,0.026,-6.315,0.275,-0.105,0.078,0,0,0,NA,0.615,0,0.007,0.758,0.195
Curitiba,1.087,1255.943,920.114,21.642,-0.462,33.714,0.53,22.674,0.468,0.095,-49.896,40.536,-46.299,-0.175,-7.925,0.401,-2.952,0.327,0,0,0,0,0,0,0,0,0
Denver,0.365,1163.767,1721.093,40.662,-0.334,39.339,0.427,5.542,0.263,0.065,-34.669,452.337,-51.017,-0.149,-7.968,0.005,-2.953,0.063,0,0,0,0,0,0,0.949,0,0.178
Detroit,0.872,942.85,186.325,38.303,0.576,31.792,0.432,-5.143,0.025,-0.058,54.634,10.527,-95.651,0.559,-5.211,0.311,-4.978,-0.111,0,0,0,0,0,0,0,0,0
Edmonton,0.655,700.364,674.364,NaN,0.685,33.634,0.502,-19.406,-0.005,0.014,-7.187,32.013,NA,0.08,-7.224,0.215,-6.753,-0.06,0,0,0,NA,0,0,0.001,0,0
Elmira,1.116,842.3,361.6,25.491,0.581,34.152,0.555,-10.699,0.04,-0.001,0.756,8.269,-61.85,0.221,-8.687,0.254,-1.408,-0.082,0.356,0.163,0.037,0,0.001,0,0.009,0.007,0.003
Everett,0.994,854.9,255.5,6.168,0.652,27.954,0.674,-20.321,0.015,0.02,-8.609,43.618,-4.264,-0.015,-2.998,-0.097,-2.927,-0.035,0,0,0,0.134,0.306,0.019,0.143,0,0.03
Fairbanks,0.656,385.1,168.55,40.3,0.773,30.373,0.598,-17.803,0.037,0.006,-1.736,105.801,-68.137,-0.106,-10.28,0.413,2.381,0.104,0.094,0.102,0,0,0.006,0,0,0,0
Fergus,1.145,827.1,423.2,20.2,0.59,33.095,0.609,-11.281,0.05,0.037,-9.849,30.65,-43.215,0.131,-6.931,0.224,-0.457,-0.015,0,0,0,0,0.002,0,0.003,0.355,0.532
Fort_Collins,0.323,1141.565,1523.87,46.196,0.66,36.001,0.406,-6.538,0.056,0,-1.958,13.927,-77.086,0.264,-4.968,0.317,-2.126,-0.008,0.83,0.322,0.043,0,0.005,0.002,0.004,0.02,0.864
Frankfurt,0.821,801.707,134.341,18.909,-0.345,28.347,0.626,3.852,0.441,0.032,-17.618,35.383,-52.525,-0.079,-8.746,0.305,-3.146,0.227,0,0,0.003,0,0.019,0,0,0,0
Fredericton,1.334,814.05,13.175,26.68,0.666,33.019,0.608,-7.975,0.072,0.037,-7.835,3.493,-36.197,-0.07,-6.196,0.224,0.112,0.091,0,0,0.224,0.001,0.156,0.002,0.002,0.727,0.008
Freehold,1.128,1036.404,56.404,14.981,0.583,29.767,0.685,-11.558,0.108,-0.036,14.37,0.77,-28.074,-0.116,-8.432,0.249,-1.445,0.144,0,0,0.745,0,0.068,0,0,0,0
Georgetown,0.999,853.15,275.3,14.106,0.62,29.412,0.619,-7.521,0.067,0.046,-8.567,71.476,-52.687,0.035,-6.424,0.271,-2.393,0.006,0,0,0,0,0.639,0,0.001,0,0.888
Ghent,1.087,690.45,9.3,27.267,-0.39,37.111,0.497,0.7,0.501,-0.029,10.798,-4.586,-74.279,0.034,1.628,0.187,-1.074,0.313,0,0,0.008,0,0.248,0.058,0.003,0,0
Glasgow,2.268,578.55,69.6,25.868,-0.383,26.6,0.651,6.353,0.473,0.446,-10.861,30.703,-79.473,-0.228,-6.655,0.384,-0.679,0.306,0,0,0.1,0,0,0,0,0.006,0
Guelph,1.069,850.65,331.3,26.687,0.678,32.203,0.474,-8.048,0.027,0.001,3.846,-2.907,-65.152,0.121,-2.976,0.044,-2.819,-0.058,0.221,0,0.56,0,0,0.006,0.573,0,0
Halifax,1.924,739.975,69.225,28.133,0.523,29.394,0.577,-0.358,0.089,-0.109,26.052,31.896,-21.938,-0.134,-6.371,0.2,-3.103,0.172,0,0,0.038,0.008,0.083,0,0,0,0
Halle,0.663,744.8,119.2,28.217,-0.393,29.506,0.614,2.244,0.491,0.036,-10.81,42.251,-83.891,-0.013,-11.492,0.502,-1.928,0.583,0,0,0,0,0.626,0,0,0,0
Helsinki,1.246,518.85,14.35,25.173,0.514,29.874,0.59,-22.5,0.073,-0.049,15.788,3.661,-60.383,-0.044,-4.241,0.268,-0.765,0.08,0,0,0.214,0,0.052,0.001,0,0.008,0
Hempstead,1.197,923.282,45.385,37.082,0.574,41.036,0.549,-6.735,0.139,0.057,5.468,69.16,-99.134,-0.389,-17.79,0.755,-4.063,0.326,0,0,0,0,0,0,0,0,0
Hiroshima,1.54,1030.733,94.955,NaN,-0.306,36.634,0.423,16.007,0.246,0.238,-96.186,268.255,NA,-0.313,-7.382,0.516,-1.31,0.223,0,0,0,NA,0,0,0,0.192,0
Houston,0.81,1391.884,26.953,35.11,-0.393,38.751,0.395,9.081,0.373,-0.141,182.03,16.742,-62.359,-0.25,1.842,0.021,-0.782,0.145,0,0,0,0,0,0.034,0.744,0.156,0.027
Indianapolis,0.964,1061.16,251.18,56.506,0.687,39.292,0.371,-1.646,-0.006,0.027,-5.453,35.093,-64.233,0.188,-10.102,0.345,-4.236,-0.059,0,0,0,0,0.001,0,0,0,0
Jacksonville,0.912,1398.771,8.765,21.591,-0.468,37.936,0.593,20.335,0.525,0.046,-62.213,5.309,-25.626,-0.128,-7.782,0.167,-2.094,0.143,0,0,0.015,0.02,0.009,0,0.029,0.003,0.034
Kalamazoo,0.935,979.825,247.5,17.456,NaN,NaN,NaN,NaN,NaN,0.019,-7.809,37.716,-35.189,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
Kingston,1.153,805.259,95.115,50.271,0.342,39.655,0.459,-7.857,0.083,-0.024,4.563,-12.089,-71.456,0.397,-10.677,0.427,-4.416,-0.038,0,0,0.011,0,0.012,0,0,0,0.189
Kunming,0.874,1156.22,2050.58,40.573,-0.399,35.824,0.426,17.179,0.399,0.149,-120.498,617.449,-94.272,-0.343,-2.675,0.186,-2.487,0.248,0,0,0,0,0,0.114,0.002,0.017,0
Kyoto,1.587,1069.909,73.773,36.447,-0.281,40.004,0.486,14.266,0.241,0.052,-56.649,107.375,-91.033,-0.258,-15.058,0.427,1.29,0.192,0,0,0,0,0,0,0,0.011,0
La_Verne,0.341,1503.575,392.641,51.434,-0.332,33.941,0.41,15.142,0.466,0.057,-5.611,151.407,-16.552,-0.062,-0.778,0.004,-0.83,0.058,0,0,0,0.022,0.021,0.129,0.915,0.038,0.239
Lake_Charles,1.041,1363.875,7.6,27.594,-0.417,32.026,0.519,13.833,0.435,0.055,-62.994,-6.99,-58.708,-0.143,-5.821,0.29,-0.626,0.203,0,0,0.001,0,0.005,0,0.008,0.435,0.027
Landshut,1.032,780.1,409.46,26.383,-0.364,34.077,0.582,2.39,0.469,0.036,-20.931,52.536,-80.755,0.07,-10.863,0.379,-1.836,0.47,0,0,0,0,0.093,0,0,0,0
Lansing,0.832,952.525,265.625,30.068,0.723,35.996,0.567,-16.636,0.013,0.008,2.724,10.904,-68.548,0.026,-7.813,0.375,-4.291,-0.03,0,0,0,0,0.213,0,0,0,0.029
Lanzhou,0.332,1049.079,1726.941,36.681,0.032,35.235,0.256,-2.056,0.07,0.054,-97.162,262.934,-71.412,0.495,-1.301,0.067,-4.675,0.024,0,0,0,0,0,0.596,0.553,0,0.644
Latacunga,0.52,1258.825,2963.9,18.928,-0.406,36.579,0.443,29.916,0.439,0.342,-141.116,424.208,-53.424,-0.137,-3.413,0.228,-0.265,0.259,0,0,0,0,0,0.019,0,0.801,0
Leiden,1.269,621.053,-0.421,31.813,0.568,33.746,0.463,2.018,0.083,-0.009,5.332,-7.152,-94.471,0.583,-2.743,0.315,-2.031,-0.124,0,0,0,0,0,0.001,0,0,0
Leuven,1.057,751.75,39.969,41.149,-0.366,44.66,0.421,6.211,0.378,0.053,-12.512,44.336,-49.752,-0.092,-3.252,0.07,-1.057,0.216,0,0,0,0,0,0.008,0.201,0,0
Linkoping,0.908,611.682,68.886,18.68,NaN,34.003,0.601,NaN,NaN,0.012,-3.278,15.266,-46.946,NA,-3.097,0.168,NA,NA,0,0,0,0,NA,0.004,0.004,NA,NA
Lisbon,0.786,975.468,133.022,48.896,-0.375,33.602,0.367,12.485,0.439,0.245,-133.639,233.453,-69.417,-0.165,-0.866,0.162,2.78,0.35,0,0,0,0,0,0.375,0.015,0,0
Little_Rock,0.962,1313.229,96.314,32.502,-0.431,41.001,0.524,15.328,0.313,-0.005,2.658,-34.089,-45.954,-0.172,-11.66,0.318,-3.276,0.194,0.086,0.011,0,0,0,0,0,0,0
Loja,0.801,1332.775,2145.5,51.761,-0.443,30.921,0.401,28.137,0.456,0.079,-28.136,129.29,-120.331,-0.143,-3.671,0.424,-6.082,0.463,0,0,0,0,0,0,0,0,0
London,1.081,876.85,268.95,39.937,0.454,40.919,0.458,-7.679,0.059,0.006,-2.817,29.525,-104.808,0.106,-13.533,0.438,-1.073,0.077,0,0,0,0,0.055,0,0,0.001,0
Los_Angeles,0.305,1322.881,207.476,57.605,-0.298,39.698,0.316,26.861,0.351,0.016,102.458,229.048,-41.724,-0.181,2.065,0.113,0.225,0.155,0.033,0,0,0,0,0.063,0.015,0.716,0.003
Louisville,0.978,1180.239,174.795,34.951,0.404,35.444,0.566,0.657,0.181,0.05,22.921,106.223,-78.253,0.319,-11.453,0.42,-0.988,0.016,0,0,0,0,0.012,0,0,0.063,0.841
Madison,0.843,957.56,277.68,32.198,0.744,34.995,0.523,-12.201,0.007,0.017,-5.998,42.147,-73.784,0.081,-10.656,0.429,-5.41,-0.025,0,0,0,0,0.004,0,0,0,0.052
Manchester,1.355,644.95,62.308,15.86,-0.423,35.598,0.6,7.844,0.574,-0.062,-29.486,55.552,-36.861,-0.104,-5.255,0.254,-0.775,0.248,0,0,0,0,0,0,0,0,0
Medellin,1.165,1579.875,1604.7,47.187,-0.365,31.362,0.44,34.352,0.418,0.532,-255.682,365.085,-61.755,-0.141,-9.757,0.284,-11.092,0.262,0,0,0,0,0.001,0,0,0,0
Melbourne,0.543,1092.194,33.774,11.959,-0.414,29.129,0.466,13.564,0.559,-0.141,-39.404,-1.492,-13.823,-0.116,7.16,-0.046,1.722,0.048,0,0,0.862,0.048,0,0,0.431,0,0.491
Memphis,1.029,1250.46,83.143,34.708,-0.43,39.266,0.518,5.514,0.287,0.007,7.433,6.393,-84.921,-0.292,-13.467,0.568,-2.043,0.3,0.001,0,0.154,0,0,0,0,0,0
Mexico_City,0.632,1524.697,2529.394,39.041,-0.378,36.421,0.445,22.181,0.394,0.773,-484.261,1266.242,-45.682,-0.281,-7.062,0.171,0.194,0.085,0,0,0,0.002,0,0.013,0.08,0.919,0.446
Minneapolis,0.825,914.75,288.523,30.305,0.675,40.079,0.601,-19.057,0.066,0.042,9.29,80.734,-58.443,-0.012,-15.528,0.349,-1.574,-0.003,0,0,0,0,0.828,0,0,0,0.91
Moncton,1.393,817.775,18.75,40.632,0.599,33.198,0.558,-11.15,0.059,-0.001,1.338,16.763,-72.797,0.133,-9.681,0.347,-2.091,0.058,0.772,0,0,0,0.013,0,0,0,0.002
Montreal,1.149,832.551,38.327,50.786,0.761,34.413,0.454,-14.987,-0.001,-0.037,-11.9,4.85,-87.339,0.121,-12.521,0.498,-7.56,-0.003,0,0,0.483,0,0.002,0,0,0,0.857
Morelia,0.512,1592.225,1916.41,42.86,-0.374,39.363,0.352,23.523,0.331,0.025,21.366,5.39,-45.631,-0.124,-2.998,0.176,-2.586,0.188,0,0,0.504,0.001,0,0.047,0.003,0.009,0.002
Muenster,1.125,707.2,56.925,13.586,-0.459,33.645,0.644,7.779,0.437,-0.024,2.588,-15.391,-42.262,-0.075,-2.955,0.098,-3.25,0.225,0,0,0,0,0,0.014,0.104,0,0
Munich,1.191,771.196,516.098,44.109,-0.514,36.487,0.549,2.528,0.446,-0.031,-5.889,-20.839,-52.88,0.063,-7.308,0.349,-1.726,0.255,0,0,0,0,0.019,0,0,0,0
New_Tecumseth,0.967,858.4,218.9,39.985,0.664,31.136,0.545,-18.206,0.019,-0.011,0.314,-2.429,-24.542,-0.037,-4.18,0.075,-0.99,0.023,0,0.394,0.29,0.125,0.098,0.044,0.511,0.038,0.328
New_York,1.218,974.021,69.167,28.485,0.384,30.247,0.609,-11.008,0.174,0.091,36.486,140.307,-38.016,-0.211,-3.656,0.278,-3.061,0.198,0,0,0,0.006,0.008,0.005,0.004,0,0
Newcastle,0.893,1214.267,39.867,27.318,-0.393,35.594,0.422,11.838,0.483,-0.312,172.888,-77.81,-34.071,-0.05,0.444,0.024,-0.405,0.071,0,0,0.005,0.008,0.321,0.624,0.792,0.371,0.402
Newhaven,1.239,957.675,94.075,20.182,0.102,35.848,0.669,-1.16,0.186,0.186,-15.064,257.787,-29.569,0.429,-5.875,0.189,-5.817,-0.047,0,0,0,0.001,0,0.001,0.009,0,0.305
Norfolk,1.045,1115.775,7.175,40.304,0.693,34.534,0.491,-6.574,0.056,0.024,35.03,-1.385,-84.192,0.033,-10.384,0.453,-3.225,0.055,0,0,0.194,0,0.454,0,0,0,0.038
Norrtalje,0.95,544.389,16.722,18.049,-0.407,36.93,0.511,1.718,0.377,0,-5.606,-7.027,-60.593,-0.127,-5.034,0.27,-0.048,0.177,0.81,0,0.022,0,0,0,0,0.792,0.001
North_Bay,1.203,767.956,229.644,26.064,0.684,27.354,0.612,-17.208,0.09,0.041,-14.081,75.139,-67.245,-0.053,-12.258,0.381,-5.354,0.16,0,0,0,0,0.154,0,0,0,0
Orangeville,1.15,813.567,477.3,23.051,0.689,31.182,0.525,-13.112,0.014,0.06,-12.378,73.747,-62.357,0.16,-4.923,0.086,-4.786,-0.041,0,0,0,0,0.002,0.003,0.133,0,0.019
Ottawa,1.077,807.1,84.7,31.249,0.688,33.488,0.559,-14.411,0.056,0.02,-9.051,28.254,-38.007,-0.046,-6.989,0.3,-3.901,0.017,0,0,0,0.001,0.488,0,0,0,0.612
Palmerston_North,0.995,935.05,31.667,31.446,-0.359,35.335,0.569,9.584,0.603,-0.111,1.46,-3.306,-75.135,-0.17,-3.645,0.346,-0.111,0.35,0,0.001,0,0,0,0.001,0,0.601,0
Paris,0.8,808.245,103.939,37.01,-0.354,28.203,0.57,4.353,0.395,0.065,-45.438,124.861,-68.914,-0.191,-4.513,0.308,-2.655,0.297,0,0,0,0,0,0.001,0,0,0
Parramata,0.69,1298.825,36.725,25.953,-0.413,34.768,0.408,9.546,0.418,-0.14,107.31,-17.011,-43.877,-0.105,1.587,0.003,-1.196,0.017,0,0,0.008,0,0,0.016,0.95,0.001,0.75
Philadelphia,1.091,1037.05,89.05,56.136,0.187,32.485,0.531,7.423,0.113,0.066,-21.642,155.528,-131.903,1.088,-11.375,0.63,-8.892,-0.162,0,0,0,0,0,0,0,0,0
Pittsburgh,0.929,1051.675,332.625,30.668,0.285,31.224,0.598,1.916,0.167,0.092,-47.109,105.032,-68.338,-0.616,-7.701,0.457,1.465,0.299,0,0,0,0,0,0,0,0.004,0
Port_Hope,0.989,801.68,88.08,25.897,0.625,32.082,0.538,-9.246,0.061,-0.006,6.785,0.364,-47.527,0.05,-6.12,0.22,-1.352,-0.019,0.028,0,0.939,0,0.206,0,0.007,0,0.522
Portland,1.197,964.725,50.95,36.759,-0.295,35.384,0.492,0.95,0.446,0.376,7.126,29.804,-79.776,-0.03,-10.497,0.408,-1.952,0.356,0,0.017,0.022,0,0.616,0,0,0,0
Portlandme,1.297,882.175,31.2,19.714,0.166,31.406,0.622,-0.996,0.249,0.033,-15.471,27.506,-46.135,0.329,-10.592,0.255,-3.169,0.147,0,0,0.003,0,0.02,0,0.009,0,0.077
Providence,1.208,967.047,18.349,31.835,-0.132,34.669,0.501,-1.735,0.256,0.032,-24.963,-4.391,-60.639,0.345,-11.223,0.414,-2.94,0.132,0,0,0.321,0,0,0,0,0,0.004
Punta_Arenas,0.706,580.5,20.524,NaN,-0.332,21.148,0.424,0.991,0.267,-0.144,13.3,5.471,NA,-0.203,-3.278,0.381,0.936,0.194,0,0,0.355,NA,0,0,0,0.002,0
Quebec_City,1.461,764.667,59.786,33.827,0.642,33.49,0.52,-13.812,-0.008,-0.02,4.866,-47.175,-70.257,0.311,-10.101,0.352,-2.495,-0.045,0.002,0.001,0,0,0,0,0,0,0
Quito,0.708,1461.732,2685.925,64.013,-0.338,35.366,0.279,36.595,0.299,-0.3,176.337,-404.58,9.303,-0.061,5.261,0.005,5.521,-0.07,0,0,0,0.568,0.172,0,0.937,0,0.305
Raleigh,0.897,1269.125,119.825,25.367,0.05,34.874,0.622,-0.385,0.327,-0.007,3.065,29.227,-54.978,-0.354,-7.367,0.397,-1.925,0.341,0.109,0.397,0.02,0,0.002,0,0,0,0
Rancagua,0.372,1343.513,503.872,NaN,-0.354,35.919,0.336,8.844,0.349,0.035,45.42,-26.374,NA,-0.264,-2.422,0.404,0.686,0.39,0,0,0,NA,0,0.011,0,0.165,0
Reading,1.015,707.116,57.953,29.015,-0.446,32.799,0.593,2.381,0.556,0.032,4.979,-0.169,-71.704,-0.071,-4.784,0.276,-0.138,0.324,0,0,0.982,0,0.001,0,0,0.545,0
Rennes,0.882,809.095,39.833,24.15,-0.407,34.889,0.553,7.127,0.592,0.012,-0.686,0.801,-71.163,-0.157,-7.29,0.3,-2.236,0.421,0,0.293,0.851,0,0,0,0,0,0
Reutlingen,0.945,783.075,367.975,20,0.396,36.818,0.58,-5.795,0.19,-0.049,2.805,-30.9,-53.445,0.411,-9.026,0.213,-0.505,-0.025,0,0.108,0.001,0,0.005,0,0.002,0.138,0.693
Rochester,0.873,921.707,169.775,37.45,0.643,34.071,0.507,-6.262,0.046,-0.027,1.01,16.353,-82.635,0.135,-12.59,0.462,-3.829,-0.049,0,0.08,0,0,0.031,0,0,0,0.044
Rockford,0.926,983.85,229.05,21.874,0.796,33.685,0.611,-14.37,-0.023,0.014,3.362,18.08,-43.904,0.093,-9.179,0.356,-5.039,-0.036,0,0,0,0,0,0,0,0,0
Sacramento,0.33,1391.024,7.171,53.756,-0.303,41.812,0.376,9.906,0.408,0.008,21.389,-5.405,-7.882,-0.104,1.621,-0.002,0.193,0.123,0,0,0.002,0.338,0.001,0.15,0.958,0.657,0.032
Saint_Thomas,1.109,857,238.077,36.515,0.534,41.405,0.422,-8.138,0.085,-0.007,5.413,-6.307,-60.11,0.039,-3.684,0.051,-0.198,0.013,0,0,0.001,0,0.54,0.005,0.446,0.538,0.585
Salem,0.993,1034.225,50.675,27.862,-0.386,38.369,0.463,3.521,0.482,-0.004,-14.498,6.798,-54.705,-0.157,-2.066,-0.048,-1.26,0.133,0.157,0,0.014,0,0,0.043,0.293,0,0.006
