city,betaRLM_freqHCN,sigRLM,Mean_summerLST,betaRLM_winterNDVI,fsummerLST_Mean,LST_cat
Warsaw,-0.013,No,0.9486318438092499,-1.4222286262460837,0,mean
Washington,0.205,Yes,-0.7139496717128118,-0.5944796152543561,0,mean
Waterloo,-0.086,No,-0.8809023877229959,-1.5816469542889349,0,mean
Whitchurch-Stouffville,0.034,No,-0.6074497881562388,-0.6741887792757817,0,mean
Winnipeg,-0.018,No,0.5138859423343495,-0.9746310128950013,0,mean
Wollongong,0.629,Yes,0.20827758082418177,-0.2265911659246994,0,mean
Woodstock,0.028,No,0.8164073506979498,-0.5883481410988618,0,mean
Wuhan,-0.109,No,0.3729150819744403,-1.164706711715324,0,mean
Xalapa,0.027,No,0.24866521782510545,1.7538749862999528,0,mean
Zurich,-0.011,No,0.04312558748282989,-1.1831011341818067,0,mean
