city,interceptLinOnly,betaLinOnly,pvalLinOnly,rSquaredLinOnly,direction,sigLinOnly,betaRLM_freqHCN,pvalRLM_freqHCN,sigRLM,modelOrderBestFit,betaBestFit,pvalBestFit,rSquareBestFit,yIntBestFit,predictedBestFit,continent,Mean_annualAI,Mean_annualPET,Mean_DEM,Mean_GMIS,Mean_NDSI,Mean_summerLST,Mean_summerNDVI,Mean_winterLST,Mean_winterNDVI,betaRLM_annualAI,betaRLM_annualPET,betaRLM_DEM,betaRLM_GMIS,betaRLM_NDSI,betaRLM_summerLST,betaRLM_summerNDVI,betaRLM_winterLST,betaRLM_winterNDVI,pvalRLM_annualAI,pvalRLM_annualPET,pvalRLM_DEM,pvalRLM_GMIS,pvalRLM_NDSI,pvalRLM_summerLST,pvalRLM_summerNDVI,pvalRLM_winterLST,pvalRLM_winterNDVI,latitude_city,longitude_city,city_population,city_area,city_num,city_age
Calgary,0.083,0.201,0.03,0.118,positive,Yes,0.193,0.048,Yes,linear,0.201,0.03,0.118,0.083,0.283,North America,0.563,771.1,1066.525,50.389,0.692,31.906,0.42,1.96,0.045,0.003,20.173,34.726,-42.771,0.491,0.343,0.102,-2.572,-0.184,0.429,0,0.003,0.003,0,0.812,0.146,0,0,51.047329,-114.072387,1237656,625.23,3,67
Cambridge,0.129,0.444,0,0.353,positive,Yes,0.427,0,Yes,linear,0.444,0,0.353,0.129,0.573,Europe,0.811,685.025,25.65,23.536,-0.419,33.677,0.571,2.412,0.572,0.022,-5.227,25.987,-43.382,-0.043,-5.391,0.127,-1.357,0.173,0,0,0,0,0.08,0,0.017,0,0.003,52.205338,0.121817,145818,43.43,5,NA
Canberra,0.742,-0.013,0.888,0.001,negative,No,-0.014,0.866,No,linear,-0.013,0.888,0.001,0.742,0.729,Oceania,0.515,1241.75,585.05,31.206,-0.434,40.003,0.398,10.505,0.393,0.007,-6.16,7.077,1.863,-0.007,2.796,-0.184,1.373,-0.127,0.005,0,0.121,0.892,0.86,0.003,0,0,0.013,-35.308275,149.124322,432141,326.91,3,49
Cape_Town,0.779,0.103,0.558,0.019,positive,No,0.022,0.861,No,linear,0.103,0.558,0.019,0.779,0.882,Africa,0.746,1202.05,72.615,23.39,-0.423,31.88,0.458,19.843,0.545,-0.251,119.19,144.889,-54.971,-0.099,3.514,-0.026,-2.226,0.16,0.12,0,0.001,0.013,0.171,0.173,0.85,0,0.134,-33.92487,18.424055,3430992,684.07,3,119
Charlotte,0.335,0.006,0.934,0,positive,No,-0.002,0.987,No,quadratic,0.702,0.012,0.166,0.258,0.201,North America,0.906,1278.525,237.205,28.054,0.531,35.491,0.585,-3.137,0.108,0.024,0.491,36.684,-47.836,0.116,-5.553,0.314,-4.619,0.026,0,0.725,0,0,0.163,0.001,0,0,0.553,35.226888,-80.84369,753692,1448.68,4,68
Charlottetown,0.346,0.027,0.691,0.004,positive,No,0.032,0.667,No,linear,0.027,0.691,0.004,0.346,0.373,North America,1.593,708,32.289,NaN,0.788,29.225,0.596,-12.302,-0.017,0.035,-14.877,44.662,NA,0.02,-7.054,0.427,-3.822,0.018,0,0,0,NA,0.251,0,0,0,0.019,46.23542,-63.12652,44739,38.22,1,NA
Chicago,0.156,0.156,0.033,0.102,positive,Yes,0.167,0.024,Yes,linear,0.156,0.033,0.102,0.156,0.311,North America,0.961,935.533,202.556,47.644,0.42,35.127,0.462,-12.022,0.102,0.001,-49.626,45.329,-86.265,0.136,-9.461,0.464,-2.961,-0.03,0.608,0,0,0,0.191,0,0,0,0.34,41.878113,-87.629799,2695624,5366.15,5,158
Christchurch,0.468,0.415,0,0.346,positive,Yes,0.429,0,Yes,quadratic,1.061,0.002,0.422,0.389,0.761,Oceania,0.683,907.051,11.892,31.46,-0.367,32.511,0.552,6.809,0.5,0.086,-13.031,-4.033,-72.334,-0.244,-7.518,0.392,0.234,0.382,0,0,0.18,0,0,0,0,0.565,0,-43.532055,172.63623,374100,181.67,1,74
Cincinnati,0.191,0.036,0.624,0.006,positive,No,0.03,0.695,No,linear,0.036,0.624,0.006,0.191,0.226,North America,0.971,1093.9,229.3,32.888,0.345,34.888,0.566,-6.022,0.089,0.054,-53.908,103.857,-82.933,0.061,-9.885,0.473,-2.537,0.098,0,0,0,0,0.159,0,0,0,0,39.103119,-84.512016,296893,1793.38,3,162
Cleveland,0.225,0.094,0.094,0.072,positive,No,0.064,0.261,No,linear,0.094,0.094,0.072,0.225,0.318,North America,1.048,951.95,302.2,30.92,0.575,27.991,0.552,-9.059,0.089,0.188,-34.92,189.325,-101.116,0.222,-17.886,0.625,-3.385,0.022,0,0,0,0,0.001,0,0,0,0.499,41.499321,-81.694359,396629,2179.6,4,142
Cobourg,0.211,-0.012,0.909,0.001,negative,No,0.052,0.56,No,linear,-0.012,0.909,0.001,0.211,0.199,North America,0.97,820.074,90.889,14.728,0.548,33.348,0.582,-9.406,0.128,-0.005,7.903,13.146,-32.177,0.048,-2.492,0.091,-0.831,-0.042,0,0,0,0,0.416,0.043,0.193,0.006,0.359,43.9599,-78.16545,19031,15.99,3,NA
Cologne,0.407,-0.006,0.964,0,negative,No,0.023,0.862,No,linear,-0.006,0.964,0,0.407,0.401,Europe,1.025,766.857,72.179,NaN,-0.469,34.365,0.611,0.433,0.449,0.047,-20.045,25.142,NA,0.026,-6.315,0.275,-0.105,0.078,0,0,0,NA,0.615,0,0.007,0.758,0.195,50.940529,6.95991,1085664,434.41,7,162
Curitiba,0.791,-0.056,0.366,0.025,negative,No,-0.041,0.519,No,linear,-0.056,0.366,0.025,0.791,0.736,South America,1.087,1255.943,920.114,21.642,-0.462,33.714,0.53,22.674,0.468,0.095,-49.896,40.536,-46.299,-0.175,-7.925,0.401,-2.952,0.327,0,0,0,0,0,0,0,0,0,-25.433386,-49.271747,1893997,707.95,4,112
Denver,0.22,-0.047,0.694,0.004,negative,No,-0.044,0.703,No,linear,-0.047,0.694,0.004,0.22,0.173,North America,0.365,1163.767,1721.093,40.662,-0.334,39.339,0.427,5.542,0.263,0.065,-34.669,452.337,-51.017,-0.149,-7.968,0.005,-2.953,0.063,0,0,0,0,0,0,0.949,0,0.178,39.745485,-104.990108,599815,1704.65,4,118
Detroit,0.297,0.053,0.52,0.011,positive,No,0.063,0.424,No,linear,0.053,0.52,0.011,0.297,0.349,North America,0.872,942.85,186.325,38.303,0.576,31.792,0.432,-5.143,0.025,-0.058,54.634,10.527,-95.651,0.559,-5.211,0.311,-4.978,-0.111,0,0,0,0,0,0,0,0,0,42.332939,-83.047836,713885,2776.49,5,136
Edmonton,0.145,0.058,0.454,0.013,positive,No,0.046,0.49,No,linear,0.058,0.454,0.013,0.145,0.202,North America,0.655,700.364,674.364,NaN,0.685,33.634,0.502,-19.406,-0.005,0.014,-7.187,32.013,NA,0.08,-7.224,0.215,-6.753,-0.06,0,0,0,NA,0,0,0.001,0,0,53.544388,-113.490929,1062643,605.8,4,70
Elmira,0.418,-0.08,0.561,0.019,negative,No,-0.058,0.64,No,linear,-0.08,0.561,0.019,0.418,0.338,North America,1.116,842.3,361.6,25.491,0.581,34.152,0.555,-10.699,0.04,-0.001,0.756,8.269,-61.85,0.221,-8.687,0.254,-1.408,-0.082,0.356,0.163,0.037,0,0.001,0,0.009,0.007,0.003,43.599976,-80.55778,10161,6.12,7,NA
Everett,0.221,0.137,0.125,0.126,positive,No,0.133,0.101,No,linear,0.137,0.125,0.126,0.221,0.358,North America,0.994,854.9,255.5,6.168,0.652,27.954,0.674,-20.321,0.015,0.02,-8.609,43.618,-4.264,-0.015,-2.998,-0.097,-2.927,-0.035,0,0,0,0.134,0.306,0.019,0.143,0,0.03,44.19047,-79.93722,1670,1.37,5,NA
Fairbanks,0.084,0.025,0.606,0.007,positive,No,0.016,0.731,No,linear,0.025,0.606,0.007,0.084,0.109,North America,0.656,385.1,168.55,40.3,0.773,30.373,0.598,-17.803,0.037,0.006,-1.736,105.801,-68.137,-0.106,-10.28,0.413,2.381,0.104,0.094,0.102,0,0,0.006,0,0,0,0,64.837776,-147.716385,NA,NA,NA,NA
Fergus,0.347,0.288,0.006,0.355,positive,Yes,0.288,0.006,Yes,linear,0.288,0.006,0.355,0.347,0.636,North America,1.145,827.1,423.2,20.2,0.59,33.095,0.609,-11.281,0.05,0.037,-9.849,30.65,-43.215,0.131,-6.931,0.224,-0.457,-0.015,0,0,0,0,0.002,0,0.003,0.355,0.532,43.70367,-80.37953,20767,8.81,7,NA
Fort_Collins,0.117,0.094,0.608,0.013,positive,No,-0.083,0.425,No,linear,0.094,0.608,0.013,0.117,0.212,North America,0.323,1141.565,1523.87,46.196,0.66,36.001,0.406,-6.538,0.056,0,-1.958,13.927,-77.086,0.264,-4.968,0.317,-2.126,-0.008,0.83,0.322,0.043,0,0.005,0.002,0.004,0.02,0.864,40.587751,-105.076,144855,201.39,4,NA
Frankfurt,0.258,0.25,0.054,0.092,positive,No,0.314,0.015,Yes,linear,0.25,0.054,0.092,0.258,0.508,Europe,0.821,801.707,134.341,18.909,-0.345,28.347,0.626,3.852,0.441,0.032,-17.618,35.383,-52.525,-0.079,-8.746,0.305,-3.146,0.227,0,0,0.003,0,0.019,0,0,0,0,50.110644,8.682092,753056,624.61,8,155
Fredericton,0.158,0.021,0.693,0.004,positive,No,-0.001,0.99,No,quadratic,0.382,0.043,0.106,0.114,0.087,North America,1.334,814.05,13.175,26.68,0.666,33.019,0.608,-7.975,0.072,0.037,-7.835,3.493,-36.197,-0.07,-6.196,0.224,0.112,0.091,0,0,0.224,0.001,0.156,0.002,0.002,0.727,0.008,45.962041,-66.643934,59405,57.97,1,NA
Freehold,0.23,-0.144,0.005,0.166,negative,Yes,-0.132,0.009,Yes,linear,-0.144,0.005,0.166,0.23,0.086,North America,1.128,1036.404,56.404,14.981,0.583,29.767,0.685,-11.558,0.108,-0.036,14.37,0.77,-28.074,-0.116,-8.432,0.249,-1.445,0.144,0,0,0.745,0,0.068,0,0,0,0,40.26011,-74.273757,12052,107.92,7,NA
Georgetown,0.279,0.136,0.339,0.051,positive,No,0.088,0.523,No,linear,0.136,0.339,0.051,0.279,0.415,North America,0.999,853.15,275.3,14.106,0.62,29.412,0.619,-7.521,0.067,0.046,-8.567,71.476,-52.687,0.035,-6.424,0.271,-2.393,0.006,0,0,0,0,0.639,0,0.001,0,0.888,43.651146,-79.898875,42123,16.85,8,NA
Ghent,0.094,0.185,0.031,0.117,positive,Yes,0.173,0.065,No,linear,0.185,0.031,0.117,0.094,0.279,Europe,1.087,690.45,9.3,27.267,-0.39,37.111,0.497,0.7,0.501,-0.029,10.798,-4.586,-74.279,0.034,1.628,0.187,-1.074,0.313,0,0,0.008,0,0.248,0.058,0.003,0,0,51.053829,3.725012,243366,138.97,9,147
Glasgow,0.432,-0.21,0.076,0.08,negative,No,-0.245,0.064,No,linear,-0.21,0.076,0.08,0.432,0.223,Europe,2.268,578.55,69.6,25.868,-0.383,26.6,0.651,6.353,0.473,0.446,-10.861,30.703,-79.473,-0.228,-6.655,0.384,-0.679,0.306,0,0,0.1,0,0,0,0,0.006,0,55.865681,-4.25714,999300,448.82,4,201
Guelph,0.163,0.315,0.005,0.363,positive,Yes,0.286,0.012,Yes,linear,0.315,0.005,0.363,0.163,0.478,North America,1.069,850.65,331.3,26.687,0.678,32.203,0.474,-8.048,0.027,0.001,3.846,-2.907,-65.152,0.121,-2.976,0.044,-2.819,-0.058,0.221,0,0.56,0,0,0.006,0.573,0,0,43.54481,-80.24811,132397,63.75,9,NA
Halifax,0.087,0.04,0.349,0.023,positive,No,0.042,0.368,No,linear,0.04,0.349,0.023,0.087,0.127,North America,1.924,739.975,69.225,28.133,0.523,29.394,0.577,-0.358,0.089,-0.109,26.052,31.896,-21.938,-0.134,-6.371,0.2,-3.103,0.172,0,0,0.038,0.008,0.083,0,0,0,0,44.648766,-63.575237,316701,146.8,2,72
Halle,0.171,0.23,0.01,0.163,positive,Yes,0.237,0.005,Yes,quadratic,0.938,0.003,0.283,0.075,0.248,Europe,0.663,744.8,119.2,28.217,-0.393,29.506,0.614,2.244,0.491,0.036,-10.81,42.251,-83.891,-0.013,-11.492,0.502,-1.928,0.583,0,0,0,0,0.626,0,0,0,0,51.482504,11.970545,239257,83.29,5,125
Helsinki,0.089,-0.008,0.92,0,negative,No,-0.024,0.455,No,linear,-0.008,0.92,0,0.089,0.081,Europe,1.246,518.85,14.35,25.173,0.514,29.874,0.59,-22.5,0.073,-0.049,15.788,3.661,-60.383,-0.044,-4.241,0.268,-0.765,0.08,0,0,0.214,0,0.052,0.001,0,0.008,0,60.169857,24.938379,648042,388.83,4,108
Hempstead,0.083,0.218,0.012,0.159,positive,Yes,0.193,0.024,Yes,linear,0.218,0.012,0.159,0.083,0.301,North America,1.197,923.282,45.385,37.082,0.574,41.036,0.549,-6.735,0.139,0.057,5.468,69.16,-99.134,-0.389,-17.79,0.755,-4.063,0.326,0,0,0,0,0,0,0,0,0,40.705561,-73.625962,53891,370.02,6,NA
Hiroshima,0.301,-0.01,0.931,0,negative,No,-0.007,0.951,No,linear,-0.01,0.931,0,0.301,0.291,Asia,1.54,1030.733,94.955,NaN,-0.306,36.634,0.423,16.007,0.246,0.238,-96.186,268.255,NA,-0.313,-7.382,0.516,-1.31,0.223,0,0,0,NA,0,0,0,0.192,0,34.385204,132.455292,1194034,476.36,3,109
Houston,0.826,0.197,0.017,0.131,positive,Yes,0.118,0.03,Yes,quadratic,0.843,0.002,0.261,0.734,0.864,North America,0.81,1391.884,26.953,35.11,-0.393,38.751,0.395,9.081,0.373,-0.141,182.03,16.742,-62.359,-0.25,1.842,0.021,-0.782,0.145,0,0,0,0,0,0.034,0.744,0.156,0.027,29.758938,-95.367697,2093615,3597.93,3,99
Indianapolis,0.098,0.043,0.343,0.019,positive,No,0.036,0.389,No,linear,0.043,0.343,0.019,0.098,0.141,North America,0.964,1061.16,251.18,56.506,0.687,39.292,0.371,-1.646,-0.006,0.027,-5.453,35.093,-64.233,0.188,-10.102,0.345,-4.236,-0.059,0,0,0,0,0.001,0,0,0,0,39.768402,-86.158066,820436,1294.87,5,123
Jacksonville,0.735,0.278,0.002,0.26,positive,Yes,0.203,0.009,Yes,quadratic,1.372,0,0.456,0.59,0.869,North America,0.912,1398.771,8.765,21.591,-0.468,37.936,0.593,20.335,0.525,0.046,-62.213,5.309,-25.626,-0.128,-7.782,0.167,-2.094,0.143,0,0,0.015,0.02,0.009,0,0.029,0.003,0.034,30.32597,-81.656761,821764,1219.62,3,85
Kalamazoo,0.247,0.005,0.928,0,positive,No,0.015,0.779,No,linear,0.005,0.928,0,0.247,0.252,North America,0.935,979.825,247.5,17.456,NaN,NaN,NaN,NaN,NaN,0.019,-7.809,37.716,-35.189,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,42.28978,-85.584679,74262,180.7,4,NA
Kingston,0.209,0.076,0.572,0.013,positive,No,0.083,0.557,No,linear,0.076,0.572,0.013,0.209,0.285,North America,1.153,805.259,95.115,50.271,0.342,39.655,0.459,-7.857,0.083,-0.024,4.563,-12.089,-71.456,0.397,-10.677,0.427,-4.416,-0.038,0,0,0.011,0,0.012,0,0,0,0.189,44.23048,-76.48125,117660,64.92,2,NA
Kunming,0.595,-0.109,0.449,0.012,negative,No,-0.111,0.448,No,linear,-0.109,0.449,0.012,0.595,0.486,Asia,0.874,1156.22,2050.58,40.573,-0.399,35.824,0.426,17.179,0.399,0.149,-120.498,617.449,-94.272,-0.343,-2.675,0.186,-2.487,0.248,0,0,0,0,0,0.114,0.002,0.017,0,25.037281,102.716949,3385363,880.35,6,105
Kyoto,0.386,-0.197,0.038,0.098,negative,Yes,-0.154,0.127,No,linear,-0.197,0.038,0.098,0.386,0.188,Asia,1.587,1069.909,73.773,36.447,-0.281,40.004,0.486,14.266,0.241,0.052,-56.649,107.375,-91.033,-0.258,-15.058,0.427,1.29,0.192,0,0,0,0,0,0,0,0.011,0,35.003655,135.759676,1475183,3406.11,8,1170
La_Verne,0.137,0.1,0.386,0.02,positive,No,0.087,0.267,No,linear,0.1,0.386,0.02,0.137,0.237,North America,0.341,1503.575,392.641,51.434,-0.332,33.941,0.41,15.142,0.466,0.057,-5.611,151.407,-16.552,-0.062,-0.778,0.004,-0.83,0.058,0,0,0,0.022,0.021,0.129,0.915,0.038,0.239,34.100843,-117.767836,31063,82.28,6,NA
Lake_Charles,0.791,0.083,0.629,0.006,positive,No,0.119,0.297,No,linear,0.083,0.629,0.006,0.791,0.874,North America,1.041,1363.875,7.6,27.594,-0.417,32.026,0.519,13.833,0.435,0.055,-62.994,-6.99,-58.708,-0.143,-5.821,0.29,-0.626,0.203,0,0,0.001,0,0.005,0,0.008,0.435,0.027,30.226595,-93.217376,71993,236.1,1,NA
Landshut,0.236,-0.051,0.584,0.006,negative,No,-0.021,0.818,No,linear,-0.051,0.584,0.006,0.236,0.184,Europe,1.032,780.1,409.46,26.383,-0.364,34.077,0.582,2.39,0.469,0.036,-20.931,52.536,-80.755,0.07,-10.863,0.379,-1.836,0.47,0,0,0,0,0.093,0,0,0,0,48.536217,12.151655,63544,30.11,7,NA
