city,yint_Dist,betaLog_Dist,pvalLog_Dist,yint_GMIS,betaLog_GMIS,pvalLog_GMIS,yint_hii,betaLog_hii,pvalLog_hii,continent
Denver,-1.297,-0.135,0.72,-1.814,0.981,0.007,-1.45,0.149,0.608,North America
Detroit,-0.86,0.238,0.387,-0.66,-0.239,0.372,-0.884,0.187,0.515,North America
Edmonton,-1.748,0.414,0.243,-1.614,0.099,0.759,-1.626,0.11,0.74,North America
Elmira,-0.306,-0.383,0.319,-0.624,0.476,0.129,NA,NA,NA,North America
Everett,-1.245,0.673,0.055,-0.482,-1.027,0.014,-0.813,-0.313,0.165,North America
Fairbanks,-2.382,0.287,0.42,-2.063,-0.448,0.281,-2.197,-0.12,0.817,North America
Fergus,-0.672,1.227,0,0.024,-0.788,0.013,0.383,-0.915,0,North America
Fort_Collins,-1.825,0.492,0.459,-1.15,-1.113,0.099,-1.255,-0.672,0.088,North America
Frankfurt,-1.07,1.192,0,-0.475,-0.471,0.154,0.24,-1.187,0,Europe
Fredericton,-1.674,0.149,0.642,-1.529,-0.34,0.334,-2.398,0.833,0.081,North America
Freehold,-1.163,-1.098,0,-1.827,0.765,0.003,-2.299,0.966,0.002,North America
Georgetown,-0.952,0.671,0.069,-0.564,-0.253,0.417,-0.206,-0.693,0.004,North America
Ghent,-2.206,1.333,0,-1.252,-0.768,0.017,-1.072,-0.756,0.001,Europe
Glasgow,-0.195,-1.009,0.001,-0.87,0.877,0.006,-1.002,0.687,0.006,Europe
Guelph,-1.507,1.433,0,-0.27,-1.597,0,-0.003,-1.218,0,North America
Halifax,-2.356,0.445,0.267,-2.14,-0.131,0.783,-1.933,-0.727,0.086,North America
Halle,-1.541,1.214,0,-0.668,-1.359,0,-0.591,-0.671,0.001,Europe
Helsinki,-2.499,-0.056,0.906,-2.685,0.452,0.31,-2.77,0.271,0.588,Europe
Hempstead,-2.205,1.446,0,-0.993,-1.236,0,-1.01,-0.83,0.009,North America
Hiroshima,-0.865,-0.043,0.842,-1.303,0.947,0,-1.324,0.759,0,Asia
Houston,1.306,2.748,0,2.818,-1.318,0.005,3.852,-2.043,0.011,North America
Indianapolis,-2.191,0.39,0.25,-1.945,-0.084,0.79,-2.229,0.334,0.323,North America
Jacksonville,0.765,3.04,0,2.449,-1.77,0,3.203,-2.264,0,North America
Kalamazoo,-1.117,0.027,0.922,-1.039,-0.343,0.257,-1.021,-0.108,0.794,North America
Kingston,-1.561,0.709,0.09,-1.176,-0.121,0.749,-1.08,-0.216,0.477,North America
Kunming,0.381,-0.439,0.091,-0.166,0.682,0.001,-0.246,0.692,0.001,Asia
Kyoto,-0.4,-1.027,0,-1.121,0.576,0.005,-1.18,0.447,0.064,Asia
La_Verne,-1.815,0.662,0.034,-1.259,-0.367,0.436,-1.219,-0.472,0.024,North America
Lake_Charles,1.388,0.855,0.054,2.5,-2.059,0,2.814,-1.799,0,North America
Landshut,-1.117,-0.356,0.19,-1.421,0.422,0.094,-1.464,0.313,0.127,Europe
Lansing,-1.469,-0.046,0.886,-1.419,-0.199,0.554,-1.568,0.111,0.787,North America
Lanzhou,0.565,-0.503,0.023,0.235,0.113,0.65,-0.17,1.093,0,Asia
Latacunga,-1.324,1.084,0,-0.402,-2.161,0,-0.448,-0.722,0.007,South America
Leiden,-2.964,1.873,0,-1.489,-1.614,0,-1.398,-1.196,0.001,Europe
Leuven,-1.074,0.475,0.101,-0.486,-0.757,0.031,-0.635,-0.432,0.082,Europe
Linkoping,-4.779,4.106,0,-1.572,-4.176,0,-1.616,-1.318,0,Europe
Lisbon,2.317,-1.959,0,-0.061,3.086,0,0.191,2.149,0,Europe
Little_Rock,-1.179,1.827,0,-0.226,-0.929,0.003,-1.405,1.225,0.004,North America
Loja,-2.124,1.113,0,-1.29,-0.614,0.011,-0.73,-1.224,0,South America
London,-0.851,-0.103,0.7,-1.033,0.317,0.13,-0.762,-0.16,0.696,North America
Los_Angeles,-0.476,0.544,0.021,0.107,-0.561,0.086,-0.385,0.22,0.473,North America
Louisville,-1.453,-0.224,0.518,-1.687,0.41,0.176,-1.515,-0.023,0.954,North America
Madison,-2.146,0.516,0.092,-1.81,-0.252,0.387,-1.759,-0.246,0.545,North America
Manchester,-1.01,0.895,0,-0.531,-0.372,0.254,0.029,-0.901,0,Europe
Medellin,-1.988,-3.45,0,-3.479,-0.133,0.871,-2.202,-2.694,0.029,South America
Melbourne,-0.098,1.33,0,0.314,0.201,0.551,0.766,-0.637,0.028,Oceania
Memphis,-1.177,1.81,0,-0.011,-1.096,0,0.87,-1.665,0,North America
Mexico_City,1.319,-0.152,0.703,2.181,-1.634,0,0.977,0.453,0.197,North America
Minneapolis,-3.357,0.944,0.098,-2.529,-1.08,0.113,-2.812,-0.045,0.924,North America
Moncton,-2.01,0.082,0.822,-1.879,-0.243,0.507,-1.896,-0.136,0.703,North America
Montreal,-0.113,-0.225,0.324,-0.457,0.457,0.023,-0.126,-0.133,0.577,North America
Morelia,-0.546,1.251,0,0.909,-1.917,0,0.36,-0.46,0.171,North America
Muenster,-2.518,2.853,0,-0.346,-3.819,0,0.07,-2.224,0,Europe
Munich,-1.178,0.513,0.034,-0.794,-0.268,0.331,-0.851,-0.117,0.459,Europe
New_Tecumseth,-0.588,-0.395,0.25,-0.512,-0.633,0.099,-1.207,0.491,0.265,North America
New_York,-2.154,1.151,0,-1.219,-0.721,0.019,-1.331,-0.146,0.633,North America
Newcastle,-0.473,1.286,0,0.408,-0.86,0.006,0.368,-0.365,0.117,Oceania
Newhaven,-1.66,0.854,0.002,-1.118,-0.734,0.078,-0.985,-0.584,0.027,North America
Norfolk,-1.097,1.44,0,0.133,-1.412,0,0.461,-1.2,0.004,North America
Norrtalje,-1.75,-0.274,0.462,-1.927,0.175,0.628,-1.632,-0.501,0.287,Europe
North_Bay,-0.834,-0.163,0.584,-0.942,0.179,0.529,-0.874,-0.021,0.947,North America
Orangeville,-0.683,0.257,0.398,-0.562,0.052,0.864,-0.525,-0.034,0.866,North America
Ottawa,-1.007,0.129,0.701,-1.262,0.874,0.026,-0.633,-0.414,0.159,North America
Palmerston_North,0.017,2.596,0,1.668,-1.695,0,1.12,-0.202,0.366,Oceania
Paris,0.686,-0.227,0.312,0.5,0.202,0.391,0.124,0.576,0.024,Europe
Parramata,-1.901,4.633,0,1.289,-3.92,0,2.765,-3.781,0,Oceania
Philadelphia,-1.312,-0.211,0.523,-1.493,0.223,0.451,-1.529,0.211,0.546,North America
Pittsburgh,-1.425,0.385,0.204,-1.114,-0.441,0.184,-0.988,-0.456,0.113,North America
Port_Hope,-1.409,0.767,0.023,-0.819,-0.766,0.048,-1.443,0.623,0.02,North America
Portland,-1.495,0.017,0.959,-1.495,0.018,0.955,-1.3,-0.282,0.402,North America
Portlandme,-1.573,-0.111,0.783,-1.612,-0.034,0.926,-1.589,-0.049,0.913,North America
Providence,-1.82,0.783,0.014,-1.181,-0.756,0.025,-0.993,-0.944,0.014,North America
Punta_Arenas,0.344,0.992,0,1.135,-0.912,0,1.031,-0.442,0.258,South America
Quebec_City,-0.432,0.181,0.483,-0.335,-0.031,0.892,-0.151,-0.282,0.267,North America
Quito,-2.247,0.516,0.139,-2.476,0.77,0.05,-2.898,1.332,0.044,South America
Raleigh,-0.506,0.239,0.446,-0.185,-0.681,0.018,-0.462,0.14,0.632,North America
Rancagua,0.843,-0.073,0.807,0.909,-0.195,0.35,0.8,0.035,0.882,South America
Reading,-1.472,3.073,0,0.323,-1.258,0,1.71,-2.532,0,Europe
Rennes,1.657,-0.084,0.778,1.546,0.262,0.405,1.794,-0.258,0.434,Europe
Reutlingen,-0.871,1.028,0,-0.07,-1.313,0,-0.118,-0.47,0.014,Europe
Rochester,-1.766,-0.282,0.557,-1.876,-0.016,0.969,-2.607,0.831,0.181,North America
Rockford,-2.142,0.209,0.557,-2.033,-0.017,0.965,-2.388,0.522,0.169,North America
Sacramento,-0.639,1.051,0,-0.8,1.093,0.004,0.339,-0.905,0,North America
Saint_Thomas,-0.373,-0.4,0.198,-0.537,-0.002,0.993,-0.654,0.211,0.302,North America
Salem,-0.956,0.844,0.001,-0.371,-0.711,0.012,-0.222,-0.677,0.002,North America
Santa_Maria,0.585,0.272,0.571,1.025,-0.966,0.021,0.95,-0.403,0.435,South America
Santiago,0.735,0.779,0.001,1.452,-0.776,0,1.569,-0.813,0.005,South America
Sapporo,-1.345,0.6,0.016,-0.946,-0.349,0.126,-1.176,0.209,0.43,Asia
Seattle,-1.135,0.655,0.015,-0.697,-0.437,0.099,-0.586,-0.349,0.24,North America
Shanghai,-1.618,6.143,0,1.416,-0.154,0.715,2.768,-3.456,0,Asia
Sioux_Falls,-2.031,0.584,0.189,-1.713,-0.184,0.652,-1.31,-0.59,0.136,North America
St_Albert,-1.692,0.33,0.296,-1.627,0.276,0.48,-1.281,-0.396,0.225,North America
St_Louis,-1.446,0.547,0.082,-1.261,0.049,0.883,-1.2,-0.073,0.854,North America
Starkville,1.448,-0.217,0.468,1.313,0.128,0.686,1.211,0.318,0.298,North America
Stockholm,-1.975,-0.914,0.064,-2.862,0.925,0.068,-3.596,1.204,0.055,Europe
Stratford,-0.649,0.418,0.118,-0.36,-0.321,0.324,0.182,-0.659,0.132,North America
Stuttgart,-0.812,-0.076,0.737,-0.819,-0.098,0.71,0.003,-1.02,0.001,Europe
Sudbury,-1.595,-1.381,0.115,-2.814,1.27,0.125,-2.669,0.832,0.252,North America
Tacoma,-1.026,-0.219,0.473,-0.817,-0.67,0.033,-1.093,0.112,0.687,North America
Talca,1.138,-0.19,0.512,1.062,-0.004,0.985,1.099,-0.072,0.814,South America
Tampa,9.122,-5.847,0.212,4.101,1.716,0.532,5.759,-2.163,0.426,North America
Tehran,-1.512,2.345,0,-0.987,0.116,0.754,-0.29,-1.07,0,Asia
Temuco,1.109,0.11,0.659,1.279,-0.272,0.228,1.229,-0.116,0.699,South America
Thessaloniki,-0.719,1.703,0,0.959,-1.149,0,0.179,-0.006,0.98,Europe
Tokyo,-1.549,0.552,0.015,-1.034,-0.493,0.075,-0.586,-1.019,0,Asia
Toluca,-0.514,2.884,0,2.024,-2.451,0,0.618,-0.171,0.653,North America
Toronto,-1.529,1.463,0,-0.442,-0.849,0,0.174,-1.292,0,North America
Trondheim,-2.421,-0.625,0.244,-2.658,-0.055,0.907,-3.044,0.491,0.268,Europe
Uppsala,-2.744,-1.704,0.033,-3.526,0.48,0.486,-4.842,1.737,0.061,Europe
Uruapan,2.007,-1.529,0.003,0.468,1.47,0.001,1.96,-1.519,0,North America
Vancouver,-1.826,1.441,0,-0.902,-0.732,0.025,-0.105,-1.742,0,North America
Victoria,-0.859,1.207,0,-0.047,-0.749,0.002,-0.102,-0.271,0.2,North America
Warsaw,-2.646,-1.357,0.046,-2.98,-0.552,0.353,-4.022,1.099,0.169,Europe
Washington,-1.593,0.969,0,-0.92,-1.145,0.001,-0.73,-0.865,0.002,North America
Waterloo,-0.867,-0.252,0.422,-1.053,0.191,0.557,-1.02,0.077,0.713,North America
Whitchurch-Stouffville,-0.853,0.126,0.68,-0.798,-0.005,0.986,-0.578,-0.482,0.038,North America
Winnipeg,-2.198,-0.187,0.658,-2.345,0.28,0.591,-2.371,0.142,0.768,North America
Wollongong,-1.971,2.914,0,0.037,-4.411,0,1.977,-4.132,0,Oceania
Woodstock,-0.544,0.272,0.377,-0.215,-0.432,0.073,-0.325,-0.186,0.453,North America
Wuhan,2.189,-0.451,0.35,1.582,1.335,0.006,2.689,-1.452,0,Asia
Xalapa,-2.132,-0.066,0.925,-2.305,0.38,0.406,-1.712,-0.944,0.097,North America
Zurich,0.344,-0.104,0.67,0.423,-0.431,0.087,0.161,0.196,0.436,Europe
