OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,salem_046029_20160101_NDSI_pcs_OID,salem_046029_20160101_NDSI_pcs_FID_,salem_046029_20160101_NDSI_pcs_COUNT,salem_046029_20160101_NDSI_pcs_AREA,salem_046029_20160101_NDSI_pcs_MEAN
-1,Salem,11,45.069600000000001,-122.979799999999997,20,11,0.550000000000000,44.941017000000002,-123.038677000000007,North America,15.028400000000000,22.738399999999999,0.660900000000000,100.000000000000000,10,10,10,35,31500.000000000000000,-0.480888990845000
-1,Salem,12,45.069929999999999,-122.983760000000004,20,11,0.550000000000000,44.941017000000002,-123.038677000000007,North America,14.970599999999999,22.738399999999999,0.658400000000000,100.000000000000000,11,11,11,35,31500.000000000000000,-0.414425112414000
-1,Salem,13,45.061030000000002,-122.982039999999998,20,14,0.700000000000000,44.941017000000002,-123.038677000000007,North America,14.068199999999999,22.738399999999999,0.618700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-0.416813552220000
-1,Salem,14,45.049770000000002,-123.000029999999995,20,4,0.200000000000000,44.941017000000002,-123.038677000000007,North America,12.468800000000000,22.738399999999999,0.548400000000000,100.000000000000000,13,13,13,32,28800.000000000000000,-0.477884821594000
-1,Salem,15,45.049720000000001,-123.005309999999994,20,16,0.800000000000000,44.941017000000002,-123.038677000000007,North America,12.368700000000000,22.738399999999999,0.544000000000000,100.000000000000000,14,14,14,34,30600.000000000000000,-0.407384584932000
-1,Salem,16,44.937199999999997,-123.031700000000001,20,1,0.050000000000000,44.941017000000002,-123.038677000000007,North America,0.694100000000000,22.738399999999999,0.030500000000000,100.000000000000000,15,15,15,36,32400.000000000000000,-0.306273607020000
-1,Salem,17,44.939200000000000,-123.032700000000006,20,2,0.100000000000000,44.941017000000002,-123.038677000000007,North America,0.512000000000000,22.738399999999999,0.022500000000000,100.000000000000000,16,16,16,35,31500.000000000000000,-0.317306965696000
-1,Salem,18,44.940800000000003,-123.029700000000005,20,3,0.150000000000000,44.941017000000002,-123.038677000000007,North America,0.707000000000000,22.738399999999999,0.031100000000000,100.000000000000000,17,17,17,35,31500.000000000000000,-0.323836244087000
-1,Salem,19,44.944580000000002,-123.025810000000007,20,2,0.100000000000000,44.941017000000002,-123.038677000000007,North America,1.087400000000000,22.738399999999999,0.047800000000000,100.000000000000000,18,18,18,35,31500.000000000000000,-0.365817214442000
-1,Salem,20,44.946739999999998,-123.027330000000006,20,10,0.500000000000000,44.941017000000002,-123.038677000000007,North America,1.096600000000000,22.738399999999999,0.048200000000000,100.000000000000000,19,19,19,35,31500.000000000000000,-0.357199655260000
-1,Salem,21,44.940049999999999,-123.036630000000002,20,7,0.350000000000000,44.941017000000002,-123.038677000000007,North America,0.193700000000000,22.738399999999999,0.008500000000000,100.000000000000000,20,20,20,32,28800.000000000000000,-0.153259940096000
-1,Salem,22,44.951400000000000,-123.026200000000003,20,3,0.150000000000000,44.941017000000002,-123.038677000000007,North America,1.515600000000000,22.738399999999999,0.066700000000000,100.000000000000000,21,21,21,35,31500.000000000000000,-0.376774906793000
-1,Salem,23,44.955399999999997,-123.023700000000005,20,8,0.400000000000000,44.941017000000002,-123.038677000000007,North America,1.986700000000000,22.738399999999999,0.087400000000000,100.000000000000000,22,22,22,35,31500.000000000000000,-0.386948691947000
-1,Salem,24,44.957500000000003,-123.030000000000001,20,7,0.350000000000000,44.941017000000002,-123.038677000000007,North America,1.955900000000000,22.738399999999999,0.086000000000000,100.000000000000000,23,23,23,35,31500.000000000000000,-0.336513572506000
-1,Salem,25,44.959060000000001,-123.027680000000004,20,5,0.250000000000000,44.941017000000002,-123.038677000000007,North America,2.185000000000000,22.738399999999999,0.096100000000000,100.000000000000000,24,24,24,34,30600.000000000000000,-0.370853197925000
-1,Salem,26,44.965710000000001,-123.024770000000004,20,9,0.450000000000000,44.941017000000002,-123.038677000000007,North America,2.955800000000000,22.738399999999999,0.130000000000000,100.000000000000000,25,25,25,32,28800.000000000000000,-0.335271199059000
-1,Salem,27,44.969200000000001,-123.027609999999996,20,7,0.350000000000000,44.941017000000002,-123.038677000000007,North America,3.252600000000000,22.738399999999999,0.143000000000000,100.000000000000000,26,26,26,35,31500.000000000000000,-0.206480279006000
-1,Salem,28,44.975430000000003,-123.021220000000000,20,3,0.150000000000000,44.941017000000002,-123.038677000000007,North America,4.065600000000000,22.738399999999999,0.178800000000000,100.000000000000000,27,27,27,35,31500.000000000000000,-0.223704843569000
-1,Salem,29,44.984310000000001,-123.014179999999996,20,6,0.300000000000000,44.941017000000002,-123.038677000000007,North America,5.185500000000000,22.738399999999999,0.228100000000000,100.000000000000000,28,28,28,35,31500.000000000000000,-0.404358060871000
-1,Salem,30,44.986319999999999,-123.012230000000002,20,6,0.300000000000000,44.941017000000002,-123.038677000000007,North America,5.450300000000000,22.738399999999999,0.239700000000000,100.000000000000000,29,29,29,32,28800.000000000000000,-0.449898991268000
-1,Salem,31,44.996400000000001,-123.015100000000004,20,4,0.200000000000000,44.941017000000002,-123.038677000000007,North America,6.431600000000000,22.738399999999999,0.282900000000000,100.000000000000000,30,30,30,37,33300.000000000000000,-0.406765874979000
-1,Salem,32,44.995699999999999,-123.019199999999998,20,8,0.400000000000000,44.941017000000002,-123.038677000000007,North America,6.270600000000000,22.738399999999999,0.275800000000000,100.000000000000000,31,31,31,35,31500.000000000000000,-0.314636876115000
-1,Salem,33,45.009399999999999,-123.014700000000005,20,12,0.600000000000000,44.941017000000002,-123.038677000000007,North America,7.834300000000000,22.738399999999999,0.344500000000000,100.000000000000000,32,32,32,37,33300.000000000000000,-0.404553097648000
-1,Salem,34,45.009900000000002,-123.016999999999996,20,17,0.850000000000000,44.941017000000002,-123.038677000000007,North America,7.846900000000000,22.738399999999999,0.345100000000000,100.000000000000000,33,33,33,36,32400.000000000000000,-0.398889655868000
-1,Salem,35,45.035600000000002,-122.999799999999993,20,7,0.350000000000000,44.941017000000002,-123.038677000000007,North America,10.952500000000001,22.738399999999999,0.481700000000000,100.000000000000000,34,34,34,35,31500.000000000000000,-0.398657689350000
-1,Salem,36,45.023429999999998,-123.014229999999998,20,5,0.250000000000000,44.941017000000002,-123.038677000000007,North America,9.363500000000000,22.738399999999999,0.411800000000000,100.000000000000000,35,35,35,35,31500.000000000000000,-0.385877176694000
-1,Salem,37,45.017899999999997,-123.013099999999994,20,5,0.250000000000000,44.941017000000002,-123.038677000000007,North America,8.782500000000001,22.738399999999999,0.386200000000000,100.000000000000000,36,36,36,35,31500.000000000000000,-0.404089371647000
-1,Salem,38,45.015099999999997,-123.013300000000001,20,6,0.300000000000000,44.941017000000002,-123.038677000000007,North America,8.476000000000001,22.738399999999999,0.372800000000000,100.000000000000000,37,37,37,35,31500.000000000000000,-0.308857234355000
-1,Salem,39,45.027700000000003,-123.017700000000005,20,8,0.400000000000000,44.941017000000002,-123.038677000000007,North America,9.778900000000000,22.738399999999999,0.430100000000000,100.000000000000000,38,38,38,36,32400.000000000000000,-0.380869578156000
-1,Salem,40,45.007790000000000,-123.010230000000007,20,6,0.300000000000000,44.941017000000002,-123.038677000000007,North America,7.754700000000000,22.738399999999999,0.341000000000000,100.000000000000000,39,39,39,36,32400.000000000000000,-0.366520633973000
