OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,toronto_018029_20150227_NDSI_pcs_OID,toronto_018029_20150227_NDSI_pcs_FID_,toronto_018029_20150227_NDSI_pcs_COUNT,toronto_018029_20150227_NDSI_pcs_AREA,toronto_018029_20150227_NDSI_pcs_MEAN
-1,Toronto,33,43.724860000000000,-79.430819999999997,19,7,0.368000000000000,43.653224999999999,-79.383185999999995,North America,8.838400000000000,47.583900000000000,0.185700000000000,100.000000000000000,32,32,32,35,31500.000000000000000,0.574648285764000
-1,Toronto,34,43.714790000000001,-79.428979999999996,20,3,0.150000000000000,43.653224999999999,-79.383185999999995,North America,7.773300000000000,47.583900000000000,0.163400000000000,100.000000000000000,33,33,33,35,31500.000000000000000,0.543012924705000
-1,Toronto,35,43.704140000000002,-79.426659999999998,20,11,0.550000000000000,43.653224999999999,-79.383185999999995,North America,6.654000000000000,47.583900000000000,0.139800000000000,100.000000000000000,34,34,34,35,31500.000000000000000,0.577378379075000
-1,Toronto,36,43.694159999999997,-79.422970000000007,20,8,0.400000000000000,43.653224999999999,-79.383185999999995,North America,5.563800000000000,47.583900000000000,0.116900000000000,100.000000000000000,35,35,35,35,31500.000000000000000,0.595298479285000
-1,Toronto,37,43.683149999999998,-79.419749999999993,20,4,0.200000000000000,43.653224999999999,-79.383185999999995,North America,4.440900000000000,47.583900000000000,0.093300000000000,100.000000000000000,36,36,36,36,32400.000000000000000,0.493098660062000
-1,Toronto,38,43.671990000000001,-79.414209999999997,20,1,0.050000000000000,43.653224999999999,-79.383185999999995,North America,3.253000000000000,47.583900000000000,0.068400000000000,100.000000000000000,37,37,37,37,33300.000000000000000,0.628247904616000
-1,Toronto,39,43.663469999999997,-79.412009999999995,20,6,0.300000000000000,43.653224999999999,-79.383185999999995,North America,2.583500000000000,47.583900000000000,0.054300000000000,100.000000000000000,38,38,38,34,30600.000000000000000,0.572398171705000
-1,Toronto,40,43.657200000000003,-79.407560000000004,20,3,0.150000000000000,43.653224999999999,-79.383185999999995,North America,2.010100000000000,47.583900000000000,0.042200000000000,100.000000000000000,39,39,39,35,31500.000000000000000,0.614644539356000
-1,Toronto,85,43.684690000000003,-79.563770000000005,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,14.940200000000001,47.583900000000000,0.314000000000000,100.000000000000000,77,40,77,35,31500.000000000000000,0.703687281268000
-1,Toronto,86,43.688710000000000,-79.549700000000001,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,13.961700000000000,47.583900000000000,0.293400000000000,100.000000000000000,78,41,78,35,31500.000000000000000,0.761798594679000
-1,Toronto,87,43.692360000000001,-79.537959999999998,20,5,0.250000000000000,43.653224999999999,-79.383185999999995,North America,13.186700000000000,47.583900000000000,0.277100000000000,100.000000000000000,79,42,79,36,32400.000000000000000,0.688989890118000
-1,Toronto,88,43.697560000000003,-79.524550000000005,20,4,0.200000000000000,43.653224999999999,-79.383185999999995,North America,12.391800000000000,47.583900000000000,0.260400000000000,100.000000000000000,80,43,80,35,31500.000000000000000,0.602506259509000
-1,Toronto,89,43.701050000000002,-79.511570000000006,20,4,0.200000000000000,43.653224999999999,-79.383185999999995,North America,11.613799999999999,47.583900000000000,0.244100000000000,100.000000000000000,81,44,81,35,31500.000000000000000,0.505011638573000
-1,Toronto,90,43.702150000000003,-79.499799999999993,20,8,0.400000000000000,43.653224999999999,-79.383185999999995,North America,10.841799999999999,47.583900000000000,0.227800000000000,100.000000000000000,82,45,82,36,32400.000000000000000,0.626221757382000
-1,Toronto,91,43.705140000000000,-79.488939999999999,20,4,0.200000000000000,43.653224999999999,-79.383185999999995,North America,10.278700000000001,47.583900000000000,0.216000000000000,100.000000000000000,83,46,83,37,33300.000000000000000,0.624049338135000
-1,Toronto,92,43.709429999999998,-79.472340000000003,20,4,0.200000000000000,43.653224999999999,-79.383185999999995,North America,9.510999999999999,47.583900000000000,0.199900000000000,100.000000000000000,84,47,84,35,31500.000000000000000,0.592389690450000
-1,Toronto,93,43.713000000000001,-79.462990000000005,20,7,0.350000000000000,43.653224999999999,-79.383185999999995,North America,9.239000000000001,47.583900000000000,0.194200000000000,100.000000000000000,85,48,85,36,32400.000000000000000,0.749286877612000
-1,Toronto,94,43.715429999999998,-79.449799999999996,19,7,0.368000000000000,43.653224999999999,-79.383185999999995,North America,8.748500000000000,47.583900000000000,0.183900000000000,100.000000000000000,86,49,86,36,32400.000000000000000,0.404967387103000
-1,Toronto,95,43.952979999999997,-78.960020000000000,19,8,0.421000000000000,43.653224999999999,-79.383185999999995,North America,47.583900000000000,47.583900000000000,1.000000000000000,100.000000000000000,87,50,87,35,31500.000000000000000,0.510777774879000
-1,Toronto,96,43.954160000000002,-78.974239999999995,20,6,0.300000000000000,43.653224999999999,-79.383185999999995,North America,46.869700000000002,47.583900000000000,0.985000000000000,100.000000000000000,88,51,88,32,28800.000000000000000,0.712994111702000
-1,Toronto,97,43.957230000000003,-78.997519999999994,20,8,0.400000000000000,43.653224999999999,-79.383185999999995,North America,45.831699999999998,47.583900000000000,0.963200000000000,100.000000000000000,89,52,89,35,31500.000000000000000,0.773814674786000
-1,Toronto,98,43.960039999999999,-79.007670000000005,20,16,0.800000000000000,43.653224999999999,-79.383185999999995,North America,45.518900000000002,47.583900000000000,0.956600000000000,100.000000000000000,90,53,90,35,31500.000000000000000,0.778260379178000
-1,Toronto,99,43.939439999999998,-79.017430000000004,19,17,0.895000000000000,43.653224999999999,-79.383185999999995,North America,43.297100000000000,47.583900000000000,0.909900000000000,100.000000000000000,91,54,91,35,31500.000000000000000,0.678546335442000
-1,Toronto,100,43.932220000000001,-79.033850000000001,20,6,0.300000000000000,43.653224999999999,-79.383185999999995,North America,41.816699999999997,47.583900000000000,0.878800000000000,100.000000000000000,92,55,92,35,31500.000000000000000,0.710422112261000
-1,Toronto,101,43.930920000000000,-79.055679999999995,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,40.552599999999998,47.583900000000000,0.852200000000000,100.000000000000000,93,56,93,35,31500.000000000000000,0.733146408626000
-1,Toronto,102,43.928550000000001,-79.066410000000005,20,6,0.300000000000000,43.653224999999999,-79.383185999999995,North America,39.796900000000001,47.583900000000000,0.836400000000000,100.000000000000000,94,57,94,35,31500.000000000000000,0.662691980600000
-1,Toronto,103,43.924639999999997,-79.070080000000004,20,6,0.300000000000000,43.653224999999999,-79.383185999999995,North America,39.274799999999999,47.583900000000000,0.825400000000000,100.000000000000000,95,58,95,37,33300.000000000000000,0.690849338834000
-1,Toronto,104,43.890059999999998,-79.065870000000004,20,8,0.400000000000000,43.653224999999999,-79.383185999999995,North America,36.642600000000002,47.583900000000000,0.770100000000000,100.000000000000000,96,59,96,35,31500.000000000000000,0.672117124285000
-1,Toronto,105,43.902270000000001,-79.097769999999997,8,5,0.625000000000000,43.653224999999999,-79.383185999999995,North America,35.943899999999999,47.583900000000000,0.755400000000000,100.000000000000000,97,60,97,32,28800.000000000000000,0.628978970461000
-1,Toronto,106,43.894340000000000,-79.130110000000002,20,7,0.350000000000000,43.653224999999999,-79.383185999999995,North America,33.640900000000002,47.583900000000000,0.707000000000000,100.000000000000000,98,61,98,37,33300.000000000000000,0.771337061315000
-1,Toronto,107,43.891199999999998,-79.143670000000000,20,1,0.050000000000000,43.653224999999999,-79.383185999999995,North America,32.711900000000000,47.583900000000000,0.687500000000000,100.000000000000000,99,62,99,36,32400.000000000000000,0.738877654076000
-1,Toronto,108,43.881349999999998,-79.145939999999996,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,31.723600000000001,47.583900000000000,0.666700000000000,100.000000000000000,100,63,100,36,32400.000000000000000,0.796526037984000
-1,Toronto,109,43.864939999999997,-79.174109999999999,18,3,0.167000000000000,43.653224999999999,-79.383185999999995,North America,28.916200000000000,47.583900000000000,0.607700000000000,100.000000000000000,101,64,101,35,31500.000000000000000,0.722623813152000
-1,Toronto,110,43.853659999999998,-79.180289999999999,20,3,0.150000000000000,43.653224999999999,-79.383185999999995,North America,27.609700000000000,47.583900000000000,0.580200000000000,100.000000000000000,102,65,102,35,31500.000000000000000,0.771914189202000
-1,Toronto,111,43.850070000000002,-79.193479999999994,20,5,0.250000000000000,43.653224999999999,-79.383185999999995,North America,26.669599999999999,47.583900000000000,0.560500000000000,100.000000000000000,103,66,103,33,29700.000000000000000,0.788884258632000
-1,Toronto,112,43.844749999999998,-79.216669999999993,20,11,0.550000000000000,43.653224999999999,-79.383185999999995,North America,25.148399999999999,47.583900000000000,0.528500000000000,100.000000000000000,104,67,104,34,30600.000000000000000,0.762729466838000
-1,Toronto,113,43.839810000000000,-79.231449999999995,20,3,0.150000000000000,43.653224999999999,-79.383185999999995,North America,24.062700000000000,47.583900000000000,0.505700000000000,100.000000000000000,105,68,105,35,31500.000000000000000,0.756421298640000
-1,Toronto,114,43.837840000000000,-79.249219999999994,20,10,0.500000000000000,43.653224999999999,-79.383185999999995,North America,23.177900000000001,47.583900000000000,0.487100000000000,100.000000000000000,106,69,106,35,31500.000000000000000,0.507961728637000
-1,Toronto,115,43.834299999999999,-79.262420000000006,18,12,0.667000000000000,43.653224999999999,-79.383185999999995,North America,22.349900000000002,47.583900000000000,0.469700000000000,100.000000000000000,107,70,107,37,33300.000000000000000,0.629295569819000
-1,Toronto,116,43.832520000000002,-79.273489999999995,20,5,0.250000000000000,43.653224999999999,-79.383185999999995,North America,21.797400000000000,47.583900000000000,0.458100000000000,100.000000000000000,108,71,108,35,31500.000000000000000,0.629577015979000
-1,Toronto,117,43.828539999999997,-79.287459999999996,20,0,0.000000000000000,43.653224999999999,-79.383185999999995,North America,20.956199999999999,47.583900000000000,0.440400000000000,100.000000000000000,109,72,109,32,28800.000000000000000,0.603417180013000
-1,Toronto,118,43.824820000000003,-79.302920000000000,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,20.140699999999999,47.583900000000000,0.423300000000000,100.000000000000000,110,73,110,35,31500.000000000000000,0.421898905294000
-1,Toronto,119,43.825460000000000,-79.318590000000000,20,3,0.150000000000000,43.653224999999999,-79.383185999999995,North America,19.842300000000002,47.583900000000000,0.417000000000000,100.000000000000000,111,74,111,32,28800.000000000000000,0.661927567795000
-1,Toronto,120,43.746929999999999,-79.308359999999993,20,1,0.050000000000000,43.653224999999999,-79.383185999999995,North America,12.031200000000000,47.583900000000000,0.252800000000000,100.000000000000000,112,75,112,36,32400.000000000000000,0.785939971606000
-1,Toronto,121,43.741439999999997,-79.318430000000006,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,11.105000000000000,47.583900000000000,0.233400000000000,100.000000000000000,113,76,113,35,31500.000000000000000,0.517282224553000
-1,Toronto,122,43.738759999999999,-79.337029999999999,20,4,0.200000000000000,43.653224999999999,-79.383185999999995,North America,10.209300000000001,47.583900000000000,0.214600000000000,100.000000000000000,114,77,114,32,28800.000000000000000,0.549453930813000
-1,Toronto,123,43.738970000000002,-79.351540000000000,20,4,0.200000000000000,43.653224999999999,-79.383185999999995,North America,9.868000000000000,47.583900000000000,0.207400000000000,100.000000000000000,115,78,115,32,28800.000000000000000,0.708381203935000
-1,Toronto,124,43.734830000000002,-79.357659999999996,20,9,0.450000000000000,43.653224999999999,-79.383185999999995,North America,9.303200000000000,47.583900000000000,0.195500000000000,100.000000000000000,116,79,116,35,31500.000000000000000,0.620368018321000
-1,Toronto,125,43.732199999999999,-79.372129999999999,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,8.826499999999999,47.583900000000000,0.185500000000000,100.000000000000000,117,80,117,35,31500.000000000000000,0.614258416210000
-1,Toronto,126,43.728189999999998,-79.392060000000001,20,5,0.250000000000000,43.653224999999999,-79.383185999999995,North America,8.366199999999999,47.583900000000000,0.175800000000000,100.000000000000000,118,81,118,32,28800.000000000000000,0.704866029322000
-1,Toronto,127,43.721469999999997,-79.409250000000000,20,2,0.100000000000000,43.653224999999999,-79.383185999999995,North America,7.872600000000000,47.583900000000000,0.165400000000000,100.000000000000000,119,82,119,35,31500.000000000000000,0.656235416446000
-1,Toronto,128,43.722259999999999,-79.426580000000001,19,3,0.158000000000000,43.653224999999999,-79.383185999999995,North America,8.432100000000000,47.583900000000000,0.177200000000000,100.000000000000000,120,83,120,35,31500.000000000000000,0.690796640941000
