OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,christchurch_074090_20160715_NDSI_pcs_OID,christchurch_074090_20160715_NDSI_pcs_FID_,christchurch_074090_20160715_NDSI_pcs_COUNT,christchurch_074090_20160715_NDSI_pcs_AREA,christchurch_074090_20160715_NDSI_pcs_MEAN
-1,Christchurch,18,-43.488729999999997,172.618259999999992,19,8,0.421000000000000,-43.532055000000000,172.636230000000012,Oceania,5.030800000000000,27.723900000000000,0.181500000000000,100.000000000000000,16,16,16,32,28800.000000000000000,-0.334608213278000
-1,Christchurch,19,-43.477409999999999,172.614939999999990,16,11,0.688000000000000,-43.532055000000000,172.636230000000012,Oceania,6.314200000000000,27.723900000000000,0.227800000000000,100.000000000000000,17,17,17,35,31500.000000000000000,-0.371307989529000
-1,Christchurch,20,-43.467449999999999,172.615800000000007,20,14,0.700000000000000,-43.532055000000000,172.636230000000012,Oceania,7.370300000000000,27.723900000000000,0.265800000000000,100.000000000000000,18,18,18,32,28800.000000000000000,-0.388321556151000
-1,Christchurch,21,-43.443680000000001,172.632249999999999,21,16,0.762000000000000,-43.532055000000000,172.636230000000012,Oceania,9.832100000000001,27.723900000000000,0.354600000000000,100.000000000000000,19,19,19,32,28800.000000000000000,-0.365226251539000
-1,Christchurch,22,-43.453589999999998,172.626309999999989,20,10,0.500000000000000,-43.532055000000000,172.636230000000012,Oceania,8.761500000000000,27.723900000000000,0.316000000000000,100.000000000000000,20,20,20,34,30600.000000000000000,-0.294771438465000
-1,Christchurch,24,-43.437440000000002,172.638610000000000,19,17,0.895000000000000,-43.532055000000000,172.636230000000012,Oceania,10.522500000000001,27.723900000000000,0.379500000000000,100.000000000000000,22,21,22,36,32400.000000000000000,-0.389984311743000
-1,Christchurch,25,-43.435009999999998,172.645170000000007,18,17,0.944000000000000,-43.532055000000000,172.636230000000012,Oceania,10.815000000000000,27.723900000000000,0.390100000000000,100.000000000000000,23,22,23,37,33300.000000000000000,-0.441930162746000
-1,Christchurch,26,-43.431089999999998,172.649830000000009,20,14,0.700000000000000,-43.532055000000000,172.636230000000012,Oceania,11.280300000000000,27.723900000000000,0.406900000000000,100.000000000000000,24,23,24,34,30600.000000000000000,-0.429115908111000
-1,Christchurch,27,-43.425220000000003,172.649830000000009,19,15,0.789000000000000,-43.532055000000000,172.636230000000012,Oceania,11.930099999999999,27.723900000000000,0.430300000000000,100.000000000000000,25,24,25,36,32400.000000000000000,-0.435541066031000
-1,Christchurch,29,-43.408670000000001,172.640459999999990,20,16,0.800000000000000,-43.532055000000000,172.636230000000012,Oceania,13.724000000000000,27.723900000000000,0.495000000000000,100.000000000000000,27,25,27,36,32400.000000000000000,-0.395035869287000
-1,Christchurch,30,-43.405700000000003,172.627849999999995,20,12,0.600000000000000,-43.532055000000000,172.636230000000012,Oceania,14.066300000000000,27.723900000000000,0.507400000000000,100.000000000000000,28,26,28,34,30600.000000000000000,-0.428622676169000
-1,Christchurch,31,-43.398339999999997,172.633039999999994,20,13,0.650000000000000,-43.532055000000000,172.636230000000012,Oceania,14.870699999999999,27.723900000000000,0.536400000000000,100.000000000000000,29,27,29,35,31500.000000000000000,-0.441494550875000
-1,Christchurch,33,-43.369860000000003,172.626740000000012,20,14,0.700000000000000,-43.532055000000000,172.636230000000012,Oceania,18.051500000000001,27.723900000000000,0.651100000000000,100.000000000000000,30,28,30,34,30600.000000000000000,-0.471257581430000
-1,Christchurch,34,-43.364260000000002,172.617899999999992,20,18,0.900000000000000,-43.532055000000000,172.636230000000012,Oceania,18.716500000000000,27.723900000000000,0.675100000000000,100.000000000000000,31,29,31,32,28800.000000000000000,-0.457057088148000
-1,Christchurch,35,-43.354959999999998,172.625920000000008,20,18,0.900000000000000,-43.532055000000000,172.636230000000012,Oceania,19.709599999999998,27.723900000000000,0.710900000000000,100.000000000000000,32,30,32,35,31500.000000000000000,-0.440899394240000
-1,Christchurch,36,-43.348190000000002,172.632769999999994,19,16,0.842000000000000,-43.532055000000000,172.636230000000012,Oceania,20.446800000000000,27.723900000000000,0.737500000000000,100.000000000000000,33,31,33,35,31500.000000000000000,-0.454830162866000
-1,Christchurch,37,-43.343269999999997,172.637130000000013,21,17,0.810000000000000,-43.532055000000000,172.636230000000012,Oceania,20.992100000000001,27.723900000000000,0.757200000000000,100.000000000000000,34,32,34,36,32400.000000000000000,-0.483233378993000
-1,Christchurch,38,-43.294379999999997,172.633219999999994,20,11,0.550000000000000,-43.532055000000000,172.636230000000012,Oceania,26.429400000000001,27.723900000000000,0.953300000000000,100.000000000000000,35,33,35,36,32400.000000000000000,-0.483819849789000
-1,Christchurch,39,-43.289670000000001,172.636349999999993,19,15,0.789000000000000,-43.532055000000000,172.636230000000012,Oceania,26.952000000000002,27.723900000000000,0.972200000000000,100.000000000000000,36,34,36,32,28800.000000000000000,-0.512670785189000
-1,Christchurch,40,-43.284759999999999,172.635590000000008,20,15,0.750000000000000,-43.532055000000000,172.636230000000012,Oceania,27.498000000000001,27.723900000000000,0.991900000000000,100.000000000000000,37,35,37,35,31500.000000000000000,-0.503868993691000
-1,Christchurch,41,-43.282730000000001,172.634800000000013,17,15,0.882000000000000,-43.532055000000000,172.636230000000012,Oceania,27.723900000000000,27.723900000000000,1.000000000000000,100.000000000000000,38,36,38,34,30600.000000000000000,-0.534736350179000
