OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,london_019030_DEM_pcs_OID,london_019030_DEM_pcs_FID_,london_019030_DEM_pcs_COUNT,london_019030_DEM_pcs_AREA,london_019030_DEM_pcs_MEAN
-1,London,15,43.003463000000004,-81.181070000000005,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,5.811318899180000,16.897389404999998,0.343900000000000,14,14,1,711.184872758999973,269.000000000000000
-1,London,16,43.004427000000000,-81.176678999999993,NA,NA,0.300000000000000,42.984270000000002,-81.247529999999998,North America,6.182892323320000,16.897389404999998,0.365900000000000,15,15,1,711.184872758999973,270.000000000000000
-1,London,17,43.005997000000001,-81.172377999999995,NA,NA,0.380952381000000,42.984270000000002,-81.247529999999998,North America,6.572211292120000,16.897389404999998,0.388900000000000,16,16,1,711.184872758999973,273.000000000000000
-1,London,18,43.006932999999997,-81.167480999999995,NA,NA,0.363636364000000,42.984270000000002,-81.247529999999998,North America,6.980984791990000,16.897389404999998,0.413100000000000,17,17,1,711.184872758999973,271.000000000000000
-1,London,19,43.008412000000000,-81.162058999999999,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,7.451505999380000,16.897389404999998,0.441000000000000,18,18,1,711.184872758999973,272.000000000000000
-1,London,20,43.009557000000001,-81.157805999999994,NA,NA,0.571428571000000,42.984270000000002,-81.247529999999998,North America,7.819973276050000,16.897389404999998,0.462800000000000,19,19,1,711.184872758999973,271.000000000000000
-1,London,21,43.010770000000001,-81.153225000000006,NA,NA,0.368421053000000,42.984270000000002,-81.247529999999998,North America,8.216046310679999,16.897389404999998,0.486200000000000,20,20,1,711.184872758999973,275.000000000000000
-1,London,22,43.011004000000000,-81.146742000000003,NA,NA,0.095238095000000,42.984270000000002,-81.247529999999998,North America,8.719082697410000,16.897389404999998,0.516000000000000,21,21,1,711.184872758999973,274.000000000000000
-1,London,23,43.012514000000003,-81.144597000000005,NA,NA,0.380952381000000,42.984270000000002,-81.247529999999998,North America,8.940765154350000,16.897389404999998,0.529100000000000,22,22,1,711.184872758999973,273.000000000000000
-1,London,24,43.015241000000003,-81.138936000000001,NA,NA,0.250000000000000,42.984270000000002,-81.247529999999998,North America,9.478927014440000,16.897389404999998,0.561000000000000,23,23,1,711.184872758999973,276.000000000000000
-1,London,25,43.016472999999998,-81.134354000000002,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,9.875775244030001,16.897389404999998,0.584500000000000,24,24,1,711.184872758999973,278.000000000000000
-1,London,26,43.018993999999999,-81.126301999999995,NA,NA,0.409090909000000,42.984270000000002,-81.247529999999998,North America,10.587502394300000,16.897389404999998,0.626600000000000,25,25,1,711.184872758999973,279.000000000000000
-1,London,27,43.021149999999999,-81.121060999999997,NA,NA,0.333333333000000,42.984270000000002,-81.247529999999998,North America,11.071820046299999,16.897389404999998,0.655200000000000,26,26,1,711.184872758999973,275.000000000000000
-1,London,28,43.022145000000002,-81.115960999999999,NA,NA,0.227272727000000,42.984270000000002,-81.247529999999998,North America,11.498062440300000,16.897389404999998,0.680500000000000,27,27,1,711.184872758999973,277.000000000000000
-1,London,29,43.022672000000000,-81.113674000000003,NA,NA,0.571428571000000,42.984270000000002,-81.247529999999998,North America,11.692541855300000,16.897389404999998,0.692000000000000,28,28,1,711.184872758999973,277.000000000000000
-1,London,30,43.024853000000000,-81.107271999999995,NA,NA,0.142857143000000,42.984270000000002,-81.247529999999998,North America,12.265612991399999,16.897389404999998,0.725900000000000,29,29,1,711.184872758999973,274.000000000000000
-1,London,31,43.026114000000000,-81.102383000000003,NA,NA,0.238095238000000,42.984270000000002,-81.247529999999998,North America,12.686770823600000,16.897389404999998,0.750800000000000,30,30,1,711.184872758999973,275.000000000000000
-1,London,32,43.027230000000003,-81.096630000000005,NA,NA,0.350000000000000,42.984270000000002,-81.247529999999998,North America,13.167511153300000,16.897389404999998,0.779300000000000,31,31,1,711.184872758999973,279.000000000000000
-1,London,33,43.028914000000000,-81.094103000000004,NA,NA,0.000000000000000,42.984270000000002,-81.247529999999998,North America,13.427140603200000,16.897389404999998,0.794600000000000,32,32,1,711.184872758999973,277.000000000000000
-1,London,34,43.030258000000003,-81.090158000000002,NA,NA,0.190476190000000,42.984270000000002,-81.247529999999998,North America,13.780332669200000,16.897389404999998,0.815500000000000,33,33,1,711.184872758999973,277.000000000000000
-1,London,35,43.031604999999999,-81.083537000000007,NA,NA,0.333333333000000,42.984270000000002,-81.247529999999998,North America,14.335840153900000,16.897389404999998,0.848400000000000,34,34,1,711.184872758999973,274.000000000000000
-1,London,36,43.033099999999997,-81.079504000000000,NA,NA,0.285714286000000,42.984270000000002,-81.247529999999998,North America,14.701789267200001,16.897389404999998,0.870100000000000,35,35,1,711.184872758999973,277.000000000000000
-1,London,37,43.034865000000003,-81.075024999999997,NA,NA,0.238095238000000,42.984270000000002,-81.247529999999998,North America,15.112605871000000,16.897389404999998,0.894400000000000,36,36,1,711.184872758999973,277.000000000000000
-1,London,38,43.035077999999999,-81.070807000000002,NA,NA,0.380952381000000,42.984270000000002,-81.247529999999998,North America,15.440077084500000,16.897389404999998,0.913800000000000,37,37,1,711.184872758999973,279.000000000000000
-1,London,39,43.037374999999997,-81.065743999999995,NA,NA,0.095238095000000,42.984270000000002,-81.247529999999998,North America,15.916639653400001,16.897389404999998,0.942000000000000,38,38,1,711.184872758999973,280.000000000000000
-1,London,40,43.039726999999999,-81.054040999999998,NA,NA,0.227272727000000,42.984270000000002,-81.247529999999998,North America,16.897389404999998,16.897389404999998,1.000000000000000,39,39,1,711.184872758999973,278.000000000000000
