OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,kunming_129043_DEM_pcs_OID,kunming_129043_DEM_pcs_FID_,kunming_129043_DEM_pcs_COUNT,kunming_129043_DEM_pcs_AREA,kunming_129043_DEM_pcs_MEAN
-1,Kunming,32,25.167490000000001,102.733220000000003,16,13,0.812000000000000,25.037281000000000,102.716949000000000,Asia,14.571000000000000,21.446600000000000,0.679400000000000,31,31,1,892.504817802000048,2147.000000000000000
-1,Kunming,33,25.170150000000000,102.733480000000000,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,14.867800000000001,21.446600000000000,0.693200000000000,32,32,1,892.504817802000048,2153.000000000000000
-1,Kunming,34,25.173850000000002,102.734009999999998,16,7,0.438000000000000,25.037281000000000,102.716949000000000,Asia,15.282600000000000,21.446600000000000,0.712600000000000,33,33,1,892.504817802000048,2182.000000000000000
-1,Kunming,35,25.176850000000002,102.736940000000004,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,15.649400000000000,21.446600000000000,0.729700000000000,34,34,1,892.504817802000048,2195.000000000000000
-1,Kunming,36,25.181360000000002,102.738439999999997,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,16.166300000000000,21.446600000000000,0.753800000000000,35,35,1,892.504817802000048,2211.000000000000000
-1,Kunming,37,25.184040000000000,102.739689999999996,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,16.478700000000000,21.446600000000000,0.768400000000000,36,36,1,892.504817802000048,2206.000000000000000
-1,Kunming,38,25.186140000000002,102.740759999999995,16,5,0.312000000000000,25.037281000000000,102.716949000000000,Asia,16.725100000000001,21.446600000000000,0.779800000000000,37,37,1,892.504817802000048,2216.000000000000000
-1,Kunming,39,25.192380000000000,102.741510000000005,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,17.422599999999999,21.446600000000000,0.812400000000000,38,38,1,892.504817802000048,2234.000000000000000
-1,Kunming,40,25.196370000000002,102.741169999999997,16,7,0.438000000000000,25.037281000000000,102.716949000000000,Asia,17.857199999999999,21.446600000000000,0.832600000000000,39,39,1,892.504817802000048,2259.000000000000000
-1,Kunming,41,25.199690000000000,102.741240000000005,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,18.223900000000000,21.446600000000000,0.849700000000000,40,40,1,892.504817802000048,2277.000000000000000
-1,Kunming,42,25.203540000000000,102.741990000000001,16,2,0.125000000000000,25.037281000000000,102.716949000000000,Asia,18.658300000000001,21.446600000000000,0.870000000000000,41,41,1,892.504817802000048,2296.000000000000000
-1,Kunming,43,25.208310000000001,102.742909999999995,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,19.196300000000001,21.446600000000000,0.895100000000000,42,42,1,892.504817802000048,2295.000000000000000
-1,Kunming,44,25.210249999999998,102.742130000000003,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,19.399600000000000,21.446600000000000,0.904600000000000,43,43,1,892.504817802000048,2294.000000000000000
-1,Kunming,45,25.213509999999999,102.743070000000003,16,2,0.125000000000000,25.037281000000000,102.716949000000000,Asia,19.771400000000000,21.446600000000000,0.921900000000000,44,44,1,892.504817802000048,2327.000000000000000
-1,Kunming,46,25.216400000000000,102.742679999999993,16,8,0.500000000000000,25.037281000000000,102.716949000000000,Asia,20.084900000000001,21.446600000000000,0.936500000000000,45,45,1,892.504817802000048,2341.000000000000000
-1,Kunming,47,25.219490000000000,102.742769999999993,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,20.426800000000000,21.446600000000000,0.952400000000000,46,46,1,892.504817802000048,2337.000000000000000
-1,Kunming,48,25.222320000000000,102.742210000000000,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,20.731999999999999,21.446600000000000,0.966700000000000,47,47,1,892.504817802000048,2341.000000000000000
-1,Kunming,49,25.226299999999998,102.741169999999997,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,21.158899999999999,21.446600000000000,0.986600000000000,48,48,1,892.504817802000048,2356.000000000000000
-1,Kunming,50,25.228840000000002,102.741780000000006,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,21.446600000000000,21.446600000000000,1.000000000000000,49,49,1,892.504817802000048,2344.000000000000000
