OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,manchester_203023_DEM_pcs_OID,manchester_203023_DEM_pcs_FID_,manchester_203023_DEM_pcs_COUNT,manchester_203023_DEM_pcs_AREA,manchester_203023_DEM_pcs_MEAN
-1,Manchester,31,53.266399999999997,-2.275000000000000,18,5,0.278000000000000,53.480758999999999,-2.242631000000000,Europe,23.932200000000002,33.088000000000001,0.723300000000000,29,30,1,2313.917030569999952,79.000000000000000
-1,Manchester,32,53.251199999999997,-2.284600000000000,19,4,0.211000000000000,53.480758999999999,-2.242631000000000,Europe,25.677199999999999,33.088000000000001,0.776000000000000,30,31,1,2313.917030569999952,79.000000000000000
-1,Manchester,33,53.243099999999998,-2.297500000000000,20,2,0.100000000000000,53.480758999999999,-2.242631000000000,Europe,26.676100000000002,33.088000000000001,0.806200000000000,31,32,1,2313.917030569999952,82.000000000000000
-1,Manchester,34,53.240600000000001,-2.307800000000000,20,8,0.400000000000000,53.480758999999999,-2.242631000000000,Europe,27.052299999999999,33.088000000000001,0.817600000000000,32,33,1,2313.917030569999952,82.000000000000000
-1,Manchester,35,53.230899999999998,-2.301000000000000,15,5,0.333000000000000,53.480758999999999,-2.242631000000000,Europe,28.051800000000000,33.088000000000001,0.847800000000000,33,34,1,2313.917030569999952,80.000000000000000
-1,Manchester,36,53.228000000000002,-2.290600000000000,16,7,0.438000000000000,53.480758999999999,-2.242631000000000,Europe,28.285299999999999,33.088000000000001,0.854900000000000,34,35,1,2313.917030569999952,81.000000000000000
-1,Manchester,37,53.223999999999997,-2.280700000000000,19,5,0.263000000000000,53.480758999999999,-2.242631000000000,Europe,28.661899999999999,33.088000000000001,0.866200000000000,35,36,1,2313.917030569999952,82.000000000000000
-1,Manchester,38,53.202700000000000,-2.299000000000000,18,11,0.611000000000000,53.480758999999999,-2.242631000000000,Europe,31.144400000000001,33.088000000000001,0.941300000000000,36,37,1,2313.917030569999952,72.000000000000000
-1,Manchester,39,53.199300000000001,-2.299800000000000,20,4,0.200000000000000,53.480758999999999,-2.242631000000000,Europe,31.526100000000000,33.088000000000001,0.952800000000000,37,38,1,2313.917030569999952,76.000000000000000
-1,Manchester,40,53.185699999999997,-2.307200000000000,20,20,1.000000000000000,53.480758999999999,-2.242631000000000,Europe,33.088000000000001,33.088000000000001,1.000000000000000,38,39,1,2313.917030569999952,76.000000000000000
